,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,QKBU,N3000,N3K-C3432D-S,Q2 FY2011,JAN FY2011,7,01-01-2020
1,QKBU,N3000,N3K-C3432D-S,Q3 FY2011,FEB FY2011,37,01-02-2020
2,QKBU,N3000,N3K-C3432D-S,Q3 FY2011,MAR FY2011,2,01-03-2020
3,QKBU,N3000,N3K-C3432D-S,Q3 FY2011,APR FY2011,38,01-04-2020
4,QKBU,N3000,N3K-C3432D-S,Q4 FY2011,MAY FY2011,2,01-05-2020
5,QKBU,N3000,N3K-C3432D-S,Q4 FY2011,JUN FY2011,1,01-06-2020
6,QKBU,N3000,N3K-C3432D-S,Q4 FY2011,JUL FY2011,3,01-07-2020
7,QKBU,N3000,N3K-C3432D-S,,,4,01-08-2020
8,QKBU,N3000,N3K-C3432D-S,,,5,01-09-2020
9,QKBU,N3000,N3K-C3432D-S,Q1 FY2011,OCT FY2011,5,01-10-2020
10,QKBU,N3000,N3K-C3432D-S,Q2 FY2011,NOV FY2011,2,01-11-2020
11,QKBU,N3000,N3K-C3432D-S,Q2 FY2011,DEC FY2011,2,01-12-2020
12,QKBU,N3000,N3K-C3432D-S,Q2 FY2012,JAN FY2012,3,01-01-2021
13,QKBU,N3000,N3K-C3432D-S,Q3 FY2012,FEB FY2012,0,01-02-2021
14,QKBU,N3000,N3K-C3432D-S,Q3 FY2012,MAR FY2012,1,01-03-2021
15,QKBU,N3000,N3K-C3432D-S,Q3 FY2012,APR FY2012,10,01-04-2021
16,QKBU,N3000,N3K-C3432D-S,Q4 FY2012,MAY FY2012,35,01-05-2021
17,QKBU,N3000,N3K-C3432D-S,Q4 FY2012,JUN FY2012,3,01-06-2021
18,QKBU,N3000,N3K-C3432D-S,Q4 FY2012,JUL FY2012,72,01-07-2021
19,QKBU,N3000,N3K-C3432D-S,Q1 FY2012,AUG FY2012,0,01-08-2021
20,QKBU,N3000,N3K-C3432D-S,Q1 FY2012,SEP FY2012,3,01-09-2021
21,QKBU,N3000,N3K-C3432D-S,Q1 FY2012,OCT FY2012,4,01-10-2021
22,QKBU,N3000,N3K-C3432D-S,Q2 FY2012,NOV FY2012,6,01-11-2021
23,QKBU,N3000,N3K-C3432D-S,Q2 FY2012,DEC FY2012,7,01-12-2021
24,QKBU,N3000,N3K-C3432D-S,Q2 FY2022,JAN FY2022,0,01-01-2022
25,QKBU,N3000,N3K-C3432D-S,,,0,01-02-2022
26,QKBU,N3000,N3K-C3432D-S,,,0,01-03-2022
27,QKBU,N3000,N3K-C3432D-S,,,0,01-04-2022
28,QKBU,N3000,N3K-C3432D-S,,,0,01-05-2022
29,QKBU,N3000,N3K-C3432D-S,,,0,01-06-2022
30,QKBU,N3000,N3K-C3432D-S,,,0,01-07-2022
31,QKBU,N3000,N3K-C3432D-S,Q1 FY2022,AUG FY2022,0,01-08-2022
32,QKBU,N3000,N3K-C3432D-S,Q1 FY2022,SEP FY2022,1,01-09-2022
33,QKBU,N3000,N3K-C3432D-S,Q1 FY2022,OCT FY2022,70,01-10-2022
34,QKBU,N3000,N3K-C3432D-S,Q2 FY2022,NOV FY2022,226,01-11-2022
