,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2008,MAR FY2008,1,01-03-2018
1,BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2008,APR FY2008,225,01-04-2018
2,BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2008,MAY FY2008,58,01-05-2018
3,BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2008,JUN FY2008,91,01-06-2018
4,BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2008,JUL FY2008,158,01-07-2018
5,BATBU,NCS540,N540-24Z8Q2C-SYS,,,164,01-08-2018
6,BATBU,NCS540,N540-24Z8Q2C-SYS,,,170,01-09-2018
7,BATBU,NCS540,N540-24Z8Q2C-SYS,,,176,01-10-2018
8,BATBU,NCS540,N540-24Z8Q2C-SYS,,,182,01-11-2018
9,BATBU,NCS540,N540-24Z8Q2C-SYS,,,188,01-12-2018
10,BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2007,JAN FY2007,193,01-01-2019
11,BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2007,FEB FY2007,357,01-02-2019
12,BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2007,MAR FY2007,301,01-03-2019
13,BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2007,APR FY2007,528,01-04-2019
14,BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2007,MAY FY2007,235,01-05-2019
15,BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2007,JUN FY2007,402,01-06-2019
16,BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2007,JUL FY2007,541,01-07-2019
17,BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2007,AUG FY2007,42,01-08-2019
18,BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2007,SEP FY2007,160,01-09-2019
19,BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2007,OCT FY2007,2622,01-10-2019
20,BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2007,NOV FY2007,156,01-11-2019
21,BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2007,DEC FY2007,152,01-12-2019
22,BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2011,JAN FY2011,167,01-01-2020
23,BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2011,FEB FY2011,382,01-02-2020
24,BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2011,MAR FY2011,339,01-03-2020
25,BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2011,APR FY2011,473,01-04-2020
26,BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2011,MAY FY2011,525,01-05-2020
27,BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2011,JUN FY2011,475,01-06-2020
28,BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2011,JUL FY2011,681,01-07-2020
29,BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2011,AUG FY2011,109,01-08-2020
30,BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2011,SEP FY2011,369,01-09-2020
31,BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2011,OCT FY2011,594,01-10-2020
32,BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2011,NOV FY2011,746,01-11-2020
33,BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2011,DEC FY2011,434,01-12-2020
34,BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2012,JAN FY2012,886,01-01-2021
35,BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2012,FEB FY2012,865,01-02-2021
36,BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2012,MAR FY2012,337,01-03-2021
