,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,BATBU,NCS540,N540-ACC-SYS,Q2 FY2007,JAN FY2007,41,01-01-2019
1,BATBU,NCS540,N540-ACC-SYS,Q3 FY2007,FEB FY2007,1511,01-02-2019
2,BATBU,NCS540,N540-ACC-SYS,Q3 FY2007,MAR FY2007,6,01-03-2019
3,BATBU,NCS540,N540-ACC-SYS,Q3 FY2007,APR FY2007,441,01-04-2019
4,BATBU,NCS540,N540-ACC-SYS,Q4 FY2007,MAY FY2007,164,01-05-2019
5,BATBU,NCS540,N540-ACC-SYS,Q4 FY2007,JUN FY2007,435,01-06-2019
6,BATBU,NCS540,N540-ACC-SYS,Q4 FY2007,JUL FY2007,2795,01-07-2019
7,BATBU,NCS540,N540-ACC-SYS,,,2358,01-08-2019
8,BATBU,NCS540,N540-ACC-SYS,,,1920,01-09-2019
9,BATBU,NCS540,N540-ACC-SYS,,,1482,01-10-2019
10,BATBU,NCS540,N540-ACC-SYS,,,1045,01-11-2019
11,BATBU,NCS540,N540-ACC-SYS,,,607,01-12-2019
12,BATBU,NCS540,N540-ACC-SYS,Q2 FY2011,JAN FY2011,169,01-01-2020
13,BATBU,NCS540,N540-ACC-SYS,Q3 FY2011,FEB FY2011,496,01-02-2020
14,BATBU,NCS540,N540-ACC-SYS,Q3 FY2011,MAR FY2011,878,01-03-2020
15,BATBU,NCS540,N540-ACC-SYS,Q3 FY2011,APR FY2011,1065,01-04-2020
16,BATBU,NCS540,N540-ACC-SYS,Q4 FY2011,MAY FY2011,345,01-05-2020
17,BATBU,NCS540,N540-ACC-SYS,Q4 FY2011,JUN FY2011,1575,01-06-2020
18,BATBU,NCS540,N540-ACC-SYS,Q4 FY2011,JUL FY2011,1325,01-07-2020
19,BATBU,NCS540,N540-ACC-SYS,Q1 FY2011,AUG FY2011,2056,01-08-2020
20,BATBU,NCS540,N540-ACC-SYS,Q1 FY2011,SEP FY2011,475,01-09-2020
21,BATBU,NCS540,N540-ACC-SYS,Q1 FY2011,OCT FY2011,982,01-10-2020
22,BATBU,NCS540,N540-ACC-SYS,Q2 FY2011,NOV FY2011,1220,01-11-2020
23,BATBU,NCS540,N540-ACC-SYS,Q2 FY2011,DEC FY2011,878,01-12-2020
24,BATBU,NCS540,N540-ACC-SYS,Q2 FY2012,JAN FY2012,1058,01-01-2021
25,BATBU,NCS540,N540-ACC-SYS,Q3 FY2012,FEB FY2012,616,01-02-2021
26,BATBU,NCS540,N540-ACC-SYS,Q3 FY2012,MAR FY2012,4056,01-03-2021
27,BATBU,NCS540,N540-ACC-SYS,Q3 FY2012,APR FY2012,3549,01-04-2021
28,BATBU,NCS540,N540-ACC-SYS,Q4 FY2012,MAY FY2012,588,01-05-2021
29,BATBU,NCS540,N540-ACC-SYS,Q4 FY2012,JUN FY2012,804,01-06-2021
30,BATBU,NCS540,N540-ACC-SYS,Q4 FY2012,JUL FY2012,3134,01-07-2021
31,BATBU,NCS540,N540-ACC-SYS,Q1 FY2012,AUG FY2012,1924,01-08-2021
32,BATBU,NCS540,N540-ACC-SYS,Q1 FY2012,SEP FY2012,462,01-09-2021
33,BATBU,NCS540,N540-ACC-SYS,Q1 FY2012,OCT FY2012,2173,01-10-2021
34,BATBU,NCS540,N540-ACC-SYS,Q2 FY2012,NOV FY2012,638,01-11-2021
35,BATBU,NCS540,N540-ACC-SYS,Q2 FY2012,DEC FY2012,2925,01-12-2021
36,BATBU,NCS540,N540-ACC-SYS,Q2 FY2022,JAN FY2022,3829,01-01-2022
37,BATBU,NCS540,N540-ACC-SYS,,,3461,01-02-2022
38,BATBU,NCS540,N540-ACC-SYS,,,3093,01-03-2022
39,BATBU,NCS540,N540-ACC-SYS,,,2724,01-04-2022
40,BATBU,NCS540,N540-ACC-SYS,,,2356,01-05-2022
41,BATBU,NCS540,N540-ACC-SYS,,,1987,01-06-2022
42,BATBU,NCS540,N540-ACC-SYS,,,1619,01-07-2022
43,BATBU,NCS540,N540-ACC-SYS,Q1 FY2022,AUG FY2022,1250,01-08-2022
44,BATBU,NCS540,N540-ACC-SYS,Q1 FY2022,SEP FY2022,588,01-09-2022
45,BATBU,NCS540,N540-ACC-SYS,Q1 FY2022,OCT FY2022,1581,01-10-2022
46,BATBU,NCS540,N540-ACC-SYS,Q2 FY2022,NOV FY2022,1784,01-11-2022
