,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,BATBU,NCS540,N540-PWR400-D,Q3 FY2008,MAR FY2008,4,01-03-2018
1,BATBU,NCS540,N540-PWR400-D,Q3 FY2008,APR FY2008,42,01-04-2018
2,BATBU,NCS540,N540-PWR400-D,Q4 FY2008,MAY FY2008,446,01-05-2018
3,BATBU,NCS540,N540-PWR400-D,Q4 FY2008,JUN FY2008,274,01-06-2018
4,BATBU,NCS540,N540-PWR400-D,Q4 FY2008,JUL FY2008,170,01-07-2018
5,BATBU,NCS540,N540-PWR400-D,,,179,01-08-2018
6,BATBU,NCS540,N540-PWR400-D,,,188,01-09-2018
7,BATBU,NCS540,N540-PWR400-D,,,197,01-10-2018
8,BATBU,NCS540,N540-PWR400-D,,,206,01-11-2018
9,BATBU,NCS540,N540-PWR400-D,,,215,01-12-2018
10,BATBU,NCS540,N540-PWR400-D,Q2 FY2007,JAN FY2007,224,01-01-2019
11,BATBU,NCS540,N540-PWR400-D,Q3 FY2007,FEB FY2007,639,01-02-2019
12,BATBU,NCS540,N540-PWR400-D,Q3 FY2007,MAR FY2007,598,01-03-2019
13,BATBU,NCS540,N540-PWR400-D,Q3 FY2007,APR FY2007,1643,01-04-2019
14,BATBU,NCS540,N540-PWR400-D,Q4 FY2007,MAY FY2007,597,01-05-2019
15,BATBU,NCS540,N540-PWR400-D,Q4 FY2007,JUN FY2007,1515,01-06-2019
16,BATBU,NCS540,N540-PWR400-D,Q4 FY2007,JUL FY2007,5862,01-07-2019
17,BATBU,NCS540,N540-PWR400-D,Q1 FY2007,AUG FY2007,2,01-08-2019
18,BATBU,NCS540,N540-PWR400-D,Q1 FY2007,SEP FY2007,216,01-09-2019
19,BATBU,NCS540,N540-PWR400-D,Q1 FY2007,OCT FY2007,5074,01-10-2019
20,BATBU,NCS540,N540-PWR400-D,Q2 FY2007,NOV FY2007,50,01-11-2019
21,BATBU,NCS540,N540-PWR400-D,Q2 FY2007,DEC FY2007,114,01-12-2019
22,BATBU,NCS540,N540-PWR400-D,Q2 FY2011,JAN FY2011,558,01-01-2020
23,BATBU,NCS540,N540-PWR400-D,Q3 FY2011,FEB FY2011,1590,01-02-2020
24,BATBU,NCS540,N540-PWR400-D,Q3 FY2011,MAR FY2011,1552,01-03-2020
25,BATBU,NCS540,N540-PWR400-D,Q3 FY2011,APR FY2011,2710,01-04-2020
26,BATBU,NCS540,N540-PWR400-D,Q4 FY2011,MAY FY2011,1563,01-05-2020
27,BATBU,NCS540,N540-PWR400-D,Q4 FY2011,JUN FY2011,3394,01-06-2020
28,BATBU,NCS540,N540-PWR400-D,Q4 FY2011,JUL FY2011,4323,01-07-2020
29,BATBU,NCS540,N540-PWR400-D,Q1 FY2011,AUG FY2011,4170,01-08-2020
30,BATBU,NCS540,N540-PWR400-D,Q1 FY2011,SEP FY2011,1426,01-09-2020
31,BATBU,NCS540,N540-PWR400-D,Q1 FY2011,OCT FY2011,2814,01-10-2020
32,BATBU,NCS540,N540-PWR400-D,Q2 FY2011,NOV FY2011,3774,01-11-2020
33,BATBU,NCS540,N540-PWR400-D,Q2 FY2011,DEC FY2011,2439,01-12-2020
34,BATBU,NCS540,N540-PWR400-D,Q2 FY2012,JAN FY2012,3956,01-01-2021
35,BATBU,NCS540,N540-PWR400-D,Q3 FY2012,FEB FY2012,2629,01-02-2021
36,BATBU,NCS540,N540-PWR400-D,Q3 FY2012,MAR FY2012,8172,01-03-2021
37,BATBU,NCS540,N540-PWR400-D,Q3 FY2012,APR FY2012,7158,01-04-2021
38,BATBU,NCS540,N540-PWR400-D,Q4 FY2012,MAY FY2012,1075,01-05-2021
39,BATBU,NCS540,N540-PWR400-D,Q4 FY2012,JUN FY2012,3777,01-06-2021
40,BATBU,NCS540,N540-PWR400-D,Q4 FY2012,JUL FY2012,8149,01-07-2021
41,BATBU,NCS540,N540-PWR400-D,Q1 FY2012,AUG FY2012,3872,01-08-2021
42,BATBU,NCS540,N540-PWR400-D,Q1 FY2012,SEP FY2012,1003,01-09-2021
43,BATBU,NCS540,N540-PWR400-D,Q1 FY2012,OCT FY2012,6169,01-10-2021
44,BATBU,NCS540,N540-PWR400-D,Q2 FY2012,NOV FY2012,1426,01-11-2021
45,BATBU,NCS540,N540-PWR400-D,Q2 FY2012,DEC FY2012,8000,01-12-2021
46,BATBU,NCS540,N540-PWR400-D,Q2 FY2022,JAN FY2022,6585,01-01-2022
47,BATBU,NCS540,N540-PWR400-D,,,6005,01-02-2022
48,BATBU,NCS540,N540-PWR400-D,,,5425,01-03-2022
49,BATBU,NCS540,N540-PWR400-D,,,4845,01-04-2022
50,BATBU,NCS540,N540-PWR400-D,,,4265,01-05-2022
51,BATBU,NCS540,N540-PWR400-D,,,3685,01-06-2022
52,BATBU,NCS540,N540-PWR400-D,,,3105,01-07-2022
53,BATBU,NCS540,N540-PWR400-D,Q1 FY2022,AUG FY2022,2525,01-08-2022
54,BATBU,NCS540,N540-PWR400-D,Q1 FY2022,SEP FY2022,3723,01-09-2022
55,BATBU,NCS540,N540-PWR400-D,Q1 FY2022,OCT FY2022,6515,01-10-2022
56,BATBU,NCS540,N540-PWR400-D,Q2 FY2022,NOV FY2022,4312,01-11-2022
