,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2011,JAN FY2011,3,01-01-2020
1,BATBU,NCS540,N540X-12Z16G-SYS-D,Q3 FY2011,FEB FY2011,1402,01-02-2020
2,BATBU,NCS540,N540X-12Z16G-SYS-D,Q3 FY2011,MAR FY2011,955,01-03-2020
3,BATBU,NCS540,N540X-12Z16G-SYS-D,Q3 FY2011,APR FY2011,6,01-04-2020
4,BATBU,NCS540,N540X-12Z16G-SYS-D,Q4 FY2011,MAY FY2011,713,01-05-2020
5,BATBU,NCS540,N540X-12Z16G-SYS-D,Q4 FY2011,JUN FY2011,110,01-06-2020
6,BATBU,NCS540,N540X-12Z16G-SYS-D,Q4 FY2011,JUL FY2011,307,01-07-2020
7,BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2011,AUG FY2011,1,01-08-2020
8,BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2011,SEP FY2011,16,01-09-2020
9,BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2011,OCT FY2011,6,01-10-2020
10,BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2011,NOV FY2011,23,01-11-2020
11,BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2011,DEC FY2011,352,01-12-2020
12,BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2012,JAN FY2012,4586,01-01-2021
13,BATBU,NCS540,N540X-12Z16G-SYS-D,Q3 FY2012,FEB FY2012,1817,01-02-2021
14,BATBU,NCS540,N540X-12Z16G-SYS-D,Q3 FY2012,MAR FY2012,1324,01-03-2021
15,BATBU,NCS540,N540X-12Z16G-SYS-D,Q3 FY2012,APR FY2012,1355,01-04-2021
16,BATBU,NCS540,N540X-12Z16G-SYS-D,Q4 FY2012,MAY FY2012,3408,01-05-2021
17,BATBU,NCS540,N540X-12Z16G-SYS-D,Q4 FY2012,JUN FY2012,3469,01-06-2021
18,BATBU,NCS540,N540X-12Z16G-SYS-D,Q4 FY2012,JUL FY2012,401,01-07-2021
19,BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2012,AUG FY2012,114,01-08-2021
20,BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2012,SEP FY2012,101,01-09-2021
21,BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2012,OCT FY2012,1077,01-10-2021
22,BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2012,NOV FY2012,51,01-11-2021
23,BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2012,DEC FY2012,972,01-12-2021
24,BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2022,JAN FY2022,1327,01-01-2022
25,BATBU,NCS540,N540X-12Z16G-SYS-D,,,1156,01-02-2022
26,BATBU,NCS540,N540X-12Z16G-SYS-D,,,984,01-03-2022
27,BATBU,NCS540,N540X-12Z16G-SYS-D,,,812,01-04-2022
28,BATBU,NCS540,N540X-12Z16G-SYS-D,,,640,01-05-2022
29,BATBU,NCS540,N540X-12Z16G-SYS-D,,,468,01-06-2022
30,BATBU,NCS540,N540X-12Z16G-SYS-D,,,296,01-07-2022
31,BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2022,AUG FY2022,124,01-08-2022
32,BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2022,SEP FY2022,149,01-09-2022
33,BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2022,OCT FY2022,675,01-10-2022
34,BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2022,NOV FY2022,1441,01-11-2022
