,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,BATBU,NCS560,N560-4-RSP4,Q3 FY2007,APR FY2007,4,01-04-2019
1,BATBU,NCS560,N560-4-RSP4,,,3,01-05-2019
2,BATBU,NCS560,N560-4-RSP4,Q4 FY2007,JUN FY2007,1,01-06-2019
3,BATBU,NCS560,N560-4-RSP4,Q4 FY2007,JUL FY2007,22,01-07-2019
4,BATBU,NCS560,N560-4-RSP4,,,186,01-08-2019
5,BATBU,NCS560,N560-4-RSP4,,,349,01-09-2019
6,BATBU,NCS560,N560-4-RSP4,,,513,01-10-2019
7,BATBU,NCS560,N560-4-RSP4,,,676,01-11-2019
8,BATBU,NCS560,N560-4-RSP4,,,840,01-12-2019
9,BATBU,NCS560,N560-4-RSP4,Q2 FY2011,JAN FY2011,1003,01-01-2020
10,BATBU,NCS560,N560-4-RSP4,Q3 FY2011,FEB FY2011,723,01-02-2020
11,BATBU,NCS560,N560-4-RSP4,Q3 FY2011,MAR FY2011,105,01-03-2020
12,BATBU,NCS560,N560-4-RSP4,Q3 FY2011,APR FY2011,219,01-04-2020
13,BATBU,NCS560,N560-4-RSP4,Q4 FY2011,MAY FY2011,1249,01-05-2020
14,BATBU,NCS560,N560-4-RSP4,Q4 FY2011,JUN FY2011,51,01-06-2020
15,BATBU,NCS560,N560-4-RSP4,Q4 FY2011,JUL FY2011,115,01-07-2020
16,BATBU,NCS560,N560-4-RSP4,Q1 FY2011,AUG FY2011,23,01-08-2020
17,BATBU,NCS560,N560-4-RSP4,Q1 FY2011,SEP FY2011,29,01-09-2020
18,BATBU,NCS560,N560-4-RSP4,Q1 FY2011,OCT FY2011,1021,01-10-2020
19,BATBU,NCS560,N560-4-RSP4,Q2 FY2011,NOV FY2011,2001,01-11-2020
20,BATBU,NCS560,N560-4-RSP4,Q2 FY2011,DEC FY2011,1114,01-12-2020
21,BATBU,NCS560,N560-4-RSP4,Q2 FY2012,JAN FY2012,329,01-01-2021
22,BATBU,NCS560,N560-4-RSP4,Q3 FY2012,FEB FY2012,221,01-02-2021
23,BATBU,NCS560,N560-4-RSP4,Q3 FY2012,MAR FY2012,638,01-03-2021
24,BATBU,NCS560,N560-4-RSP4,Q3 FY2012,APR FY2012,36,01-04-2021
25,BATBU,NCS560,N560-4-RSP4,Q4 FY2012,MAY FY2012,7,01-05-2021
26,BATBU,NCS560,N560-4-RSP4,Q4 FY2012,JUN FY2012,15,01-06-2021
27,BATBU,NCS560,N560-4-RSP4,Q4 FY2012,JUL FY2012,498,01-07-2021
28,BATBU,NCS560,N560-4-RSP4,Q1 FY2012,AUG FY2012,1734,01-08-2021
29,BATBU,NCS560,N560-4-RSP4,Q1 FY2012,SEP FY2012,86,01-09-2021
30,BATBU,NCS560,N560-4-RSP4,Q1 FY2012,OCT FY2012,46,01-10-2021
31,BATBU,NCS560,N560-4-RSP4,Q2 FY2012,NOV FY2012,88,01-11-2021
32,BATBU,NCS560,N560-4-RSP4,Q2 FY2012,DEC FY2012,11,01-12-2021
33,BATBU,NCS560,N560-4-RSP4,Q2 FY2022,JAN FY2022,1444,01-01-2022
34,BATBU,NCS560,N560-4-RSP4,,,1240,01-02-2022
35,BATBU,NCS560,N560-4-RSP4,,,1035,01-03-2022
36,BATBU,NCS560,N560-4-RSP4,,,831,01-04-2022
37,BATBU,NCS560,N560-4-RSP4,,,626,01-05-2022
38,BATBU,NCS560,N560-4-RSP4,,,422,01-06-2022
39,BATBU,NCS560,N560-4-RSP4,,,217,01-07-2022
40,BATBU,NCS560,N560-4-RSP4,Q1 FY2022,AUG FY2022,12,01-08-2022
41,BATBU,NCS560,N560-4-RSP4,Q1 FY2022,SEP FY2022,30,01-09-2022
42,BATBU,NCS560,N560-4-RSP4,Q1 FY2022,OCT FY2022,58,01-10-2022
43,BATBU,NCS560,N560-4-RSP4,Q2 FY2022,NOV FY2022,8,01-11-2022
