,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2002,APR FY2002,5,01-04-2017
1,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2002,MAY FY2002,35,01-05-2017
2,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2002,JUN FY2002,16,01-06-2017
3,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2002,JUL FY2002,831,01-07-2017
4,QKBU,N9300,N9K-C93108TC-FX,,,752,01-08-2017
5,QKBU,N9300,N9K-C93108TC-FX,,,672,01-09-2017
6,QKBU,N9300,N9K-C93108TC-FX,,,592,01-10-2017
7,QKBU,N9300,N9K-C93108TC-FX,,,513,01-11-2017
8,QKBU,N9300,N9K-C93108TC-FX,,,433,01-12-2017
9,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2008,JAN FY2008,353,01-01-2018
10,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2008,FEB FY2008,203,01-02-2018
11,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2008,MAR FY2008,373,01-03-2018
12,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2008,APR FY2008,534,01-04-2018
13,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2008,MAY FY2008,178,01-05-2018
14,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2008,JUN FY2008,309,01-06-2018
15,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2008,JUL FY2008,1231,01-07-2018
16,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2008,AUG FY2008,31,01-08-2018
17,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2008,SEP FY2008,120,01-09-2018
18,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2008,OCT FY2008,99,01-10-2018
19,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2008,NOV FY2008,54,01-11-2018
20,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2008,DEC FY2008,110,01-12-2018
21,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2007,JAN FY2007,798,01-01-2019
22,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2007,FEB FY2007,328,01-02-2019
23,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2007,MAR FY2007,739,01-03-2019
24,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2007,APR FY2007,1298,01-04-2019
25,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2007,MAY FY2007,509,01-05-2019
26,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2007,JUN FY2007,499,01-06-2019
27,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2007,JUL FY2007,1857,01-07-2019
28,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2007,AUG FY2007,285,01-08-2019
29,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2007,SEP FY2007,266,01-09-2019
30,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2007,OCT FY2007,778,01-10-2019
31,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2007,NOV FY2007,166,01-11-2019
32,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2007,DEC FY2007,992,01-12-2019
33,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2011,JAN FY2011,1168,01-01-2020
34,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2011,FEB FY2011,492,01-02-2020
35,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2011,MAR FY2011,718,01-03-2020
36,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2011,APR FY2011,1774,01-04-2020
37,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2011,MAY FY2011,938,01-05-2020
38,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2011,JUN FY2011,867,01-06-2020
39,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2011,JUL FY2011,4316,01-07-2020
40,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2011,AUG FY2011,487,01-08-2020
41,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2011,SEP FY2011,870,01-09-2020
42,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2011,OCT FY2011,1489,01-10-2020
43,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2011,NOV FY2011,1160,01-11-2020
44,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2011,DEC FY2011,895,01-12-2020
45,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2012,JAN FY2012,1653,01-01-2021
46,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2012,FEB FY2012,1244,01-02-2021
47,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2012,MAR FY2012,1552,01-03-2021
48,QKBU,N9300,N9K-C93108TC-FX,Q3 FY2012,APR FY2012,1999,01-04-2021
49,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2012,MAY FY2012,2133,01-05-2021
50,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2012,JUN FY2012,4121,01-06-2021
51,QKBU,N9300,N9K-C93108TC-FX,Q4 FY2012,JUL FY2012,4456,01-07-2021
52,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2012,AUG FY2012,618,01-08-2021
53,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2012,SEP FY2012,704,01-09-2021
54,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2012,OCT FY2012,1711,01-10-2021
55,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2012,NOV FY2012,1078,01-11-2021
56,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2012,DEC FY2012,856,01-12-2021
57,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2022,JAN FY2022,1668,01-01-2022
58,QKBU,N9300,N9K-C93108TC-FX,,,1783,01-02-2022
59,QKBU,N9300,N9K-C93108TC-FX,,,1898,01-03-2022
60,QKBU,N9300,N9K-C93108TC-FX,,,2013,01-04-2022
61,QKBU,N9300,N9K-C93108TC-FX,,,2127,01-05-2022
62,QKBU,N9300,N9K-C93108TC-FX,,,2242,01-06-2022
63,QKBU,N9300,N9K-C93108TC-FX,,,2357,01-07-2022
64,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2022,AUG FY2022,2471,01-08-2022
65,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2022,SEP FY2022,669,01-09-2022
66,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2022,OCT FY2022,2463,01-10-2022
67,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2022,NOV FY2022,1818,01-11-2022
