,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,QKBU,N9300,N9K-C93108TC-FX3P,Q4 FY2011,JUL FY2011,4,01-07-2020
1,QKBU,N9300,N9K-C93108TC-FX3P,,,9,01-08-2020
2,QKBU,N9300,N9K-C93108TC-FX3P,,,13,01-09-2020
3,QKBU,N9300,N9K-C93108TC-FX3P,,,18,01-10-2020
4,QKBU,N9300,N9K-C93108TC-FX3P,,,22,01-11-2020
5,QKBU,N9300,N9K-C93108TC-FX3P,,,27,01-12-2020
6,QKBU,N9300,N9K-C93108TC-FX3P,Q2 FY2012,JAN FY2012,31,01-01-2021
7,QKBU,N9300,N9K-C93108TC-FX3P,Q3 FY2012,FEB FY2012,62,01-02-2021
8,QKBU,N9300,N9K-C93108TC-FX3P,Q3 FY2012,MAR FY2012,122,01-03-2021
9,QKBU,N9300,N9K-C93108TC-FX3P,Q3 FY2012,APR FY2012,121,01-04-2021
10,QKBU,N9300,N9K-C93108TC-FX3P,Q4 FY2012,MAY FY2012,96,01-05-2021
11,QKBU,N9300,N9K-C93108TC-FX3P,Q4 FY2012,JUN FY2012,273,01-06-2021
12,QKBU,N9300,N9K-C93108TC-FX3P,Q4 FY2012,JUL FY2012,626,01-07-2021
13,QKBU,N9300,N9K-C93108TC-FX3P,Q1 FY2012,AUG FY2012,2,01-08-2021
14,QKBU,N9300,N9K-C93108TC-FX3P,Q1 FY2012,SEP FY2012,6,01-09-2021
15,QKBU,N9300,N9K-C93108TC-FX3P,Q1 FY2012,OCT FY2012,0,01-10-2021
16,QKBU,N9300,N9K-C93108TC-FX3P,Q2 FY2012,NOV FY2012,1,01-11-2021
17,QKBU,N9300,N9K-C93108TC-FX3P,Q2 FY2012,DEC FY2012,4,01-12-2021
18,QKBU,N9300,N9K-C93108TC-FX3P,Q2 FY2022,JAN FY2022,1640,01-01-2022
19,QKBU,N9300,N9K-C93108TC-FX3P,,,1437,01-02-2022
20,QKBU,N9300,N9K-C93108TC-FX3P,,,1233,01-03-2022
21,QKBU,N9300,N9K-C93108TC-FX3P,,,1030,01-04-2022
22,QKBU,N9300,N9K-C93108TC-FX3P,,,826,01-05-2022
23,QKBU,N9300,N9K-C93108TC-FX3P,,,623,01-06-2022
24,QKBU,N9300,N9K-C93108TC-FX3P,,,419,01-07-2022
25,QKBU,N9300,N9K-C93108TC-FX3P,Q1 FY2022,AUG FY2022,215,01-08-2022
26,QKBU,N9300,N9K-C93108TC-FX3P,Q1 FY2022,SEP FY2022,807,01-09-2022
27,QKBU,N9300,N9K-C93108TC-FX3P,Q1 FY2022,OCT FY2022,1166,01-10-2022
28,QKBU,N9300,N9K-C93108TC-FX3P,Q2 FY2022,NOV FY2022,798,01-11-2022
