,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,QKBU,N9300,N9K-C93180YC-FX3,Q3 FY2012,FEB FY2012,104,01-02-2021
1,QKBU,N9300,N9K-C93180YC-FX3,Q3 FY2012,MAR FY2012,1111,01-03-2021
2,QKBU,N9300,N9K-C93180YC-FX3,Q3 FY2012,APR FY2012,2436,01-04-2021
3,QKBU,N9300,N9K-C93180YC-FX3,Q4 FY2012,MAY FY2012,1769,01-05-2021
4,QKBU,N9300,N9K-C93180YC-FX3,Q4 FY2012,JUN FY2012,1811,01-06-2021
5,QKBU,N9300,N9K-C93180YC-FX3,Q4 FY2012,JUL FY2012,6829,01-07-2021
6,QKBU,N9300,N9K-C93180YC-FX3,,,6917,01-08-2021
7,QKBU,N9300,N9K-C93180YC-FX3,,,7005,01-09-2021
8,QKBU,N9300,N9K-C93180YC-FX3,,,7092,01-10-2021
9,QKBU,N9300,N9K-C93180YC-FX3,,,7180,01-11-2021
10,QKBU,N9300,N9K-C93180YC-FX3,,,7268,01-12-2021
11,QKBU,N9300,N9K-C93180YC-FX3,Q2 FY2022,JAN FY2022,7355,01-01-2022
12,QKBU,N9300,N9K-C93180YC-FX3,,,6677,01-02-2022
13,QKBU,N9300,N9K-C93180YC-FX3,,,5999,01-03-2022
14,QKBU,N9300,N9K-C93180YC-FX3,,,5320,01-04-2022
15,QKBU,N9300,N9K-C93180YC-FX3,,,4642,01-05-2022
16,QKBU,N9300,N9K-C93180YC-FX3,,,3963,01-06-2022
17,QKBU,N9300,N9K-C93180YC-FX3,,,3285,01-07-2022
18,QKBU,N9300,N9K-C93180YC-FX3,Q1 FY2022,AUG FY2022,2606,01-08-2022
19,QKBU,N9300,N9K-C93180YC-FX3,Q1 FY2022,SEP FY2022,2505,01-09-2022
20,QKBU,N9300,N9K-C93180YC-FX3,Q1 FY2022,OCT FY2022,5464,01-10-2022
21,QKBU,N9300,N9K-C93180YC-FX3,Q2 FY2022,NOV FY2022,5271,01-11-2022
