,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,QKBU,N9300,N9K-C9336C-FX2,Q2 FY2008,JAN FY2008,16,01-01-2018
1,QKBU,N9300,N9K-C9336C-FX2,Q3 FY2008,FEB FY2008,66,01-02-2018
2,QKBU,N9300,N9K-C9336C-FX2,Q3 FY2008,MAR FY2008,255,01-03-2018
3,QKBU,N9300,N9K-C9336C-FX2,Q3 FY2008,APR FY2008,466,01-04-2018
4,QKBU,N9300,N9K-C9336C-FX2,Q4 FY2008,MAY FY2008,280,01-05-2018
5,QKBU,N9300,N9K-C9336C-FX2,Q4 FY2008,JUN FY2008,671,01-06-2018
6,QKBU,N9300,N9K-C9336C-FX2,Q4 FY2008,JUL FY2008,1077,01-07-2018
7,QKBU,N9300,N9K-C9336C-FX2,,,1135,01-08-2018
8,QKBU,N9300,N9K-C9336C-FX2,,,1192,01-09-2018
9,QKBU,N9300,N9K-C9336C-FX2,,,1250,01-10-2018
10,QKBU,N9300,N9K-C9336C-FX2,,,1307,01-11-2018
11,QKBU,N9300,N9K-C9336C-FX2,,,1365,01-12-2018
12,QKBU,N9300,N9K-C9336C-FX2,Q2 FY2007,JAN FY2007,1422,01-01-2019
13,QKBU,N9300,N9K-C9336C-FX2,Q3 FY2007,FEB FY2007,773,01-02-2019
14,QKBU,N9300,N9K-C9336C-FX2,Q3 FY2007,MAR FY2007,1021,01-03-2019
15,QKBU,N9300,N9K-C9336C-FX2,Q3 FY2007,APR FY2007,1775,01-04-2019
16,QKBU,N9300,N9K-C9336C-FX2,Q4 FY2007,MAY FY2007,999,01-05-2019
17,QKBU,N9300,N9K-C9336C-FX2,Q4 FY2007,JUN FY2007,1346,01-06-2019
18,QKBU,N9300,N9K-C9336C-FX2,Q4 FY2007,JUL FY2007,2870,01-07-2019
19,QKBU,N9300,N9K-C9336C-FX2,Q1 FY2007,AUG FY2007,367,01-08-2019
20,QKBU,N9300,N9K-C9336C-FX2,Q1 FY2007,SEP FY2007,507,01-09-2019
21,QKBU,N9300,N9K-C9336C-FX2,Q1 FY2007,OCT FY2007,1232,01-10-2019
