,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2002,JUL FY2002,62,01-07-2017
1,QKBU,N9300,N9K-C9348GC-FXP,,,183,01-08-2017
2,QKBU,N9300,N9K-C9348GC-FXP,,,303,01-09-2017
3,QKBU,N9300,N9K-C9348GC-FXP,,,423,01-10-2017
4,QKBU,N9300,N9K-C9348GC-FXP,,,543,01-11-2017
5,QKBU,N9300,N9K-C9348GC-FXP,,,663,01-12-2017
6,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2008,JAN FY2008,783,01-01-2018
7,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2008,FEB FY2008,690,01-02-2018
8,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2008,MAR FY2008,588,01-03-2018
9,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2008,APR FY2008,1208,01-04-2018
10,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2008,MAY FY2008,450,01-05-2018
11,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2008,JUN FY2008,1406,01-06-2018
12,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2008,JUL FY2008,2479,01-07-2018
13,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2008,AUG FY2008,39,01-08-2018
14,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2008,SEP FY2008,97,01-09-2018
15,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2008,OCT FY2008,397,01-10-2018
16,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2008,NOV FY2008,346,01-11-2018
17,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2008,DEC FY2008,838,01-12-2018
18,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2007,JAN FY2007,1529,01-01-2019
19,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2007,FEB FY2007,1354,01-02-2019
20,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2007,MAR FY2007,1184,01-03-2019
21,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2007,APR FY2007,2669,01-04-2019
22,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2007,MAY FY2007,1102,01-05-2019
23,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2007,JUN FY2007,1555,01-06-2019
24,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2007,JUL FY2007,3512,01-07-2019
25,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2007,AUG FY2007,583,01-08-2019
26,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2007,SEP FY2007,847,01-09-2019
27,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2007,OCT FY2007,1929,01-10-2019
28,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2007,NOV FY2007,1061,01-11-2019
29,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2007,DEC FY2007,2146,01-12-2019
30,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2011,JAN FY2011,2246,01-01-2020
31,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2011,FEB FY2011,1810,01-02-2020
32,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2011,MAR FY2011,2251,01-03-2020
33,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2011,APR FY2011,3354,01-04-2020
34,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2011,MAY FY2011,1550,01-05-2020
35,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2011,JUN FY2011,2065,01-06-2020
36,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2011,JUL FY2011,2572,01-07-2020
37,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2011,AUG FY2011,1114,01-08-2020
38,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2011,SEP FY2011,1255,01-09-2020
39,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2011,OCT FY2011,2652,01-10-2020
40,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2011,NOV FY2011,1564,01-11-2020
41,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2011,DEC FY2011,2327,01-12-2020
42,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2012,JAN FY2012,2324,01-01-2021
43,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2012,FEB FY2012,1720,01-02-2021
44,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2012,MAR FY2012,1949,01-03-2021
45,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2012,APR FY2012,3913,01-04-2021
46,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2012,MAY FY2012,2182,01-05-2021
