,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2011,JAN FY2011,4,01-01-2020
1,QKBU,N9300,N9K-C93600CD-GX,Q3 FY2011,FEB FY2011,11,01-02-2020
2,QKBU,N9300,N9K-C93600CD-GX,Q3 FY2011,MAR FY2011,18,01-03-2020
3,QKBU,N9300,N9K-C93600CD-GX,Q3 FY2011,APR FY2011,14,01-04-2020
4,QKBU,N9300,N9K-C93600CD-GX,Q4 FY2011,MAY FY2011,14,01-05-2020
5,QKBU,N9300,N9K-C93600CD-GX,Q4 FY2011,JUN FY2011,2,01-06-2020
6,QKBU,N9300,N9K-C93600CD-GX,Q4 FY2011,JUL FY2011,289,01-07-2020
7,QKBU,N9300,N9K-C93600CD-GX,,,198,01-08-2020
8,QKBU,N9300,N9K-C93600CD-GX,,,106,01-09-2020
9,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2011,OCT FY2011,14,01-10-2020
10,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2011,NOV FY2011,4,01-11-2020
11,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2011,DEC FY2011,12,01-12-2020
12,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2012,JAN FY2012,272,01-01-2021
13,QKBU,N9300,N9K-C93600CD-GX,Q3 FY2012,FEB FY2012,175,01-02-2021
14,QKBU,N9300,N9K-C93600CD-GX,Q3 FY2012,MAR FY2012,316,01-03-2021
15,QKBU,N9300,N9K-C93600CD-GX,Q3 FY2012,APR FY2012,277,01-04-2021
16,QKBU,N9300,N9K-C93600CD-GX,Q4 FY2012,MAY FY2012,112,01-05-2021
17,QKBU,N9300,N9K-C93600CD-GX,Q4 FY2012,JUN FY2012,267,01-06-2021
18,QKBU,N9300,N9K-C93600CD-GX,Q4 FY2012,JUL FY2012,907,01-07-2021
19,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2012,AUG FY2012,1,01-08-2021
20,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2012,SEP FY2012,29,01-09-2021
21,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2012,OCT FY2012,73,01-10-2021
22,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2012,NOV FY2012,90,01-11-2021
23,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2012,DEC FY2012,56,01-12-2021
24,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2022,JAN FY2022,320,01-01-2022
25,QKBU,N9300,N9K-C93600CD-GX,,,299,01-02-2022
26,QKBU,N9300,N9K-C93600CD-GX,,,278,01-03-2022
27,QKBU,N9300,N9K-C93600CD-GX,,,257,01-04-2022
28,QKBU,N9300,N9K-C93600CD-GX,,,235,01-05-2022
29,QKBU,N9300,N9K-C93600CD-GX,,,214,01-06-2022
30,QKBU,N9300,N9K-C93600CD-GX,,,193,01-07-2022
31,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2022,AUG FY2022,171,01-08-2022
32,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2022,SEP FY2022,171,01-09-2022
33,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2022,OCT FY2022,545,01-10-2022
34,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2022,NOV FY2022,213,01-11-2022
