,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,QKBU,N9300,N9K-C9364C-GX,Q2 FY2011,JAN FY2011,2,01-01-2020
1,QKBU,N9300,N9K-C9364C-GX,Q3 FY2011,FEB FY2011,29,01-02-2020
2,QKBU,N9300,N9K-C9364C-GX,Q3 FY2011,MAR FY2011,49,01-03-2020
3,QKBU,N9300,N9K-C9364C-GX,Q3 FY2011,APR FY2011,83,01-04-2020
4,QKBU,N9300,N9K-C9364C-GX,Q4 FY2011,MAY FY2011,49,01-05-2020
5,QKBU,N9300,N9K-C9364C-GX,Q4 FY2011,JUN FY2011,106,01-06-2020
6,QKBU,N9300,N9K-C9364C-GX,Q4 FY2011,JUL FY2011,135,01-07-2020
7,QKBU,N9300,N9K-C9364C-GX,,,110,01-08-2020
8,QKBU,N9300,N9K-C9364C-GX,,,84,01-09-2020
9,QKBU,N9300,N9K-C9364C-GX,,,58,01-10-2020
10,QKBU,N9300,N9K-C9364C-GX,,,32,01-11-2020
11,QKBU,N9300,N9K-C9364C-GX,Q2 FY2011,DEC FY2011,6,01-12-2020
12,QKBU,N9300,N9K-C9364C-GX,Q2 FY2012,JAN FY2012,184,01-01-2021
13,QKBU,N9300,N9K-C9364C-GX,Q3 FY2012,FEB FY2012,101,01-02-2021
14,QKBU,N9300,N9K-C9364C-GX,Q3 FY2012,MAR FY2012,105,01-03-2021
15,QKBU,N9300,N9K-C9364C-GX,Q3 FY2012,APR FY2012,442,01-04-2021
16,QKBU,N9300,N9K-C9364C-GX,Q4 FY2012,MAY FY2012,171,01-05-2021
17,QKBU,N9300,N9K-C9364C-GX,Q4 FY2012,JUN FY2012,175,01-06-2021
18,QKBU,N9300,N9K-C9364C-GX,Q4 FY2012,JUL FY2012,548,01-07-2021
19,QKBU,N9300,N9K-C9364C-GX,Q1 FY2012,AUG FY2012,63,01-08-2021
20,QKBU,N9300,N9K-C9364C-GX,Q1 FY2012,SEP FY2012,24,01-09-2021
21,QKBU,N9300,N9K-C9364C-GX,Q1 FY2012,OCT FY2012,217,01-10-2021
22,QKBU,N9300,N9K-C9364C-GX,Q2 FY2012,NOV FY2012,270,01-11-2021
23,QKBU,N9300,N9K-C9364C-GX,Q2 FY2012,DEC FY2012,125,01-12-2021
24,QKBU,N9300,N9K-C9364C-GX,Q2 FY2022,JAN FY2022,538,01-01-2022
25,QKBU,N9300,N9K-C9364C-GX,,,498,01-02-2022
26,QKBU,N9300,N9K-C9364C-GX,,,458,01-03-2022
27,QKBU,N9300,N9K-C9364C-GX,,,418,01-04-2022
28,QKBU,N9300,N9K-C9364C-GX,,,378,01-05-2022
29,QKBU,N9300,N9K-C9364C-GX,,,338,01-06-2022
30,QKBU,N9300,N9K-C9364C-GX,,,298,01-07-2022
31,QKBU,N9300,N9K-C9364C-GX,Q1 FY2022,AUG FY2022,257,01-08-2022
32,QKBU,N9300,N9K-C9364C-GX,Q1 FY2022,SEP FY2022,158,01-09-2022
33,QKBU,N9300,N9K-C9364C-GX,Q1 FY2022,OCT FY2022,407,01-10-2022
34,QKBU,N9300,N9K-C9364C-GX,Q2 FY2022,NOV FY2022,362,01-11-2022
