,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,QKBU,N9300,N9K-C9364C,Q4 FY2002,JUL FY2002,68,01-07-2017
1,QKBU,N9300,N9K-C9364C,,,150,01-08-2017
2,QKBU,N9300,N9K-C9364C,,,232,01-09-2017
3,QKBU,N9300,N9K-C9364C,,,313,01-10-2017
4,QKBU,N9300,N9K-C9364C,,,395,01-11-2017
5,QKBU,N9300,N9K-C9364C,,,477,01-12-2017
6,QKBU,N9300,N9K-C9364C,Q2 FY2008,JAN FY2008,558,01-01-2018
7,QKBU,N9300,N9K-C9364C,Q3 FY2008,FEB FY2008,175,01-02-2018
8,QKBU,N9300,N9K-C9364C,Q3 FY2008,MAR FY2008,526,01-03-2018
9,QKBU,N9300,N9K-C9364C,Q3 FY2008,APR FY2008,697,01-04-2018
10,QKBU,N9300,N9K-C9364C,Q4 FY2008,MAY FY2008,565,01-05-2018
11,QKBU,N9300,N9K-C9364C,Q4 FY2008,JUN FY2008,537,01-06-2018
12,QKBU,N9300,N9K-C9364C,Q4 FY2008,JUL FY2008,1547,01-07-2018
13,QKBU,N9300,N9K-C9364C,Q1 FY2008,AUG FY2008,29,01-08-2018
14,QKBU,N9300,N9K-C9364C,Q1 FY2008,SEP FY2008,169,01-09-2018
15,QKBU,N9300,N9K-C9364C,Q1 FY2008,OCT FY2008,314,01-10-2018
16,QKBU,N9300,N9K-C9364C,Q2 FY2008,NOV FY2008,304,01-11-2018
17,QKBU,N9300,N9K-C9364C,Q2 FY2008,DEC FY2008,337,01-12-2018
18,QKBU,N9300,N9K-C9364C,Q2 FY2007,JAN FY2007,491,01-01-2019
19,QKBU,N9300,N9K-C9364C,Q3 FY2007,FEB FY2007,361,01-02-2019
20,QKBU,N9300,N9K-C9364C,Q3 FY2007,MAR FY2007,324,01-03-2019
21,QKBU,N9300,N9K-C9364C,Q3 FY2007,APR FY2007,400,01-04-2019
22,QKBU,N9300,N9K-C9364C,Q4 FY2007,MAY FY2007,217,01-05-2019
23,QKBU,N9300,N9K-C9364C,Q4 FY2007,JUN FY2007,194,01-06-2019
24,QKBU,N9300,N9K-C9364C,Q4 FY2007,JUL FY2007,612,01-07-2019
25,QKBU,N9300,N9K-C9364C,Q1 FY2007,AUG FY2007,293,01-08-2019
26,QKBU,N9300,N9K-C9364C,Q1 FY2007,SEP FY2007,566,01-09-2019
27,QKBU,N9300,N9K-C9364C,Q1 FY2007,OCT FY2007,686,01-10-2019
28,QKBU,N9300,N9K-C9364C,Q2 FY2007,NOV FY2007,159,01-11-2019
29,QKBU,N9300,N9K-C9364C,Q2 FY2007,DEC FY2007,473,01-12-2019
30,QKBU,N9300,N9K-C9364C,Q2 FY2011,JAN FY2011,453,01-01-2020
31,QKBU,N9300,N9K-C9364C,Q3 FY2011,FEB FY2011,148,01-02-2020
32,QKBU,N9300,N9K-C9364C,Q3 FY2011,MAR FY2011,254,01-03-2020
33,QKBU,N9300,N9K-C9364C,Q3 FY2011,APR FY2011,366,01-04-2020
34,QKBU,N9300,N9K-C9364C,Q4 FY2011,MAY FY2011,269,01-05-2020
35,QKBU,N9300,N9K-C9364C,Q4 FY2011,JUN FY2011,140,01-06-2020
36,QKBU,N9300,N9K-C9364C,Q4 FY2011,JUL FY2011,443,01-07-2020
37,QKBU,N9300,N9K-C9364C,Q1 FY2011,AUG FY2011,247,01-08-2020
38,QKBU,N9300,N9K-C9364C,Q1 FY2011,SEP FY2011,191,01-09-2020
39,QKBU,N9300,N9K-C9364C,Q1 FY2011,OCT FY2011,531,01-10-2020
40,QKBU,N9300,N9K-C9364C,Q2 FY2011,NOV FY2011,162,01-11-2020
41,QKBU,N9300,N9K-C9364C,Q2 FY2011,DEC FY2011,289,01-12-2020
42,QKBU,N9300,N9K-C9364C,Q2 FY2012,JAN FY2012,254,01-01-2021
43,QKBU,N9300,N9K-C9364C,Q3 FY2012,FEB FY2012,234,01-02-2021
44,QKBU,N9300,N9K-C9364C,Q3 FY2012,MAR FY2012,144,01-03-2021
45,QKBU,N9300,N9K-C9364C,Q3 FY2012,APR FY2012,277,01-04-2021
46,QKBU,N9300,N9K-C9364C,Q4 FY2012,MAY FY2012,152,01-05-2021
47,QKBU,N9300,N9K-C9364C,Q4 FY2012,JUN FY2012,197,01-06-2021
48,QKBU,N9300,N9K-C9364C,Q4 FY2012,JUL FY2012,442,01-07-2021
49,QKBU,N9300,N9K-C9364C,Q1 FY2012,AUG FY2012,214,01-08-2021
50,QKBU,N9300,N9K-C9364C,Q1 FY2012,SEP FY2012,173,01-09-2021
51,QKBU,N9300,N9K-C9364C,Q1 FY2012,OCT FY2012,357,01-10-2021
52,QKBU,N9300,N9K-C9364C,Q2 FY2012,NOV FY2012,270,01-11-2021
53,QKBU,N9300,N9K-C9364C,Q2 FY2012,DEC FY2012,222,01-12-2021
54,QKBU,N9300,N9K-C9364C,Q2 FY2022,JAN FY2022,140,01-01-2022
55,QKBU,N9300,N9K-C9364C,,,148,01-02-2022
56,QKBU,N9300,N9K-C9364C,,,156,01-03-2022
57,QKBU,N9300,N9K-C9364C,,,164,01-04-2022
58,QKBU,N9300,N9K-C9364C,,,172,01-05-2022
59,QKBU,N9300,N9K-C9364C,,,180,01-06-2022
60,QKBU,N9300,N9K-C9364C,,,188,01-07-2022
61,QKBU,N9300,N9K-C9364C,Q1 FY2022,AUG FY2022,195,01-08-2022
