,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,QKBU,N9500,N9K-C9508-FM-G,Q4 FY2011,JUN FY2011,8,01-06-2020
1,QKBU,N9500,N9K-C9508-FM-G,Q4 FY2011,JUL FY2011,24,01-07-2020
2,QKBU,N9500,N9K-C9508-FM-G,,,32,01-08-2020
3,QKBU,N9500,N9K-C9508-FM-G,,,39,01-09-2020
4,QKBU,N9500,N9K-C9508-FM-G,,,46,01-10-2020
5,QKBU,N9500,N9K-C9508-FM-G,,,54,01-11-2020
6,QKBU,N9500,N9K-C9508-FM-G,,,61,01-12-2020
7,QKBU,N9500,N9K-C9508-FM-G,Q2 FY2012,JAN FY2012,68,01-01-2021
8,QKBU,N9500,N9K-C9508-FM-G,Q3 FY2012,FEB FY2012,11,01-02-2021
9,QKBU,N9500,N9K-C9508-FM-G,Q3 FY2012,MAR FY2012,25,01-03-2021
10,QKBU,N9500,N9K-C9508-FM-G,Q3 FY2012,APR FY2012,16,01-04-2021
11,QKBU,N9500,N9K-C9508-FM-G,Q4 FY2012,MAY FY2012,102,01-05-2021
12,QKBU,N9500,N9K-C9508-FM-G,Q4 FY2012,JUN FY2012,16,01-06-2021
13,QKBU,N9500,N9K-C9508-FM-G,Q4 FY2012,JUL FY2012,536,01-07-2021
14,QKBU,N9500,N9K-C9508-FM-G,Q1 FY2012,AUG FY2012,0,01-08-2021
15,QKBU,N9500,N9K-C9508-FM-G,Q1 FY2012,SEP FY2012,60,01-09-2021
16,QKBU,N9500,N9K-C9508-FM-G,Q1 FY2012,OCT FY2012,242,01-10-2021
17,QKBU,N9500,N9K-C9508-FM-G,Q2 FY2012,NOV FY2012,22,01-11-2021
18,QKBU,N9500,N9K-C9508-FM-G,Q2 FY2012,DEC FY2012,32,01-12-2021
19,QKBU,N9500,N9K-C9508-FM-G,Q2 FY2022,JAN FY2022,250,01-01-2022
20,QKBU,N9500,N9K-C9508-FM-G,,,228,01-02-2022
21,QKBU,N9500,N9K-C9508-FM-G,,,205,01-03-2022
22,QKBU,N9500,N9K-C9508-FM-G,,,182,01-04-2022
23,QKBU,N9500,N9K-C9508-FM-G,,,159,01-05-2022
24,QKBU,N9500,N9K-C9508-FM-G,,,136,01-06-2022
25,QKBU,N9500,N9K-C9508-FM-G,,,113,01-07-2022
26,QKBU,N9500,N9K-C9508-FM-G,Q1 FY2022,AUG FY2022,90,01-08-2022
27,QKBU,N9500,N9K-C9508-FM-G,Q1 FY2022,SEP FY2022,16,01-09-2022
28,QKBU,N9500,N9K-C9508-FM-G,Q1 FY2022,OCT FY2022,243,01-10-2022
29,QKBU,N9500,N9K-C9508-FM-G,Q2 FY2022,NOV FY2022,250,01-11-2022
