,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2002,JAN FY2002,57,01-01-2017
1,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2002,FEB FY2002,38,01-02-2017
2,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2002,MAR FY2002,172,01-03-2017
3,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2002,APR FY2002,281,01-04-2017
4,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2002,MAY FY2002,148,01-05-2017
5,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2002,JUN FY2002,244,01-06-2017
6,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2002,JUL FY2002,299,01-07-2017
7,QKBU,N9500,N9K-X97160YC-EX,,,250,01-08-2017
8,QKBU,N9500,N9K-X97160YC-EX,,,201,01-09-2017
9,QKBU,N9500,N9K-X97160YC-EX,,,151,01-10-2017
10,QKBU,N9500,N9K-X97160YC-EX,,,102,01-11-2017
11,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2002,DEC FY2002,52,01-12-2017
12,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2008,JAN FY2008,258,01-01-2018
13,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2008,FEB FY2008,201,01-02-2018
14,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2008,MAR FY2008,569,01-03-2018
15,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2008,APR FY2008,742,01-04-2018
16,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2008,MAY FY2008,361,01-05-2018
17,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2008,JUN FY2008,333,01-06-2018
18,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2008,JUL FY2008,1136,01-07-2018
19,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2008,AUG FY2008,108,01-08-2018
20,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2008,SEP FY2008,239,01-09-2018
21,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2008,OCT FY2008,379,01-10-2018
22,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2008,NOV FY2008,305,01-11-2018
23,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2008,DEC FY2008,303,01-12-2018
24,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2007,JAN FY2007,556,01-01-2019
25,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2007,FEB FY2007,423,01-02-2019
26,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2007,MAR FY2007,404,01-03-2019
27,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2007,APR FY2007,683,01-04-2019
28,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2007,MAY FY2007,406,01-05-2019
29,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2007,JUN FY2007,637,01-06-2019
30,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2007,JUL FY2007,912,01-07-2019
31,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2007,AUG FY2007,138,01-08-2019
32,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2007,SEP FY2007,403,01-09-2019
33,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2007,OCT FY2007,884,01-10-2019
34,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2007,NOV FY2007,450,01-11-2019
35,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2007,DEC FY2007,640,01-12-2019
36,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2011,JAN FY2011,485,01-01-2020
37,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2011,FEB FY2011,208,01-02-2020
38,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2011,MAR FY2011,353,01-03-2020
39,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2011,APR FY2011,620,01-04-2020
40,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2011,MAY FY2011,200,01-05-2020
41,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2011,JUN FY2011,322,01-06-2020
42,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2011,JUL FY2011,1004,01-07-2020
43,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2011,AUG FY2011,214,01-08-2020
44,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2011,SEP FY2011,401,01-09-2020
45,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2011,OCT FY2011,664,01-10-2020
46,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2011,NOV FY2011,262,01-11-2020
47,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2011,DEC FY2011,458,01-12-2020
48,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2012,JAN FY2012,516,01-01-2021
49,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2012,FEB FY2012,283,01-02-2021
50,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2012,MAR FY2012,508,01-03-2021
51,QKBU,N9500,N9K-X97160YC-EX,Q3 FY2012,APR FY2012,515,01-04-2021
52,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2012,MAY FY2012,383,01-05-2021
53,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2012,JUN FY2012,470,01-06-2021
54,QKBU,N9500,N9K-X97160YC-EX,Q4 FY2012,JUL FY2012,830,01-07-2021
55,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2012,AUG FY2012,322,01-08-2021
56,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2012,SEP FY2012,389,01-09-2021
57,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2012,OCT FY2012,535,01-10-2021
58,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2012,NOV FY2012,381,01-11-2021
59,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2012,DEC FY2012,349,01-12-2021
60,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2022,JAN FY2022,378,01-01-2022
61,QKBU,N9500,N9K-X97160YC-EX,,,420,01-02-2022
62,QKBU,N9500,N9K-X97160YC-EX,,,462,01-03-2022
63,QKBU,N9500,N9K-X97160YC-EX,,,504,01-04-2022
64,QKBU,N9500,N9K-X97160YC-EX,,,546,01-05-2022
65,QKBU,N9500,N9K-X97160YC-EX,,,588,01-06-2022
66,QKBU,N9500,N9K-X97160YC-EX,,,630,01-07-2022
67,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2022,AUG FY2022,672,01-08-2022
68,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2022,SEP FY2022,544,01-09-2022
69,QKBU,N9500,N9K-X97160YC-EX,Q1 FY2022,OCT FY2022,812,01-10-2022
70,QKBU,N9500,N9K-X97160YC-EX,Q2 FY2022,NOV FY2022,478,01-11-2022
