,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,QKBU,N9500,N9K-X9736C-FX,Q4 FY2002,JUL FY2002,72,01-07-2017
1,QKBU,N9500,N9K-X9736C-FX,,,91,01-08-2017
2,QKBU,N9500,N9K-X9736C-FX,,,110,01-09-2017
3,QKBU,N9500,N9K-X9736C-FX,,,129,01-10-2017
4,QKBU,N9500,N9K-X9736C-FX,,,148,01-11-2017
5,QKBU,N9500,N9K-X9736C-FX,,,167,01-12-2017
6,QKBU,N9500,N9K-X9736C-FX,Q2 FY2008,JAN FY2008,186,01-01-2018
7,QKBU,N9500,N9K-X9736C-FX,Q3 FY2008,FEB FY2008,212,01-02-2018
8,QKBU,N9500,N9K-X9736C-FX,Q3 FY2008,MAR FY2008,419,01-03-2018
9,QKBU,N9500,N9K-X9736C-FX,Q3 FY2008,APR FY2008,322,01-04-2018
10,QKBU,N9500,N9K-X9736C-FX,Q4 FY2008,MAY FY2008,130,01-05-2018
11,QKBU,N9500,N9K-X9736C-FX,Q4 FY2008,JUN FY2008,261,01-06-2018
12,QKBU,N9500,N9K-X9736C-FX,Q4 FY2008,JUL FY2008,723,01-07-2018
13,QKBU,N9500,N9K-X9736C-FX,Q1 FY2008,AUG FY2008,3,01-08-2018
14,QKBU,N9500,N9K-X9736C-FX,Q1 FY2008,SEP FY2008,2,01-09-2018
15,QKBU,N9500,N9K-X9736C-FX,Q1 FY2008,OCT FY2008,103,01-10-2018
16,QKBU,N9500,N9K-X9736C-FX,Q2 FY2008,NOV FY2008,85,01-11-2018
17,QKBU,N9500,N9K-X9736C-FX,Q2 FY2008,DEC FY2008,109,01-12-2018
18,QKBU,N9500,N9K-X9736C-FX,Q2 FY2007,JAN FY2007,466,01-01-2019
19,QKBU,N9500,N9K-X9736C-FX,Q3 FY2007,FEB FY2007,410,01-02-2019
20,QKBU,N9500,N9K-X9736C-FX,Q3 FY2007,MAR FY2007,613,01-03-2019
21,QKBU,N9500,N9K-X9736C-FX,Q3 FY2007,APR FY2007,913,01-04-2019
22,QKBU,N9500,N9K-X9736C-FX,Q4 FY2007,MAY FY2007,408,01-05-2019
23,QKBU,N9500,N9K-X9736C-FX,Q4 FY2007,JUN FY2007,1270,01-06-2019
24,QKBU,N9500,N9K-X9736C-FX,Q4 FY2007,JUL FY2007,1060,01-07-2019
25,QKBU,N9500,N9K-X9736C-FX,Q1 FY2007,AUG FY2007,237,01-08-2019
26,QKBU,N9500,N9K-X9736C-FX,Q1 FY2007,SEP FY2007,258,01-09-2019
27,QKBU,N9500,N9K-X9736C-FX,Q1 FY2007,OCT FY2007,845,01-10-2019
28,QKBU,N9500,N9K-X9736C-FX,Q2 FY2007,NOV FY2007,563,01-11-2019
29,QKBU,N9500,N9K-X9736C-FX,Q2 FY2007,DEC FY2007,827,01-12-2019
30,QKBU,N9500,N9K-X9736C-FX,Q2 FY2011,JAN FY2011,820,01-01-2020
31,QKBU,N9500,N9K-X9736C-FX,Q3 FY2011,FEB FY2011,449,01-02-2020
32,QKBU,N9500,N9K-X9736C-FX,Q3 FY2011,MAR FY2011,423,01-03-2020
33,QKBU,N9500,N9K-X9736C-FX,Q3 FY2011,APR FY2011,1130,01-04-2020
34,QKBU,N9500,N9K-X9736C-FX,Q4 FY2011,MAY FY2011,354,01-05-2020
35,QKBU,N9500,N9K-X9736C-FX,Q4 FY2011,JUN FY2011,560,01-06-2020
36,QKBU,N9500,N9K-X9736C-FX,Q4 FY2011,JUL FY2011,896,01-07-2020
37,QKBU,N9500,N9K-X9736C-FX,Q1 FY2011,AUG FY2011,233,01-08-2020
38,QKBU,N9500,N9K-X9736C-FX,Q1 FY2011,SEP FY2011,487,01-09-2020
39,QKBU,N9500,N9K-X9736C-FX,Q1 FY2011,OCT FY2011,703,01-10-2020
40,QKBU,N9500,N9K-X9736C-FX,Q2 FY2011,NOV FY2011,381,01-11-2020
41,QKBU,N9500,N9K-X9736C-FX,Q2 FY2011,DEC FY2011,558,01-12-2020
42,QKBU,N9500,N9K-X9736C-FX,Q2 FY2012,JAN FY2012,802,01-01-2021
43,QKBU,N9500,N9K-X9736C-FX,Q3 FY2012,FEB FY2012,739,01-02-2021
44,QKBU,N9500,N9K-X9736C-FX,Q3 FY2012,MAR FY2012,764,01-03-2021
45,QKBU,N9500,N9K-X9736C-FX,Q3 FY2012,APR FY2012,767,01-04-2021
46,QKBU,N9500,N9K-X9736C-FX,Q4 FY2012,MAY FY2012,756,01-05-2021
47,QKBU,N9500,N9K-X9736C-FX,Q4 FY2012,JUN FY2012,1019,01-06-2021
48,QKBU,N9500,N9K-X9736C-FX,Q4 FY2012,JUL FY2012,1385,01-07-2021
49,QKBU,N9500,N9K-X9736C-FX,Q1 FY2012,AUG FY2012,331,01-08-2021
50,QKBU,N9500,N9K-X9736C-FX,Q1 FY2012,SEP FY2012,487,01-09-2021
51,QKBU,N9500,N9K-X9736C-FX,Q1 FY2012,OCT FY2012,959,01-10-2021
52,QKBU,N9500,N9K-X9736C-FX,Q2 FY2012,NOV FY2012,682,01-11-2021
53,QKBU,N9500,N9K-X9736C-FX,Q2 FY2012,DEC FY2012,629,01-12-2021
54,QKBU,N9500,N9K-X9736C-FX,Q2 FY2022,JAN FY2022,1031,01-01-2022
55,QKBU,N9500,N9K-X9736C-FX,,,955,01-02-2022
56,QKBU,N9500,N9K-X9736C-FX,,,879,01-03-2022
57,QKBU,N9500,N9K-X9736C-FX,,,803,01-04-2022
58,QKBU,N9500,N9K-X9736C-FX,,,727,01-05-2022
59,QKBU,N9500,N9K-X9736C-FX,,,651,01-06-2022
60,QKBU,N9500,N9K-X9736C-FX,,,575,01-07-2022
61,QKBU,N9500,N9K-X9736C-FX,Q1 FY2022,AUG FY2022,499,01-08-2022
62,QKBU,N9500,N9K-X9736C-FX,Q1 FY2022,SEP FY2022,685,01-09-2022
63,QKBU,N9500,N9K-X9736C-FX,Q1 FY2022,OCT FY2022,1386,01-10-2022
64,QKBU,N9500,N9K-X9736C-FX,Q2 FY2022,NOV FY2022,875,01-11-2022
