,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,NCS55FC,NC-57-36H-SE,Q2 FY2012,JAN FY2012,1,01-01-2021
1,CRBU,NCS55FC,NC-57-36H-SE,,,15,01-02-2021
2,CRBU,NCS55FC,NC-57-36H-SE,Q3 FY2012,MAR FY2012,28,01-03-2021
3,CRBU,NCS55FC,NC-57-36H-SE,Q3 FY2012,APR FY2012,8,01-04-2021
4,CRBU,NCS55FC,NC-57-36H-SE,Q4 FY2012,MAY FY2012,19,01-05-2021
5,CRBU,NCS55FC,NC-57-36H-SE,Q4 FY2012,JUN FY2012,26,01-06-2021
6,CRBU,NCS55FC,NC-57-36H-SE,Q4 FY2012,JUL FY2012,15,01-07-2021
7,CRBU,NCS55FC,NC-57-36H-SE,,,18,01-08-2021
8,CRBU,NCS55FC,NC-57-36H-SE,,,21,01-09-2021
9,CRBU,NCS55FC,NC-57-36H-SE,,,24,01-10-2021
10,CRBU,NCS55FC,NC-57-36H-SE,,,27,01-11-2021
11,CRBU,NCS55FC,NC-57-36H-SE,,,30,01-12-2021
12,CRBU,NCS55FC,NC-57-36H-SE,Q2 FY2022,JAN FY2022,33,01-01-2022
13,CRBU,NCS55FC,NC-57-36H-SE,,,30,01-02-2022
14,CRBU,NCS55FC,NC-57-36H-SE,,,26,01-03-2022
15,CRBU,NCS55FC,NC-57-36H-SE,,,23,01-04-2022
16,CRBU,NCS55FC,NC-57-36H-SE,,,19,01-05-2022
17,CRBU,NCS55FC,NC-57-36H-SE,,,16,01-06-2022
18,CRBU,NCS55FC,NC-57-36H-SE,,,12,01-07-2022
19,CRBU,NCS55FC,NC-57-36H-SE,Q1 FY2022,AUG FY2022,8,01-08-2022
20,CRBU,NCS55FC,NC-57-36H-SE,Q1 FY2022,SEP FY2022,272,01-09-2022
21,CRBU,NCS55FC,NC-57-36H-SE,Q1 FY2022,OCT FY2022,24,01-10-2022
22,CRBU,NCS55FC,NC-57-36H-SE,Q2 FY2022,NOV FY2022,2,01-11-2022
