,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,NCS55FC,NC-57-36H6D-S,Q4 FY2012,MAY FY2012,1,01-05-2021
1,CRBU,NCS55FC,NC-57-36H6D-S,Q4 FY2012,JUN FY2012,1,01-06-2021
2,CRBU,NCS55FC,NC-57-36H6D-S,Q4 FY2012,JUL FY2012,18,01-07-2021
3,CRBU,NCS55FC,NC-57-36H6D-S,,,19,01-08-2021
4,CRBU,NCS55FC,NC-57-36H6D-S,,,20,01-09-2021
5,CRBU,NCS55FC,NC-57-36H6D-S,,,20,01-10-2021
6,CRBU,NCS55FC,NC-57-36H6D-S,,,21,01-11-2021
7,CRBU,NCS55FC,NC-57-36H6D-S,,,22,01-12-2021
8,CRBU,NCS55FC,NC-57-36H6D-S,Q2 FY2022,JAN FY2022,22,01-01-2022
9,CRBU,NCS55FC,NC-57-36H6D-S,,,25,01-02-2022
10,CRBU,NCS55FC,NC-57-36H6D-S,,,28,01-03-2022
11,CRBU,NCS55FC,NC-57-36H6D-S,,,30,01-04-2022
12,CRBU,NCS55FC,NC-57-36H6D-S,,,33,01-05-2022
13,CRBU,NCS55FC,NC-57-36H6D-S,,,35,01-06-2022
14,CRBU,NCS55FC,NC-57-36H6D-S,,,38,01-07-2022
15,CRBU,NCS55FC,NC-57-36H6D-S,Q1 FY2022,AUG FY2022,40,01-08-2022
16,CRBU,NCS55FC,NC-57-36H6D-S,Q1 FY2022,SEP FY2022,3,01-09-2022
17,CRBU,NCS55FC,NC-57-36H6D-S,Q1 FY2022,OCT FY2022,6,01-10-2022
18,CRBU,NCS55FC,NC-57-36H6D-S,Q2 FY2022,NOV FY2022,14,01-11-2022
