,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2002,JUL FY2002,3,01-07-2017
1,CRBU,NCS5500,NC55-36X100G-A-SE,,,4,01-08-2017
2,CRBU,NCS5500,NC55-36X100G-A-SE,,,5,01-09-2017
3,CRBU,NCS5500,NC55-36X100G-A-SE,,,6,01-10-2017
4,CRBU,NCS5500,NC55-36X100G-A-SE,,,7,01-11-2017
5,CRBU,NCS5500,NC55-36X100G-A-SE,,,8,01-12-2017
6,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2008,JAN FY2008,9,01-01-2018
7,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2008,FEB FY2008,31,01-02-2018
8,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2008,MAR FY2008,28,01-03-2018
9,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2008,APR FY2008,47,01-04-2018
10,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2008,MAY FY2008,22,01-05-2018
11,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2008,JUN FY2008,126,01-06-2018
12,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2008,JUL FY2008,67,01-07-2018
13,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2008,AUG FY2008,1,01-08-2018
14,CRBU,NCS5500,NC55-36X100G-A-SE,,,2,01-09-2018
15,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2008,OCT FY2008,3,01-10-2018
16,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2008,NOV FY2008,2,01-11-2018
17,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2008,DEC FY2008,19,01-12-2018
18,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2007,JAN FY2007,151,01-01-2019
19,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2007,FEB FY2007,44,01-02-2019
20,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2007,MAR FY2007,65,01-03-2019
21,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2007,APR FY2007,156,01-04-2019
22,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2007,MAY FY2007,38,01-05-2019
23,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2007,JUN FY2007,196,01-06-2019
24,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2007,JUL FY2007,59,01-07-2019
25,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2007,AUG FY2007,14,01-08-2019
26,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2007,SEP FY2007,21,01-09-2019
27,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2007,OCT FY2007,133,01-10-2019
28,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2007,NOV FY2007,22,01-11-2019
29,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2007,DEC FY2007,218,01-12-2019
30,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2011,JAN FY2011,292,01-01-2020
31,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2011,FEB FY2011,4,01-02-2020
32,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2011,MAR FY2011,359,01-03-2020
33,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2011,APR FY2011,264,01-04-2020
34,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2011,MAY FY2011,28,01-05-2020
35,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2011,JUN FY2011,10,01-06-2020
