,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,NCS55FC,NC55-5504-FC2,Q2 FY2012,JAN FY2012,149,01-01-2021
1,CRBU,NCS55FC,NC55-5504-FC2,Q3 FY2012,FEB FY2012,588,01-02-2021
2,CRBU,NCS55FC,NC55-5504-FC2,Q3 FY2012,MAR FY2012,732,01-03-2021
3,CRBU,NCS55FC,NC55-5504-FC2,Q3 FY2012,APR FY2012,852,01-04-2021
4,CRBU,NCS55FC,NC55-5504-FC2,Q4 FY2012,MAY FY2012,78,01-05-2021
5,CRBU,NCS55FC,NC55-5504-FC2,Q4 FY2012,JUN FY2012,264,01-06-2021
6,CRBU,NCS55FC,NC55-5504-FC2,Q4 FY2012,JUL FY2012,148,01-07-2021
7,CRBU,NCS55FC,NC55-5504-FC2,,,119,01-08-2021
8,CRBU,NCS55FC,NC55-5504-FC2,,,90,01-09-2021
9,CRBU,NCS55FC,NC55-5504-FC2,Q1 FY2012,OCT FY2012,60,01-10-2021
10,CRBU,NCS55FC,NC55-5504-FC2,Q2 FY2012,NOV FY2012,24,01-11-2021
11,CRBU,NCS55FC,NC55-5504-FC2,Q2 FY2012,DEC FY2012,67,01-12-2021
12,CRBU,NCS55FC,NC55-5504-FC2,Q2 FY2022,JAN FY2022,458,01-01-2022
13,CRBU,NCS55FC,NC55-5504-FC2,,,432,01-02-2022
14,CRBU,NCS55FC,NC55-5504-FC2,,,405,01-03-2022
15,CRBU,NCS55FC,NC55-5504-FC2,,,378,01-04-2022
16,CRBU,NCS55FC,NC55-5504-FC2,,,351,01-05-2022
17,CRBU,NCS55FC,NC55-5504-FC2,,,324,01-06-2022
18,CRBU,NCS55FC,NC55-5504-FC2,,,297,01-07-2022
19,CRBU,NCS55FC,NC55-5504-FC2,Q1 FY2022,AUG FY2022,270,01-08-2022
20,CRBU,NCS55FC,NC55-5504-FC2,Q1 FY2022,SEP FY2022,812,01-09-2022
21,CRBU,NCS55FC,NC55-5504-FC2,Q1 FY2022,OCT FY2022,1,01-10-2022
22,CRBU,NCS55FC,NC55-5504-FC2,Q2 FY2022,NOV FY2022,90,01-11-2022
