,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2002,MAY FY2002,2,01-05-2017
1,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2002,JUN FY2002,8,01-06-2017
2,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2002,JUL FY2002,24,01-07-2017
3,CRBU,NCS6000,NC6-20X100GE-M-C,,,28,01-08-2017
4,CRBU,NCS6000,NC6-20X100GE-M-C,,,31,01-09-2017
5,CRBU,NCS6000,NC6-20X100GE-M-C,,,34,01-10-2017
6,CRBU,NCS6000,NC6-20X100GE-M-C,,,38,01-11-2017
7,CRBU,NCS6000,NC6-20X100GE-M-C,,,41,01-12-2017
8,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2008,JAN FY2008,44,01-01-2018
9,CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2008,FEB FY2008,10,01-02-2018
10,CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2008,MAR FY2008,3,01-03-2018
11,CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2008,APR FY2008,36,01-04-2018
12,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2008,MAY FY2008,1,01-05-2018
13,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2008,JUN FY2008,12,01-06-2018
14,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2008,JUL FY2008,27,01-07-2018
15,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2008,AUG FY2008,40,01-08-2018
16,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2008,SEP FY2008,15,01-09-2018
17,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2008,OCT FY2008,100,01-10-2018
18,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2008,NOV FY2008,9,01-11-2018
19,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2008,DEC FY2008,0,01-12-2018
20,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2007,JAN FY2007,14,01-01-2019
21,CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2007,FEB FY2007,15,01-02-2019
22,CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2007,MAR FY2007,14,01-03-2019
23,CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2007,APR FY2007,0,01-04-2019
24,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2007,MAY FY2007,2,01-05-2019
25,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2007,JUN FY2007,1,01-06-2019
26,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2007,JUL FY2007,22,01-07-2019
27,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2007,AUG FY2007,20,01-08-2019
28,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2007,SEP FY2007,95,01-09-2019
29,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2007,OCT FY2007,24,01-10-2019
30,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2007,NOV FY2007,1,01-11-2019
31,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2007,DEC FY2007,17,01-12-2019
32,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2011,JAN FY2011,25,01-01-2020
33,CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2011,FEB FY2011,0,01-02-2020
34,CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2011,MAR FY2011,0,01-03-2020
35,CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2011,APR FY2011,4,01-04-2020
36,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2011,MAY FY2011,2,01-05-2020
37,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2011,JUN FY2011,2,01-06-2020
38,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2011,JUL FY2011,1,01-07-2020
39,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2011,AUG FY2011,4,01-08-2020
40,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2011,SEP FY2011,17,01-09-2020
41,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2011,OCT FY2011,32,01-10-2020
42,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2011,NOV FY2011,1,01-11-2020
43,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2011,DEC FY2011,17,01-12-2020
44,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2012,JAN FY2012,27,01-01-2021
45,CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2012,FEB FY2012,10,01-02-2021
46,CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2012,MAR FY2012,18,01-03-2021
47,CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2012,APR FY2012,31,01-04-2021
48,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2012,MAY FY2012,5,01-05-2021
49,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2012,JUN FY2012,0,01-06-2021
50,CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2012,JUL FY2012,21,01-07-2021
51,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2012,AUG FY2012,0,01-08-2021
52,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2012,SEP FY2012,0,01-09-2021
53,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2012,OCT FY2012,9,01-10-2021
54,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2012,NOV FY2012,2,01-11-2021
55,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2012,DEC FY2012,2,01-12-2021
56,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2022,JAN FY2022,7,01-01-2022
57,CRBU,NCS6000,NC6-20X100GE-M-C,,,6,01-02-2022
58,CRBU,NCS6000,NC6-20X100GE-M-C,,,5,01-03-2022
59,CRBU,NCS6000,NC6-20X100GE-M-C,,,4,01-04-2022
60,CRBU,NCS6000,NC6-20X100GE-M-C,,,3,01-05-2022
61,CRBU,NCS6000,NC6-20X100GE-M-C,,,2,01-06-2022
62,CRBU,NCS6000,NC6-20X100GE-M-C,,,1,01-07-2022
63,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2022,AUG FY2022,0,01-08-2022
64,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2022,SEP FY2022,19,01-09-2022
65,CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2022,OCT FY2022,1,01-10-2022
66,CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2022,NOV FY2022,25,01-11-2022
