,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,NCS5500,NCS-5501-SE,Q4 FY2022,JUN FY2022,10,01-06-2016
1,CRBU,NCS5500,NCS-5501-SE,Q4 FY2022,JUL FY2022,43,01-07-2016
2,CRBU,NCS5500,NCS-5501-SE,,,68,01-08-2016
3,CRBU,NCS5500,NCS-5501-SE,,,93,01-09-2016
4,CRBU,NCS5500,NCS-5501-SE,,,117,01-10-2016
5,CRBU,NCS5500,NCS-5501-SE,,,142,01-11-2016
6,CRBU,NCS5500,NCS-5501-SE,,,167,01-12-2016
7,CRBU,NCS5500,NCS-5501-SE,Q2 FY2002,JAN FY2002,191,01-01-2017
8,CRBU,NCS5500,NCS-5501-SE,Q3 FY2002,FEB FY2002,169,01-02-2017
9,CRBU,NCS5500,NCS-5501-SE,Q3 FY2002,MAR FY2002,281,01-03-2017
10,CRBU,NCS5500,NCS-5501-SE,Q3 FY2002,APR FY2002,29,01-04-2017
11,CRBU,NCS5500,NCS-5501-SE,Q4 FY2002,MAY FY2002,33,01-05-2017
12,CRBU,NCS5500,NCS-5501-SE,Q4 FY2002,JUN FY2002,53,01-06-2017
13,CRBU,NCS5500,NCS-5501-SE,Q4 FY2002,JUL FY2002,273,01-07-2017
14,CRBU,NCS5500,NCS-5501-SE,Q1 FY2002,AUG FY2002,14,01-08-2017
15,CRBU,NCS5500,NCS-5501-SE,Q1 FY2002,SEP FY2002,75,01-09-2017
16,CRBU,NCS5500,NCS-5501-SE,Q1 FY2002,OCT FY2002,60,01-10-2017
17,CRBU,NCS5500,NCS-5501-SE,Q2 FY2002,NOV FY2002,73,01-11-2017
18,CRBU,NCS5500,NCS-5501-SE,Q2 FY2002,DEC FY2002,14,01-12-2017
19,CRBU,NCS5500,NCS-5501-SE,Q2 FY2008,JAN FY2008,200,01-01-2018
20,CRBU,NCS5500,NCS-5501-SE,Q3 FY2008,FEB FY2008,421,01-02-2018
21,CRBU,NCS5500,NCS-5501-SE,Q3 FY2008,MAR FY2008,100,01-03-2018
22,CRBU,NCS5500,NCS-5501-SE,Q3 FY2008,APR FY2008,320,01-04-2018
23,CRBU,NCS5500,NCS-5501-SE,Q4 FY2008,MAY FY2008,186,01-05-2018
24,CRBU,NCS5500,NCS-5501-SE,Q4 FY2008,JUN FY2008,138,01-06-2018
25,CRBU,NCS5500,NCS-5501-SE,Q4 FY2008,JUL FY2008,302,01-07-2018
26,CRBU,NCS5500,NCS-5501-SE,Q1 FY2008,AUG FY2008,140,01-08-2018
27,CRBU,NCS5500,NCS-5501-SE,Q1 FY2008,SEP FY2008,86,01-09-2018
28,CRBU,NCS5500,NCS-5501-SE,Q1 FY2008,OCT FY2008,94,01-10-2018
29,CRBU,NCS5500,NCS-5501-SE,Q2 FY2008,NOV FY2008,26,01-11-2018
30,CRBU,NCS5500,NCS-5501-SE,Q2 FY2008,DEC FY2008,124,01-12-2018
31,CRBU,NCS5500,NCS-5501-SE,Q2 FY2007,JAN FY2007,506,01-01-2019
32,CRBU,NCS5500,NCS-5501-SE,Q3 FY2007,FEB FY2007,133,01-02-2019
33,CRBU,NCS5500,NCS-5501-SE,Q3 FY2007,MAR FY2007,73,01-03-2019
34,CRBU,NCS5500,NCS-5501-SE,Q3 FY2007,APR FY2007,110,01-04-2019
35,CRBU,NCS5500,NCS-5501-SE,Q4 FY2007,MAY FY2007,42,01-05-2019
36,CRBU,NCS5500,NCS-5501-SE,Q4 FY2007,JUN FY2007,36,01-06-2019
37,CRBU,NCS5500,NCS-5501-SE,Q4 FY2007,JUL FY2007,321,01-07-2019
38,CRBU,NCS5500,NCS-5501-SE,Q1 FY2007,AUG FY2007,205,01-08-2019
39,CRBU,NCS5500,NCS-5501-SE,Q1 FY2007,SEP FY2007,759,01-09-2019
40,CRBU,NCS5500,NCS-5501-SE,Q1 FY2007,OCT FY2007,438,01-10-2019
41,CRBU,NCS5500,NCS-5501-SE,Q2 FY2007,NOV FY2007,55,01-11-2019
42,CRBU,NCS5500,NCS-5501-SE,Q2 FY2007,DEC FY2007,1272,01-12-2019
43,CRBU,NCS5500,NCS-5501-SE,Q2 FY2011,JAN FY2011,1470,01-01-2020
44,CRBU,NCS5500,NCS-5501-SE,Q3 FY2011,FEB FY2011,45,01-02-2020
45,CRBU,NCS5500,NCS-5501-SE,Q3 FY2011,MAR FY2011,115,01-03-2020
46,CRBU,NCS5500,NCS-5501-SE,Q3 FY2011,APR FY2011,352,01-04-2020
47,CRBU,NCS5500,NCS-5501-SE,Q4 FY2011,MAY FY2011,39,01-05-2020
48,CRBU,NCS5500,NCS-5501-SE,Q4 FY2011,JUN FY2011,30,01-06-2020
49,CRBU,NCS5500,NCS-5501-SE,Q4 FY2011,JUL FY2011,546,01-07-2020
50,CRBU,NCS5500,NCS-5501-SE,Q1 FY2011,AUG FY2011,513,01-08-2020
51,CRBU,NCS5500,NCS-5501-SE,Q1 FY2011,SEP FY2011,112,01-09-2020
52,CRBU,NCS5500,NCS-5501-SE,Q1 FY2011,OCT FY2011,1226,01-10-2020
53,CRBU,NCS5500,NCS-5501-SE,Q2 FY2011,NOV FY2011,225,01-11-2020
54,CRBU,NCS5500,NCS-5501-SE,Q2 FY2011,DEC FY2011,331,01-12-2020
55,CRBU,NCS5500,NCS-5501-SE,Q2 FY2012,JAN FY2012,11,01-01-2021
56,CRBU,NCS5500,NCS-5501-SE,Q3 FY2012,FEB FY2012,1027,01-02-2021
57,CRBU,NCS5500,NCS-5501-SE,Q3 FY2012,MAR FY2012,374,01-03-2021
58,CRBU,NCS5500,NCS-5501-SE,Q3 FY2012,APR FY2012,529,01-04-2021
59,CRBU,NCS5500,NCS-5501-SE,Q4 FY2012,MAY FY2012,36,01-05-2021
60,CRBU,NCS5500,NCS-5501-SE,Q4 FY2012,JUN FY2012,690,01-06-2021
61,CRBU,NCS5500,NCS-5501-SE,Q4 FY2012,JUL FY2012,141,01-07-2021
62,CRBU,NCS5500,NCS-5501-SE,Q1 FY2012,AUG FY2012,668,01-08-2021
63,CRBU,NCS5500,NCS-5501-SE,Q1 FY2012,SEP FY2012,447,01-09-2021
64,CRBU,NCS5500,NCS-5501-SE,Q1 FY2012,OCT FY2012,829,01-10-2021
65,CRBU,NCS5500,NCS-5501-SE,Q2 FY2012,NOV FY2012,290,01-11-2021
66,CRBU,NCS5500,NCS-5501-SE,Q2 FY2012,DEC FY2012,1637,01-12-2021
67,CRBU,NCS5500,NCS-5501-SE,Q2 FY2022,JAN FY2022,51,01-01-2022
68,CRBU,NCS5500,NCS-5501-SE,,,56,01-02-2022
69,CRBU,NCS5500,NCS-5501-SE,,,60,01-03-2022
70,CRBU,NCS5500,NCS-5501-SE,,,64,01-04-2022
71,CRBU,NCS5500,NCS-5501-SE,,,69,01-05-2022
72,CRBU,NCS5500,NCS-5501-SE,,,73,01-06-2022
73,CRBU,NCS5500,NCS-5501-SE,,,77,01-07-2022
74,CRBU,NCS5500,NCS-5501-SE,Q1 FY2022,AUG FY2022,81,01-08-2022
75,CRBU,NCS5500,NCS-5501-SE,Q1 FY2022,SEP FY2022,639,01-09-2022
76,CRBU,NCS5500,NCS-5501-SE,Q1 FY2022,OCT FY2022,87,01-10-2022
77,CRBU,NCS5500,NCS-5501-SE,Q2 FY2022,NOV FY2022,505,01-11-2022
