,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2007,JAN FY2007,4,01-01-2019
1,CRBU,NCS55FC,NCS-5504-SYS,,,8,01-02-2019
2,CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2007,MAR FY2007,12,01-03-2019
3,CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2007,APR FY2007,60,01-04-2019
4,CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2007,MAY FY2007,52,01-05-2019
5,CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2007,JUN FY2007,18,01-06-2019
6,CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2007,JUL FY2007,71,01-07-2019
7,CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2007,AUG FY2007,3,01-08-2019
8,CRBU,NCS55FC,NCS-5504-SYS,,,12,01-09-2019
9,CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2007,OCT FY2007,20,01-10-2019
10,CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2007,NOV FY2007,2,01-11-2019
11,CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2007,DEC FY2007,6,01-12-2019
12,CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2011,JAN FY2011,125,01-01-2020
13,CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2011,FEB FY2011,121,01-02-2020
14,CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2011,MAR FY2011,20,01-03-2020
15,CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2011,APR FY2011,79,01-04-2020
16,CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2011,MAY FY2011,38,01-05-2020
17,CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2011,JUN FY2011,9,01-06-2020
18,CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2011,JUL FY2011,594,01-07-2020
19,CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2011,AUG FY2011,10,01-08-2020
20,CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2011,SEP FY2011,33,01-09-2020
21,CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2011,OCT FY2011,190,01-10-2020
22,CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2011,NOV FY2011,119,01-11-2020
23,CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2011,DEC FY2011,348,01-12-2020
24,CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2012,JAN FY2012,7,01-01-2021
25,CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2012,FEB FY2012,139,01-02-2021
26,CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2012,MAR FY2012,178,01-03-2021
27,CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2012,APR FY2012,181,01-04-2021
28,CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2012,MAY FY2012,41,01-05-2021
29,CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2012,JUN FY2012,70,01-06-2021
30,CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2012,JUL FY2012,109,01-07-2021
31,CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2012,AUG FY2012,152,01-08-2021
32,CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2012,SEP FY2012,5,01-09-2021
33,CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2012,OCT FY2012,118,01-10-2021
34,CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2012,NOV FY2012,21,01-11-2021
35,CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2012,DEC FY2012,187,01-12-2021
36,CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2022,JAN FY2022,86,01-01-2022
37,CRBU,NCS55FC,NCS-5504-SYS,,,79,01-02-2022
38,CRBU,NCS55FC,NCS-5504-SYS,,,72,01-03-2022
39,CRBU,NCS55FC,NCS-5504-SYS,,,65,01-04-2022
40,CRBU,NCS55FC,NCS-5504-SYS,,,58,01-05-2022
41,CRBU,NCS55FC,NCS-5504-SYS,,,51,01-06-2022
42,CRBU,NCS55FC,NCS-5504-SYS,,,44,01-07-2022
43,CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2022,AUG FY2022,37,01-08-2022
44,CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2022,SEP FY2022,135,01-09-2022
45,CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2022,OCT FY2022,56,01-10-2022
46,CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2022,NOV FY2022,15,01-11-2022
