,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,NCS5500,NCS-5508,Q2 FY2022,JAN FY2022,1,01-01-2016
1,CRBU,NCS5500,NCS-5508,Q3 FY2022,FEB FY2022,1,01-02-2016
2,CRBU,NCS5500,NCS-5508,Q3 FY2022,MAR FY2022,0,01-03-2016
3,CRBU,NCS5500,NCS-5508,Q3 FY2022,APR FY2022,12,01-04-2016
4,CRBU,NCS5500,NCS-5508,Q4 FY2022,MAY FY2022,9,01-05-2016
5,CRBU,NCS5500,NCS-5508,Q4 FY2022,JUN FY2022,5,01-06-2016
6,CRBU,NCS5500,NCS-5508,Q4 FY2022,JUL FY2022,17,01-07-2016
7,CRBU,NCS5500,NCS-5508,,,15,01-08-2016
8,CRBU,NCS5500,NCS-5508,,,12,01-09-2016
9,CRBU,NCS5500,NCS-5508,,,9,01-10-2016
10,CRBU,NCS5500,NCS-5508,,,6,01-11-2016
11,CRBU,NCS5500,NCS-5508,Q2 FY2022,DEC FY2022,3,01-12-2016
12,CRBU,NCS5500,NCS-5508,Q2 FY2002,JAN FY2002,205,01-01-2017
13,CRBU,NCS5500,NCS-5508,Q3 FY2002,FEB FY2002,18,01-02-2017
14,CRBU,NCS5500,NCS-5508,Q3 FY2002,MAR FY2002,42,01-03-2017
15,CRBU,NCS5500,NCS-5508,Q3 FY2002,APR FY2002,58,01-04-2017
16,CRBU,NCS5500,NCS-5508,Q4 FY2002,MAY FY2002,28,01-05-2017
17,CRBU,NCS5500,NCS-5508,Q4 FY2002,JUN FY2002,89,01-06-2017
18,CRBU,NCS5500,NCS-5508,Q4 FY2002,JUL FY2002,61,01-07-2017
19,CRBU,NCS5500,NCS-5508,Q1 FY2002,AUG FY2002,3,01-08-2017
20,CRBU,NCS5500,NCS-5508,Q1 FY2002,SEP FY2002,32,01-09-2017
21,CRBU,NCS5500,NCS-5508,Q1 FY2002,OCT FY2002,58,01-10-2017
22,CRBU,NCS5500,NCS-5508,Q2 FY2002,NOV FY2002,23,01-11-2017
23,CRBU,NCS5500,NCS-5508,Q2 FY2002,DEC FY2002,20,01-12-2017
24,CRBU,NCS5500,NCS-5508,Q2 FY2008,JAN FY2008,47,01-01-2018
25,CRBU,NCS5500,NCS-5508,Q3 FY2008,FEB FY2008,22,01-02-2018
26,CRBU,NCS5500,NCS-5508,Q3 FY2008,MAR FY2008,51,01-03-2018
27,CRBU,NCS5500,NCS-5508,Q3 FY2008,APR FY2008,63,01-04-2018
28,CRBU,NCS5500,NCS-5508,Q4 FY2008,MAY FY2008,24,01-05-2018
29,CRBU,NCS5500,NCS-5508,Q4 FY2008,JUN FY2008,30,01-06-2018
30,CRBU,NCS5500,NCS-5508,Q4 FY2008,JUL FY2008,137,01-07-2018
31,CRBU,NCS5500,NCS-5508,Q1 FY2008,AUG FY2008,26,01-08-2018
32,CRBU,NCS5500,NCS-5508,Q1 FY2008,SEP FY2008,27,01-09-2018
33,CRBU,NCS5500,NCS-5508,Q1 FY2008,OCT FY2008,77,01-10-2018
34,CRBU,NCS5500,NCS-5508,Q2 FY2008,NOV FY2008,28,01-11-2018
35,CRBU,NCS5500,NCS-5508,Q2 FY2008,DEC FY2008,52,01-12-2018
36,CRBU,NCS5500,NCS-5508,Q2 FY2007,JAN FY2007,85,01-01-2019
37,CRBU,NCS5500,NCS-5508,Q3 FY2007,FEB FY2007,38,01-02-2019
38,CRBU,NCS5500,NCS-5508,Q3 FY2007,MAR FY2007,62,01-03-2019
39,CRBU,NCS5500,NCS-5508,Q3 FY2007,APR FY2007,80,01-04-2019
40,CRBU,NCS5500,NCS-5508,Q4 FY2007,MAY FY2007,19,01-05-2019
41,CRBU,NCS5500,NCS-5508,Q4 FY2007,JUN FY2007,60,01-06-2019
42,CRBU,NCS5500,NCS-5508,Q4 FY2007,JUL FY2007,79,01-07-2019
43,CRBU,NCS5500,NCS-5508,Q1 FY2007,AUG FY2007,2,01-08-2019
44,CRBU,NCS5500,NCS-5508,Q1 FY2007,SEP FY2007,29,01-09-2019
45,CRBU,NCS5500,NCS-5508,Q1 FY2007,OCT FY2007,107,01-10-2019
46,CRBU,NCS5500,NCS-5508,Q2 FY2007,NOV FY2007,29,01-11-2019
47,CRBU,NCS5500,NCS-5508,Q2 FY2007,DEC FY2007,75,01-12-2019
48,CRBU,NCS5500,NCS-5508,Q2 FY2011,JAN FY2011,62,01-01-2020
49,CRBU,NCS5500,NCS-5508,Q3 FY2011,FEB FY2011,55,01-02-2020
50,CRBU,NCS5500,NCS-5508,Q3 FY2011,MAR FY2011,115,01-03-2020
51,CRBU,NCS5500,NCS-5508,Q3 FY2011,APR FY2011,117,01-04-2020
52,CRBU,NCS5500,NCS-5508,Q4 FY2011,MAY FY2011,58,01-05-2020
53,CRBU,NCS5500,NCS-5508,Q4 FY2011,JUN FY2011,14,01-06-2020
54,CRBU,NCS5500,NCS-5508,Q4 FY2011,JUL FY2011,81,01-07-2020
55,CRBU,NCS5500,NCS-5508,Q1 FY2011,AUG FY2011,94,01-08-2020
56,CRBU,NCS5500,NCS-5508,Q1 FY2011,SEP FY2011,16,01-09-2020
57,CRBU,NCS5500,NCS-5508,Q1 FY2011,OCT FY2011,125,01-10-2020
58,CRBU,NCS5500,NCS-5508,Q2 FY2011,NOV FY2011,26,01-11-2020
59,CRBU,NCS5500,NCS-5508,Q2 FY2011,DEC FY2011,90,01-12-2020
60,CRBU,NCS5500,NCS-5508,Q2 FY2012,JAN FY2012,39,01-01-2021
61,CRBU,NCS5500,NCS-5508,Q3 FY2012,FEB FY2012,36,01-02-2021
62,CRBU,NCS5500,NCS-5508,Q3 FY2012,MAR FY2012,55,01-03-2021
63,CRBU,NCS5500,NCS-5508,Q3 FY2012,APR FY2012,58,01-04-2021
64,CRBU,NCS5500,NCS-5508,Q4 FY2012,MAY FY2012,47,01-05-2021
65,CRBU,NCS5500,NCS-5508,Q4 FY2012,JUN FY2012,160,01-06-2021
66,CRBU,NCS5500,NCS-5508,Q4 FY2012,JUL FY2012,191,01-07-2021
67,CRBU,NCS5500,NCS-5508,Q1 FY2012,AUG FY2012,22,01-08-2021
68,CRBU,NCS5500,NCS-5508,Q1 FY2012,SEP FY2012,21,01-09-2021
69,CRBU,NCS5500,NCS-5508,Q1 FY2012,OCT FY2012,154,01-10-2021
70,CRBU,NCS5500,NCS-5508,Q2 FY2012,NOV FY2012,48,01-11-2021
71,CRBU,NCS5500,NCS-5508,Q2 FY2012,DEC FY2012,17,01-12-2021
72,CRBU,NCS5500,NCS-5508,Q2 FY2022,JAN FY2022,21,01-01-2022
73,CRBU,NCS5500,NCS-5508,,,22,01-02-2022
74,CRBU,NCS5500,NCS-5508,,,22,01-03-2022
75,CRBU,NCS5500,NCS-5508,,,22,01-04-2022
76,CRBU,NCS5500,NCS-5508,,,23,01-05-2022
77,CRBU,NCS5500,NCS-5508,,,23,01-06-2022
78,CRBU,NCS5500,NCS-5508,,,23,01-07-2022
79,CRBU,NCS5500,NCS-5508,Q1 FY2022,AUG FY2022,23,01-08-2022
80,CRBU,NCS5500,NCS-5508,Q1 FY2022,SEP FY2022,70,01-09-2022
81,CRBU,NCS5500,NCS-5508,Q1 FY2022,OCT FY2022,27,01-10-2022
82,CRBU,NCS5500,NCS-5508,Q2 FY2022,NOV FY2022,49,01-11-2022
