,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q3 FY2008,FEB FY2008,2,01-02-2018
1,CRBU,NCS5500,NCS-55A1-36H-SE-S,,,5,01-03-2018
2,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q3 FY2008,APR FY2008,7,01-04-2018
3,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2008,MAY FY2008,13,01-05-2018
4,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2008,JUN FY2008,27,01-06-2018
5,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2008,JUL FY2008,0,01-07-2018
6,CRBU,NCS5500,NCS-55A1-36H-SE-S,,,1,01-08-2018
7,CRBU,NCS5500,NCS-55A1-36H-SE-S,,,1,01-09-2018
8,CRBU,NCS5500,NCS-55A1-36H-SE-S,,,2,01-10-2018
9,CRBU,NCS5500,NCS-55A1-36H-SE-S,,,2,01-11-2018
10,CRBU,NCS5500,NCS-55A1-36H-SE-S,,,3,01-12-2018
11,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q2 FY2007,JAN FY2007,3,01-01-2019
12,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q3 FY2007,FEB FY2007,19,01-02-2019
13,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q3 FY2007,MAR FY2007,24,01-03-2019
14,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q3 FY2007,APR FY2007,11,01-04-2019
15,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2007,MAY FY2007,2,01-05-2019
16,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2007,JUN FY2007,14,01-06-2019
17,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2007,JUL FY2007,35,01-07-2019
18,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q1 FY2007,AUG FY2007,2,01-08-2019
19,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q1 FY2007,SEP FY2007,6,01-09-2019
20,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q1 FY2007,OCT FY2007,22,01-10-2019
21,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q2 FY2007,NOV FY2007,12,01-11-2019
22,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q2 FY2007,DEC FY2007,40,01-12-2019
23,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q2 FY2011,JAN FY2011,17,01-01-2020
24,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q3 FY2011,FEB FY2011,8,01-02-2020
25,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q3 FY2011,MAR FY2011,51,01-03-2020
26,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q3 FY2011,APR FY2011,74,01-04-2020
27,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2011,MAY FY2011,18,01-05-2020
28,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2011,JUN FY2011,7,01-06-2020
29,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2011,JUL FY2011,31,01-07-2020
30,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q1 FY2011,AUG FY2011,4,01-08-2020
31,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q1 FY2011,SEP FY2011,7,01-09-2020
32,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q1 FY2011,OCT FY2011,32,01-10-2020
33,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q2 FY2011,NOV FY2011,7,01-11-2020
34,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q2 FY2011,DEC FY2011,19,01-12-2020
35,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q2 FY2012,JAN FY2012,30,01-01-2021
36,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q3 FY2012,FEB FY2012,28,01-02-2021
37,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q3 FY2012,MAR FY2012,16,01-03-2021
38,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q3 FY2012,APR FY2012,72,01-04-2021
39,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2012,MAY FY2012,60,01-05-2021
40,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2012,JUN FY2012,33,01-06-2021
41,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q4 FY2012,JUL FY2012,151,01-07-2021
42,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q1 FY2012,AUG FY2012,27,01-08-2021
43,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q1 FY2012,SEP FY2012,28,01-09-2021
44,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q1 FY2012,OCT FY2012,22,01-10-2021
45,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q2 FY2012,NOV FY2012,36,01-11-2021
46,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q2 FY2012,DEC FY2012,28,01-12-2021
47,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q2 FY2022,JAN FY2022,48,01-01-2022
48,CRBU,NCS5500,NCS-55A1-36H-SE-S,,,48,01-02-2022
49,CRBU,NCS5500,NCS-55A1-36H-SE-S,,,48,01-03-2022
50,CRBU,NCS5500,NCS-55A1-36H-SE-S,,,48,01-04-2022
51,CRBU,NCS5500,NCS-55A1-36H-SE-S,,,48,01-05-2022
52,CRBU,NCS5500,NCS-55A1-36H-SE-S,,,48,01-06-2022
53,CRBU,NCS5500,NCS-55A1-36H-SE-S,,,48,01-07-2022
54,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q1 FY2022,AUG FY2022,47,01-08-2022
55,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q1 FY2022,SEP FY2022,10,01-09-2022
56,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q1 FY2022,OCT FY2022,102,01-10-2022
57,CRBU,NCS5500,NCS-55A1-36H-SE-S,Q2 FY2022,NOV FY2022,5,01-11-2022
