,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2008,JUL FY2008,14,01-07-2018
1,CRBU,NCS55FC,NCS-55A1-36H-SYS,,,15,01-08-2018
2,CRBU,NCS55FC,NCS-55A1-36H-SYS,,,16,01-09-2018
3,CRBU,NCS55FC,NCS-55A1-36H-SYS,,,17,01-10-2018
4,CRBU,NCS55FC,NCS-55A1-36H-SYS,,,18,01-11-2018
5,CRBU,NCS55FC,NCS-55A1-36H-SYS,,,19,01-12-2018
6,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2007,JAN FY2007,19,01-01-2019
7,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2007,FEB FY2007,2,01-02-2019
8,CRBU,NCS55FC,NCS-55A1-36H-SYS,,,2,01-03-2019
9,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2007,APR FY2007,2,01-04-2019
10,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2007,MAY FY2007,10,01-05-2019
11,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2007,JUN FY2007,2,01-06-2019
12,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2007,JUL FY2007,10,01-07-2019
13,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2007,AUG FY2007,2,01-08-2019
14,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2007,SEP FY2007,2,01-09-2019
15,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2007,OCT FY2007,2,01-10-2019
16,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2007,NOV FY2007,6,01-11-2019
17,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2007,DEC FY2007,23,01-12-2019
18,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2011,JAN FY2011,42,01-01-2020
19,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2011,FEB FY2011,6,01-02-2020
20,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2011,MAR FY2011,18,01-03-2020
21,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2011,APR FY2011,20,01-04-2020
22,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2011,MAY FY2011,5,01-05-2020
23,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2011,JUN FY2011,28,01-06-2020
24,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2011,JUL FY2011,41,01-07-2020
25,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2011,AUG FY2011,0,01-08-2020
26,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2011,SEP FY2011,20,01-09-2020
27,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2011,OCT FY2011,11,01-10-2020
28,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2011,NOV FY2011,5,01-11-2020
29,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2011,DEC FY2011,22,01-12-2020
30,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2012,JAN FY2012,1,01-01-2021
31,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2012,FEB FY2012,28,01-02-2021
32,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2012,MAR FY2012,217,01-03-2021
33,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2012,APR FY2012,110,01-04-2021
34,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2012,MAY FY2012,322,01-05-2021
35,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2012,JUN FY2012,47,01-06-2021
36,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2012,JUL FY2012,47,01-07-2021
37,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2012,AUG FY2012,26,01-08-2021
38,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2012,SEP FY2012,40,01-09-2021
39,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2012,OCT FY2012,282,01-10-2021
40,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2012,NOV FY2012,134,01-11-2021
41,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2012,DEC FY2012,65,01-12-2021
42,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2022,JAN FY2022,214,01-01-2022
43,CRBU,NCS55FC,NCS-55A1-36H-SYS,,,191,01-02-2022
44,CRBU,NCS55FC,NCS-55A1-36H-SYS,,,168,01-03-2022
45,CRBU,NCS55FC,NCS-55A1-36H-SYS,,,145,01-04-2022
46,CRBU,NCS55FC,NCS-55A1-36H-SYS,,,122,01-05-2022
47,CRBU,NCS55FC,NCS-55A1-36H-SYS,,,99,01-06-2022
48,CRBU,NCS55FC,NCS-55A1-36H-SYS,,,76,01-07-2022
49,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2022,AUG FY2022,52,01-08-2022
50,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2022,SEP FY2022,78,01-09-2022
51,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2022,OCT FY2022,26,01-10-2022
52,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2022,NOV FY2022,132,01-11-2022
