,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q3 FY2012,MAR FY2012,1,01-03-2021
1,CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q3 FY2012,APR FY2012,24,01-04-2021
2,CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q4 FY2012,MAY FY2012,135,01-05-2021
3,CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q4 FY2012,JUN FY2012,26,01-06-2021
4,CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q4 FY2012,JUL FY2012,23,01-07-2021
5,CRBU,NCS55FC,NCS-57C3-MOD-SYS,,,53,01-08-2021
6,CRBU,NCS55FC,NCS-57C3-MOD-SYS,,,82,01-09-2021
7,CRBU,NCS55FC,NCS-57C3-MOD-SYS,,,111,01-10-2021
8,CRBU,NCS55FC,NCS-57C3-MOD-SYS,,,140,01-11-2021
9,CRBU,NCS55FC,NCS-57C3-MOD-SYS,,,169,01-12-2021
10,CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q2 FY2022,JAN FY2022,198,01-01-2022
11,CRBU,NCS55FC,NCS-57C3-MOD-SYS,,,173,01-02-2022
12,CRBU,NCS55FC,NCS-57C3-MOD-SYS,,,148,01-03-2022
13,CRBU,NCS55FC,NCS-57C3-MOD-SYS,,,123,01-04-2022
14,CRBU,NCS55FC,NCS-57C3-MOD-SYS,,,98,01-05-2022
15,CRBU,NCS55FC,NCS-57C3-MOD-SYS,,,73,01-06-2022
16,CRBU,NCS55FC,NCS-57C3-MOD-SYS,,,48,01-07-2022
17,CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q1 FY2022,AUG FY2022,23,01-08-2022
18,CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q1 FY2022,SEP FY2022,61,01-09-2022
19,CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q1 FY2022,OCT FY2022,118,01-10-2022
20,CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q2 FY2022,NOV FY2022,9,01-11-2022
