,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,NCS55FC,NCS-57C3-MODS-SYS,Q4 FY2012,JUN FY2012,1,01-06-2021
1,CRBU,NCS55FC,NCS-57C3-MODS-SYS,,,2,01-07-2021
2,CRBU,NCS55FC,NCS-57C3-MODS-SYS,,,2,01-08-2021
3,CRBU,NCS55FC,NCS-57C3-MODS-SYS,,,2,01-09-2021
4,CRBU,NCS55FC,NCS-57C3-MODS-SYS,,,2,01-10-2021
5,CRBU,NCS55FC,NCS-57C3-MODS-SYS,,,2,01-11-2021
6,CRBU,NCS55FC,NCS-57C3-MODS-SYS,,,2,01-12-2021
7,CRBU,NCS55FC,NCS-57C3-MODS-SYS,Q2 FY2022,JAN FY2022,2,01-01-2022
8,CRBU,NCS55FC,NCS-57C3-MODS-SYS,,,4,01-02-2022
9,CRBU,NCS55FC,NCS-57C3-MODS-SYS,,,5,01-03-2022
10,CRBU,NCS55FC,NCS-57C3-MODS-SYS,,,6,01-04-2022
11,CRBU,NCS55FC,NCS-57C3-MODS-SYS,,,7,01-05-2022
12,CRBU,NCS55FC,NCS-57C3-MODS-SYS,,,8,01-06-2022
13,CRBU,NCS55FC,NCS-57C3-MODS-SYS,,,9,01-07-2022
14,CRBU,NCS55FC,NCS-57C3-MODS-SYS,Q1 FY2022,AUG FY2022,10,01-08-2022
15,CRBU,NCS55FC,NCS-57C3-MODS-SYS,Q1 FY2022,SEP FY2022,57,01-09-2022
16,CRBU,NCS55FC,NCS-57C3-MODS-SYS,Q1 FY2022,OCT FY2022,4,01-10-2022
17,CRBU,NCS55FC,NCS-57C3-MODS-SYS,Q2 FY2022,NOV FY2022,26,01-11-2022
