,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,OTBU,NCS1000,NCS1001-K9,Q2 FY2002,JAN FY2002,4,01-01-2017
1,OTBU,NCS1000,NCS1001-K9,Q3 FY2002,FEB FY2002,14,01-02-2017
2,OTBU,NCS1000,NCS1001-K9,Q3 FY2002,MAR FY2002,1,01-03-2017
3,OTBU,NCS1000,NCS1001-K9,Q3 FY2002,APR FY2002,4,01-04-2017
4,OTBU,NCS1000,NCS1001-K9,Q4 FY2002,MAY FY2002,7,01-05-2017
5,OTBU,NCS1000,NCS1001-K9,Q4 FY2002,JUN FY2002,4,01-06-2017
6,OTBU,NCS1000,NCS1001-K9,Q4 FY2002,JUL FY2002,33,01-07-2017
7,OTBU,NCS1000,NCS1001-K9,,,30,01-08-2017
8,OTBU,NCS1000,NCS1001-K9,,,27,01-09-2017
9,OTBU,NCS1000,NCS1001-K9,,,24,01-10-2017
10,OTBU,NCS1000,NCS1001-K9,,,21,01-11-2017
11,OTBU,NCS1000,NCS1001-K9,,,18,01-12-2017
12,OTBU,NCS1000,NCS1001-K9,Q2 FY2008,JAN FY2008,15,01-01-2018
13,OTBU,NCS1000,NCS1001-K9,Q3 FY2008,FEB FY2008,8,01-02-2018
14,OTBU,NCS1000,NCS1001-K9,Q3 FY2008,MAR FY2008,16,01-03-2018
15,OTBU,NCS1000,NCS1001-K9,Q3 FY2008,APR FY2008,15,01-04-2018
16,OTBU,NCS1000,NCS1001-K9,Q4 FY2008,MAY FY2008,22,01-05-2018
17,OTBU,NCS1000,NCS1001-K9,Q4 FY2008,JUN FY2008,8,01-06-2018
18,OTBU,NCS1000,NCS1001-K9,Q4 FY2008,JUL FY2008,17,01-07-2018
19,OTBU,NCS1000,NCS1001-K9,Q1 FY2008,AUG FY2008,17,01-08-2018
20,OTBU,NCS1000,NCS1001-K9,Q1 FY2008,SEP FY2008,52,01-09-2018
21,OTBU,NCS1000,NCS1001-K9,Q1 FY2008,OCT FY2008,29,01-10-2018
22,OTBU,NCS1000,NCS1001-K9,Q2 FY2008,NOV FY2008,14,01-11-2018
23,OTBU,NCS1000,NCS1001-K9,Q2 FY2008,DEC FY2008,4,01-12-2018
24,OTBU,NCS1000,NCS1001-K9,Q2 FY2007,JAN FY2007,17,01-01-2019
25,OTBU,NCS1000,NCS1001-K9,Q3 FY2007,FEB FY2007,8,01-02-2019
26,OTBU,NCS1000,NCS1001-K9,Q3 FY2007,MAR FY2007,5,01-03-2019
27,OTBU,NCS1000,NCS1001-K9,Q3 FY2007,APR FY2007,39,01-04-2019
28,OTBU,NCS1000,NCS1001-K9,Q4 FY2007,MAY FY2007,50,01-05-2019
29,OTBU,NCS1000,NCS1001-K9,Q4 FY2007,JUN FY2007,18,01-06-2019
30,OTBU,NCS1000,NCS1001-K9,Q4 FY2007,JUL FY2007,93,01-07-2019
31,OTBU,NCS1000,NCS1001-K9,Q1 FY2007,AUG FY2007,21,01-08-2019
32,OTBU,NCS1000,NCS1001-K9,Q1 FY2007,SEP FY2007,10,01-09-2019
33,OTBU,NCS1000,NCS1001-K9,Q1 FY2007,OCT FY2007,75,01-10-2019
34,OTBU,NCS1000,NCS1001-K9,Q2 FY2007,NOV FY2007,22,01-11-2019
35,OTBU,NCS1000,NCS1001-K9,Q2 FY2007,DEC FY2007,30,01-12-2019
36,OTBU,NCS1000,NCS1001-K9,Q2 FY2011,JAN FY2011,54,01-01-2020
37,OTBU,NCS1000,NCS1001-K9,Q3 FY2011,FEB FY2011,6,01-02-2020
38,OTBU,NCS1000,NCS1001-K9,Q3 FY2011,MAR FY2011,65,01-03-2020
39,OTBU,NCS1000,NCS1001-K9,Q3 FY2011,APR FY2011,54,01-04-2020
40,OTBU,NCS1000,NCS1001-K9,Q4 FY2011,MAY FY2011,4,01-05-2020
41,OTBU,NCS1000,NCS1001-K9,Q4 FY2011,JUN FY2011,0,01-06-2020
42,OTBU,NCS1000,NCS1001-K9,Q4 FY2011,JUL FY2011,40,01-07-2020
43,OTBU,NCS1000,NCS1001-K9,Q1 FY2011,AUG FY2011,10,01-08-2020
44,OTBU,NCS1000,NCS1001-K9,Q1 FY2011,SEP FY2011,19,01-09-2020
45,OTBU,NCS1000,NCS1001-K9,Q1 FY2011,OCT FY2011,43,01-10-2020
46,OTBU,NCS1000,NCS1001-K9,Q2 FY2011,NOV FY2011,52,01-11-2020
47,OTBU,NCS1000,NCS1001-K9,Q2 FY2011,DEC FY2011,33,01-12-2020
48,OTBU,NCS1000,NCS1001-K9,Q2 FY2012,JAN FY2012,31,01-01-2021
49,OTBU,NCS1000,NCS1001-K9,Q3 FY2012,FEB FY2012,3,01-02-2021
50,OTBU,NCS1000,NCS1001-K9,Q3 FY2012,MAR FY2012,38,01-03-2021
51,OTBU,NCS1000,NCS1001-K9,Q3 FY2012,APR FY2012,36,01-04-2021
52,OTBU,NCS1000,NCS1001-K9,Q4 FY2012,MAY FY2012,150,01-05-2021
53,OTBU,NCS1000,NCS1001-K9,Q4 FY2012,JUN FY2012,199,01-06-2021
54,OTBU,NCS1000,NCS1001-K9,Q4 FY2012,JUL FY2012,318,01-07-2021
55,OTBU,NCS1000,NCS1001-K9,Q1 FY2012,AUG FY2012,7,01-08-2021
56,OTBU,NCS1000,NCS1001-K9,Q1 FY2012,SEP FY2012,24,01-09-2021
57,OTBU,NCS1000,NCS1001-K9,Q1 FY2012,OCT FY2012,141,01-10-2021
58,OTBU,NCS1000,NCS1001-K9,Q2 FY2012,NOV FY2012,12,01-11-2021
59,OTBU,NCS1000,NCS1001-K9,Q2 FY2012,DEC FY2012,28,01-12-2021
60,OTBU,NCS1000,NCS1001-K9,Q2 FY2022,JAN FY2022,94,01-01-2022
61,OTBU,NCS1000,NCS1001-K9,,,92,01-02-2022
62,OTBU,NCS1000,NCS1001-K9,,,89,01-03-2022
63,OTBU,NCS1000,NCS1001-K9,,,86,01-04-2022
64,OTBU,NCS1000,NCS1001-K9,,,83,01-05-2022
65,OTBU,NCS1000,NCS1001-K9,,,80,01-06-2022
66,OTBU,NCS1000,NCS1001-K9,,,77,01-07-2022
67,OTBU,NCS1000,NCS1001-K9,Q1 FY2022,AUG FY2022,74,01-08-2022
68,OTBU,NCS1000,NCS1001-K9,Q1 FY2022,SEP FY2022,31,01-09-2022
69,OTBU,NCS1000,NCS1001-K9,Q1 FY2022,OCT FY2022,232,01-10-2022
70,OTBU,NCS1000,NCS1001-K9,Q2 FY2022,NOV FY2022,360,01-11-2022
