,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,OTBU,NCS1000,NCS1K4-1.2T-K9,Q2 FY2007,JAN FY2007,24,01-01-2019
1,OTBU,NCS1000,NCS1K4-1.2T-K9,Q3 FY2007,FEB FY2007,7,01-02-2019
2,OTBU,NCS1000,NCS1K4-1.2T-K9,Q3 FY2007,MAR FY2007,0,01-03-2019
3,OTBU,NCS1000,NCS1K4-1.2T-K9,Q3 FY2007,APR FY2007,71,01-04-2019
4,OTBU,NCS1000,NCS1K4-1.2T-K9,Q4 FY2007,MAY FY2007,365,01-05-2019
5,OTBU,NCS1000,NCS1K4-1.2T-K9,Q4 FY2007,JUN FY2007,6,01-06-2019
6,OTBU,NCS1000,NCS1K4-1.2T-K9,Q4 FY2007,JUL FY2007,144,01-07-2019
7,OTBU,NCS1000,NCS1K4-1.2T-K9,,,142,01-08-2019
8,OTBU,NCS1000,NCS1K4-1.2T-K9,,,139,01-09-2019
9,OTBU,NCS1000,NCS1K4-1.2T-K9,,,136,01-10-2019
10,OTBU,NCS1000,NCS1K4-1.2T-K9,,,133,01-11-2019
11,OTBU,NCS1000,NCS1K4-1.2T-K9,,,130,01-12-2019
12,OTBU,NCS1000,NCS1K4-1.2T-K9,Q2 FY2011,JAN FY2011,127,01-01-2020
13,OTBU,NCS1000,NCS1K4-1.2T-K9,Q3 FY2011,FEB FY2011,123,01-02-2020
14,OTBU,NCS1000,NCS1K4-1.2T-K9,Q3 FY2011,MAR FY2011,158,01-03-2020
15,OTBU,NCS1000,NCS1K4-1.2T-K9,Q3 FY2011,APR FY2011,251,01-04-2020
16,OTBU,NCS1000,NCS1K4-1.2T-K9,Q4 FY2011,MAY FY2011,140,01-05-2020
17,OTBU,NCS1000,NCS1K4-1.2T-K9,Q4 FY2011,JUN FY2011,0,01-06-2020
18,OTBU,NCS1000,NCS1K4-1.2T-K9,Q4 FY2011,JUL FY2011,265,01-07-2020
19,OTBU,NCS1000,NCS1K4-1.2T-K9,Q1 FY2011,AUG FY2011,0,01-08-2020
20,OTBU,NCS1000,NCS1K4-1.2T-K9,Q1 FY2011,SEP FY2011,10,01-09-2020
21,OTBU,NCS1000,NCS1K4-1.2T-K9,Q1 FY2011,OCT FY2011,55,01-10-2020
22,OTBU,NCS1000,NCS1K4-1.2T-K9,Q2 FY2011,NOV FY2011,14,01-11-2020
23,OTBU,NCS1000,NCS1K4-1.2T-K9,Q2 FY2011,DEC FY2011,6,01-12-2020
24,OTBU,NCS1000,NCS1K4-1.2T-K9,Q2 FY2012,JAN FY2012,228,01-01-2021
25,OTBU,NCS1000,NCS1K4-1.2T-K9,Q3 FY2012,FEB FY2012,86,01-02-2021
26,OTBU,NCS1000,NCS1K4-1.2T-K9,Q3 FY2012,MAR FY2012,579,01-03-2021
27,OTBU,NCS1000,NCS1K4-1.2T-K9,Q3 FY2012,APR FY2012,1043,01-04-2021
28,OTBU,NCS1000,NCS1K4-1.2T-K9,Q4 FY2012,MAY FY2012,165,01-05-2021
29,OTBU,NCS1000,NCS1K4-1.2T-K9,Q4 FY2012,JUN FY2012,1277,01-06-2021
30,OTBU,NCS1000,NCS1K4-1.2T-K9,Q4 FY2012,JUL FY2012,302,01-07-2021
31,OTBU,NCS1000,NCS1K4-1.2T-K9,Q1 FY2012,AUG FY2012,30,01-08-2021
32,OTBU,NCS1000,NCS1K4-1.2T-K9,Q1 FY2012,SEP FY2012,417,01-09-2021
33,OTBU,NCS1000,NCS1K4-1.2T-K9,Q1 FY2012,OCT FY2012,1006,01-10-2021
34,OTBU,NCS1000,NCS1K4-1.2T-K9,Q2 FY2012,NOV FY2012,615,01-11-2021
35,OTBU,NCS1000,NCS1K4-1.2T-K9,Q2 FY2012,DEC FY2012,26,01-12-2021
36,OTBU,NCS1000,NCS1K4-1.2T-K9,Q2 FY2022,JAN FY2022,512,01-01-2022
37,OTBU,NCS1000,NCS1K4-1.2T-K9,,,557,01-02-2022
38,OTBU,NCS1000,NCS1K4-1.2T-K9,,,601,01-03-2022
39,OTBU,NCS1000,NCS1K4-1.2T-K9,,,645,01-04-2022
40,OTBU,NCS1000,NCS1K4-1.2T-K9,,,690,01-05-2022
41,OTBU,NCS1000,NCS1K4-1.2T-K9,,,734,01-06-2022
42,OTBU,NCS1000,NCS1K4-1.2T-K9,,,778,01-07-2022
43,OTBU,NCS1000,NCS1K4-1.2T-K9,Q1 FY2022,AUG FY2022,822,01-08-2022
44,OTBU,NCS1000,NCS1K4-1.2T-K9,Q1 FY2022,SEP FY2022,1667,01-09-2022
45,OTBU,NCS1000,NCS1K4-1.2T-K9,Q1 FY2022,OCT FY2022,1964,01-10-2022
46,OTBU,NCS1000,NCS1K4-1.2T-K9,Q2 FY2022,NOV FY2022,1729,01-11-2022
