,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q4 FY2011,JUN FY2011,0,01-06-2020
1,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q4 FY2011,JUL FY2011,6,01-07-2020
2,OTBU,NCS1000,NCS1K4-1.2TL-K9,,,5,01-08-2020
3,OTBU,NCS1000,NCS1K4-1.2TL-K9,,,4,01-09-2020
4,OTBU,NCS1000,NCS1K4-1.2TL-K9,,,3,01-10-2020
5,OTBU,NCS1000,NCS1K4-1.2TL-K9,,,2,01-11-2020
6,OTBU,NCS1000,NCS1K4-1.2TL-K9,,,1,01-12-2020
7,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q2 FY2012,JAN FY2012,0,01-01-2021
8,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q3 FY2012,FEB FY2012,2,01-02-2021
9,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q3 FY2012,MAR FY2012,248,01-03-2021
10,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q3 FY2012,APR FY2012,568,01-04-2021
11,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q4 FY2012,MAY FY2012,76,01-05-2021
12,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q4 FY2012,JUN FY2012,230,01-06-2021
13,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q4 FY2012,JUL FY2012,8,01-07-2021
14,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q1 FY2012,AUG FY2012,18,01-08-2021
15,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q1 FY2012,SEP FY2012,12,01-09-2021
16,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q1 FY2012,OCT FY2012,24,01-10-2021
17,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q2 FY2012,NOV FY2012,174,01-11-2021
18,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q2 FY2012,DEC FY2012,4,01-12-2021
19,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q2 FY2022,JAN FY2022,328,01-01-2022
20,OTBU,NCS1000,NCS1K4-1.2TL-K9,,,287,01-02-2022
21,OTBU,NCS1000,NCS1K4-1.2TL-K9,,,245,01-03-2022
22,OTBU,NCS1000,NCS1K4-1.2TL-K9,,,203,01-04-2022
23,OTBU,NCS1000,NCS1K4-1.2TL-K9,,,162,01-05-2022
24,OTBU,NCS1000,NCS1K4-1.2TL-K9,,,120,01-06-2022
25,OTBU,NCS1000,NCS1K4-1.2TL-K9,,,78,01-07-2022
26,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q1 FY2022,AUG FY2022,36,01-08-2022
27,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q1 FY2022,SEP FY2022,569,01-09-2022
28,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q1 FY2022,OCT FY2022,438,01-10-2022
29,OTBU,NCS1000,NCS1K4-1.2TL-K9,Q2 FY2022,NOV FY2022,120,01-11-2022
