,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,OTBU,15454W,NCS2015-SA-DC,Q3 FY2015,APR FY2015,19,01-04-2015
1,OTBU,15454W,NCS2015-SA-DC,Q4 FY2015,MAY FY2015,2,01-05-2015
2,OTBU,15454W,NCS2015-SA-DC,Q4 FY2015,JUN FY2015,39,01-06-2015
3,OTBU,15454W,NCS2015-SA-DC,Q4 FY2015,JUL FY2015,55,01-07-2015
4,OTBU,15454W,NCS2015-SA-DC,,,48,01-08-2015
5,OTBU,15454W,NCS2015-SA-DC,,,40,01-09-2015
6,OTBU,15454W,NCS2015-SA-DC,,,32,01-10-2015
7,OTBU,15454W,NCS2015-SA-DC,,,25,01-11-2015
8,OTBU,15454W,NCS2015-SA-DC,,,17,01-12-2015
9,OTBU,15454W,NCS2015-SA-DC,Q2 FY2022,JAN FY2022,9,01-01-2016
10,OTBU,15454W,NCS2015-SA-DC,Q3 FY2022,FEB FY2022,8,01-02-2016
11,OTBU,15454W,NCS2015-SA-DC,Q3 FY2022,MAR FY2022,58,01-03-2016
12,OTBU,15454W,NCS2015-SA-DC,Q3 FY2022,APR FY2022,172,01-04-2016
13,OTBU,15454W,NCS2015-SA-DC,Q4 FY2022,MAY FY2022,11,01-05-2016
14,OTBU,15454W,NCS2015-SA-DC,Q4 FY2022,JUN FY2022,578,01-06-2016
15,OTBU,15454W,NCS2015-SA-DC,Q4 FY2022,JUL FY2022,52,01-07-2016
16,OTBU,15454W,NCS2015-SA-DC,Q1 FY2022,AUG FY2022,29,01-08-2016
17,OTBU,15454W,NCS2015-SA-DC,Q1 FY2022,SEP FY2022,21,01-09-2016
18,OTBU,15454W,NCS2015-SA-DC,Q1 FY2022,OCT FY2022,57,01-10-2016
19,OTBU,15454W,NCS2015-SA-DC,Q2 FY2022,NOV FY2022,40,01-11-2016
20,OTBU,15454W,NCS2015-SA-DC,Q2 FY2022,DEC FY2022,22,01-12-2016
21,OTBU,15454W,NCS2015-SA-DC,Q2 FY2002,JAN FY2002,85,01-01-2017
22,OTBU,15454W,NCS2015-SA-DC,Q3 FY2002,FEB FY2002,90,01-02-2017
23,OTBU,15454W,NCS2015-SA-DC,Q3 FY2002,MAR FY2002,97,01-03-2017
24,OTBU,15454W,NCS2015-SA-DC,Q3 FY2002,APR FY2002,580,01-04-2017
25,OTBU,15454W,NCS2015-SA-DC,Q4 FY2002,MAY FY2002,38,01-05-2017
26,OTBU,15454W,NCS2015-SA-DC,Q4 FY2002,JUN FY2002,259,01-06-2017
27,OTBU,15454W,NCS2015-SA-DC,Q4 FY2002,JUL FY2002,114,01-07-2017
28,OTBU,15454W,NCS2015-SA-DC,Q1 FY2002,AUG FY2002,15,01-08-2017
29,OTBU,15454W,NCS2015-SA-DC,Q1 FY2002,SEP FY2002,19,01-09-2017
30,OTBU,15454W,NCS2015-SA-DC,Q1 FY2002,OCT FY2002,54,01-10-2017
31,OTBU,15454W,NCS2015-SA-DC,Q2 FY2002,NOV FY2002,49,01-11-2017
32,OTBU,15454W,NCS2015-SA-DC,Q2 FY2002,DEC FY2002,20,01-12-2017
33,OTBU,15454W,NCS2015-SA-DC,Q2 FY2008,JAN FY2008,54,01-01-2018
34,OTBU,15454W,NCS2015-SA-DC,Q3 FY2008,FEB FY2008,23,01-02-2018
35,OTBU,15454W,NCS2015-SA-DC,Q3 FY2008,MAR FY2008,114,01-03-2018
36,OTBU,15454W,NCS2015-SA-DC,Q3 FY2008,APR FY2008,399,01-04-2018
37,OTBU,15454W,NCS2015-SA-DC,Q4 FY2008,MAY FY2008,121,01-05-2018
38,OTBU,15454W,NCS2015-SA-DC,Q4 FY2008,JUN FY2008,119,01-06-2018
39,OTBU,15454W,NCS2015-SA-DC,Q4 FY2008,JUL FY2008,174,01-07-2018
40,OTBU,15454W,NCS2015-SA-DC,Q1 FY2008,AUG FY2008,56,01-08-2018
41,OTBU,15454W,NCS2015-SA-DC,Q1 FY2008,SEP FY2008,98,01-09-2018
42,OTBU,15454W,NCS2015-SA-DC,Q1 FY2008,OCT FY2008,83,01-10-2018
43,OTBU,15454W,NCS2015-SA-DC,Q2 FY2008,NOV FY2008,21,01-11-2018
44,OTBU,15454W,NCS2015-SA-DC,Q2 FY2008,DEC FY2008,93,01-12-2018
