,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,OTBU,15454W,NCS2K-400G-XP=,Q4 FY2022,JUL FY2022,53,01-07-2016
1,OTBU,15454W,NCS2K-400G-XP=,,,61,01-08-2016
2,OTBU,15454W,NCS2K-400G-XP=,,,69,01-09-2016
3,OTBU,15454W,NCS2K-400G-XP=,,,76,01-10-2016
4,OTBU,15454W,NCS2K-400G-XP=,,,84,01-11-2016
5,OTBU,15454W,NCS2K-400G-XP=,,,92,01-12-2016
6,OTBU,15454W,NCS2K-400G-XP=,Q2 FY2002,JAN FY2002,99,01-01-2017
7,OTBU,15454W,NCS2K-400G-XP=,Q3 FY2002,FEB FY2002,4,01-02-2017
8,OTBU,15454W,NCS2K-400G-XP=,Q3 FY2002,MAR FY2002,144,01-03-2017
9,OTBU,15454W,NCS2K-400G-XP=,Q3 FY2002,APR FY2002,113,01-04-2017
10,OTBU,15454W,NCS2K-400G-XP=,Q4 FY2002,MAY FY2002,12,01-05-2017
11,OTBU,15454W,NCS2K-400G-XP=,Q4 FY2002,JUN FY2002,56,01-06-2017
12,OTBU,15454W,NCS2K-400G-XP=,Q4 FY2002,JUL FY2002,281,01-07-2017
13,OTBU,15454W,NCS2K-400G-XP=,Q1 FY2002,AUG FY2002,1,01-08-2017
14,OTBU,15454W,NCS2K-400G-XP=,Q1 FY2002,SEP FY2002,0,01-09-2017
15,OTBU,15454W,NCS2K-400G-XP=,Q1 FY2002,OCT FY2002,93,01-10-2017
16,OTBU,15454W,NCS2K-400G-XP=,Q2 FY2002,NOV FY2002,10,01-11-2017
17,OTBU,15454W,NCS2K-400G-XP=,Q2 FY2002,DEC FY2002,43,01-12-2017
18,OTBU,15454W,NCS2K-400G-XP=,Q2 FY2008,JAN FY2008,459,01-01-2018
19,OTBU,15454W,NCS2K-400G-XP=,Q3 FY2008,FEB FY2008,70,01-02-2018
20,OTBU,15454W,NCS2K-400G-XP=,Q3 FY2008,MAR FY2008,90,01-03-2018
21,OTBU,15454W,NCS2K-400G-XP=,Q3 FY2008,APR FY2008,190,01-04-2018
