,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2007,JAN FY2007,3,01-01-2019
1,OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2007,FEB FY2007,9,01-02-2019
2,OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2007,MAR FY2007,0,01-03-2019
3,OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2007,APR FY2007,94,01-04-2019
4,OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2007,MAY FY2007,200,01-05-2019
5,OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2007,JUN FY2007,38,01-06-2019
6,OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2007,JUL FY2007,31,01-07-2019
7,OTBU,15454W,NCS2K-TNCS-2O-K9,,,29,01-08-2019
8,OTBU,15454W,NCS2K-TNCS-2O-K9,,,26,01-09-2019
9,OTBU,15454W,NCS2K-TNCS-2O-K9,,,23,01-10-2019
10,OTBU,15454W,NCS2K-TNCS-2O-K9,,,20,01-11-2019
11,OTBU,15454W,NCS2K-TNCS-2O-K9,,,17,01-12-2019
12,OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2011,JAN FY2011,14,01-01-2020
13,OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2011,FEB FY2011,80,01-02-2020
14,OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2011,MAR FY2011,279,01-03-2020
15,OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2011,APR FY2011,68,01-04-2020
16,OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2011,MAY FY2011,87,01-05-2020
17,OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2011,JUN FY2011,28,01-06-2020
18,OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2011,JUL FY2011,113,01-07-2020
19,OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2011,AUG FY2011,0,01-08-2020
20,OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2011,SEP FY2011,9,01-09-2020
21,OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2011,OCT FY2011,9,01-10-2020
22,OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2011,NOV FY2011,2,01-11-2020
23,OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2011,DEC FY2011,0,01-12-2020
24,OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2012,JAN FY2012,13,01-01-2021
25,OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2012,FEB FY2012,55,01-02-2021
26,OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2012,MAR FY2012,71,01-03-2021
27,OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2012,APR FY2012,20,01-04-2021
28,OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2012,MAY FY2012,192,01-05-2021
29,OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2012,JUN FY2012,256,01-06-2021
30,OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2012,JUL FY2012,281,01-07-2021
31,OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2012,AUG FY2012,42,01-08-2021
32,OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2012,SEP FY2012,51,01-09-2021
33,OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2012,OCT FY2012,146,01-10-2021
34,OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2012,NOV FY2012,40,01-11-2021
35,OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2012,DEC FY2012,66,01-12-2021
36,OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2022,JAN FY2022,113,01-01-2022
37,OTBU,15454W,NCS2K-TNCS-2O-K9,,,142,01-02-2022
38,OTBU,15454W,NCS2K-TNCS-2O-K9,,,170,01-03-2022
39,OTBU,15454W,NCS2K-TNCS-2O-K9,,,198,01-04-2022
40,OTBU,15454W,NCS2K-TNCS-2O-K9,,,226,01-05-2022
41,OTBU,15454W,NCS2K-TNCS-2O-K9,,,254,01-06-2022
42,OTBU,15454W,NCS2K-TNCS-2O-K9,,,282,01-07-2022
43,OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2022,AUG FY2022,310,01-08-2022
44,OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2022,SEP FY2022,10,01-09-2022
45,OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2022,OCT FY2022,93,01-10-2022
46,OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2022,NOV FY2022,21,01-11-2022
