,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,BATBU,NCS4200,NCS4202-SA,Q3 FY2022,MAR FY2022,0,01-03-2016
1,BATBU,NCS4200,NCS4202-SA,,,0,01-04-2016
2,BATBU,NCS4200,NCS4202-SA,,,0,01-05-2016
3,BATBU,NCS4200,NCS4202-SA,Q4 FY2022,JUN FY2022,0,01-06-2016
4,BATBU,NCS4200,NCS4202-SA,Q4 FY2022,JUL FY2022,1,01-07-2016
5,BATBU,NCS4200,NCS4202-SA,,,1,01-08-2016
6,BATBU,NCS4200,NCS4202-SA,,,1,01-09-2016
7,BATBU,NCS4200,NCS4202-SA,,,1,01-10-2016
8,BATBU,NCS4200,NCS4202-SA,,,1,01-11-2016
9,BATBU,NCS4200,NCS4202-SA,,,1,01-12-2016
10,BATBU,NCS4200,NCS4202-SA,Q2 FY2002,JAN FY2002,0,01-01-2017
11,BATBU,NCS4200,NCS4202-SA,Q3 FY2002,FEB FY2002,0,01-02-2017
12,BATBU,NCS4200,NCS4202-SA,Q3 FY2002,MAR FY2002,9,01-03-2017
13,BATBU,NCS4200,NCS4202-SA,Q3 FY2002,APR FY2002,2,01-04-2017
14,BATBU,NCS4200,NCS4202-SA,,,3,01-05-2017
15,BATBU,NCS4200,NCS4202-SA,Q4 FY2002,JUN FY2002,4,01-06-2017
16,BATBU,NCS4200,NCS4202-SA,Q4 FY2002,JUL FY2002,6,01-07-2017
17,BATBU,NCS4200,NCS4202-SA,Q1 FY2002,AUG FY2002,2,01-08-2017
18,BATBU,NCS4200,NCS4202-SA,Q1 FY2002,SEP FY2002,1,01-09-2017
19,BATBU,NCS4200,NCS4202-SA,,,3,01-10-2017
20,BATBU,NCS4200,NCS4202-SA,Q2 FY2002,NOV FY2002,5,01-11-2017
21,BATBU,NCS4200,NCS4202-SA,Q2 FY2002,DEC FY2002,6,01-12-2017
22,BATBU,NCS4200,NCS4202-SA,,,3,01-01-2018
23,BATBU,NCS4200,NCS4202-SA,Q3 FY2008,FEB FY2008,0,01-02-2018
24,BATBU,NCS4200,NCS4202-SA,Q3 FY2008,MAR FY2008,4,01-03-2018
25,BATBU,NCS4200,NCS4202-SA,Q3 FY2008,APR FY2008,90,01-04-2018
26,BATBU,NCS4200,NCS4202-SA,Q4 FY2008,MAY FY2008,4,01-05-2018
27,BATBU,NCS4200,NCS4202-SA,Q4 FY2008,JUN FY2008,84,01-06-2018
28,BATBU,NCS4200,NCS4202-SA,Q4 FY2008,JUL FY2008,8,01-07-2018
29,BATBU,NCS4200,NCS4202-SA,,,4,01-08-2018
30,BATBU,NCS4200,NCS4202-SA,Q1 FY2008,SEP FY2008,0,01-09-2018
31,BATBU,NCS4200,NCS4202-SA,,,2,01-10-2018
32,BATBU,NCS4200,NCS4202-SA,,,3,01-11-2018
33,BATBU,NCS4200,NCS4202-SA,Q2 FY2008,DEC FY2008,4,01-12-2018
34,BATBU,NCS4200,NCS4202-SA,Q2 FY2007,JAN FY2007,592,01-01-2019
35,BATBU,NCS4200,NCS4202-SA,Q3 FY2007,FEB FY2007,3,01-02-2019
36,BATBU,NCS4200,NCS4202-SA,Q3 FY2007,MAR FY2007,1,01-03-2019
37,BATBU,NCS4200,NCS4202-SA,Q3 FY2007,APR FY2007,205,01-04-2019
38,BATBU,NCS4200,NCS4202-SA,Q4 FY2007,MAY FY2007,0,01-05-2019
39,BATBU,NCS4200,NCS4202-SA,Q4 FY2007,JUN FY2007,0,01-06-2019
40,BATBU,NCS4200,NCS4202-SA,Q4 FY2007,JUL FY2007,61,01-07-2019
41,BATBU,NCS4200,NCS4202-SA,Q1 FY2007,AUG FY2007,2,01-08-2019
42,BATBU,NCS4200,NCS4202-SA,Q1 FY2007,SEP FY2007,815,01-09-2019
43,BATBU,NCS4200,NCS4202-SA,Q1 FY2007,OCT FY2007,27,01-10-2019
44,BATBU,NCS4200,NCS4202-SA,Q2 FY2007,NOV FY2007,19,01-11-2019
45,BATBU,NCS4200,NCS4202-SA,Q2 FY2007,DEC FY2007,39,01-12-2019
46,BATBU,NCS4200,NCS4202-SA,Q2 FY2011,JAN FY2011,6,01-01-2020
47,BATBU,NCS4200,NCS4202-SA,Q3 FY2011,FEB FY2011,30,01-02-2020
48,BATBU,NCS4200,NCS4202-SA,Q3 FY2011,MAR FY2011,76,01-03-2020
49,BATBU,NCS4200,NCS4202-SA,Q3 FY2011,APR FY2011,139,01-04-2020
50,BATBU,NCS4200,NCS4202-SA,Q4 FY2011,MAY FY2011,5,01-05-2020
51,BATBU,NCS4200,NCS4202-SA,Q4 FY2011,JUN FY2011,172,01-06-2020
52,BATBU,NCS4200,NCS4202-SA,Q4 FY2011,JUL FY2011,4,01-07-2020
53,BATBU,NCS4200,NCS4202-SA,Q1 FY2011,AUG FY2011,7,01-08-2020
54,BATBU,NCS4200,NCS4202-SA,Q1 FY2011,SEP FY2011,3,01-09-2020
55,BATBU,NCS4200,NCS4202-SA,Q1 FY2011,OCT FY2011,5,01-10-2020
56,BATBU,NCS4200,NCS4202-SA,Q2 FY2011,NOV FY2011,0,01-11-2020
57,BATBU,NCS4200,NCS4202-SA,Q2 FY2011,DEC FY2011,62,01-12-2020
58,BATBU,NCS4200,NCS4202-SA,Q2 FY2012,JAN FY2012,37,01-01-2021
59,BATBU,NCS4200,NCS4202-SA,Q3 FY2012,FEB FY2012,37,01-02-2021
60,BATBU,NCS4200,NCS4202-SA,Q3 FY2012,MAR FY2012,1,01-03-2021
61,BATBU,NCS4200,NCS4202-SA,Q3 FY2012,APR FY2012,6,01-04-2021
62,BATBU,NCS4200,NCS4202-SA,Q4 FY2012,MAY FY2012,418,01-05-2021
63,BATBU,NCS4200,NCS4202-SA,Q4 FY2012,JUN FY2012,152,01-06-2021
64,BATBU,NCS4200,NCS4202-SA,Q4 FY2012,JUL FY2012,454,01-07-2021
65,BATBU,NCS4200,NCS4202-SA,Q1 FY2012,AUG FY2012,5,01-08-2021
66,BATBU,NCS4200,NCS4202-SA,Q1 FY2012,SEP FY2012,5,01-09-2021
67,BATBU,NCS4200,NCS4202-SA,Q1 FY2012,OCT FY2012,5,01-10-2021
68,BATBU,NCS4200,NCS4202-SA,Q2 FY2012,NOV FY2012,0,01-11-2021
69,BATBU,NCS4200,NCS4202-SA,Q2 FY2012,DEC FY2012,1,01-12-2021
70,BATBU,NCS4200,NCS4202-SA,Q2 FY2022,JAN FY2022,5,01-01-2022
71,BATBU,NCS4200,NCS4202-SA,,,303,01-02-2022
72,BATBU,NCS4200,NCS4202-SA,,,601,01-03-2022
73,BATBU,NCS4200,NCS4202-SA,,,898,01-04-2022
74,BATBU,NCS4200,NCS4202-SA,,,1196,01-05-2022
75,BATBU,NCS4200,NCS4202-SA,,,1493,01-06-2022
76,BATBU,NCS4200,NCS4202-SA,,,1791,01-07-2022
77,BATBU,NCS4200,NCS4202-SA,Q1 FY2022,AUG FY2022,2088,01-08-2022
78,BATBU,NCS4200,NCS4202-SA,Q1 FY2022,SEP FY2022,3066,01-09-2022
79,BATBU,NCS4200,NCS4202-SA,Q1 FY2022,OCT FY2022,34,01-10-2022
80,BATBU,NCS4200,NCS4202-SA,Q2 FY2022,NOV FY2022,20,01-11-2022
