,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2008,JUN FY2008,0,01-06-2018
1,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2008,JUL FY2008,36,01-07-2018
2,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,28,01-08-2018
3,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,19,01-09-2018
4,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,10,01-10-2018
5,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2008,NOV FY2008,1,01-11-2018
6,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2008,DEC FY2008,1,01-12-2018
7,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,3,01-01-2019
8,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2007,FEB FY2007,5,01-02-2019
9,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2007,MAR FY2007,0,01-03-2019
10,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2007,APR FY2007,40,01-04-2019
11,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2007,MAY FY2007,191,01-05-2019
12,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2007,JUN FY2007,1,01-06-2019
13,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2007,JUL FY2007,20,01-07-2019
14,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,14,01-08-2019
15,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,7,01-09-2019
16,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2007,OCT FY2007,0,01-10-2019
17,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,4,01-11-2019
18,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,8,01-12-2019
19,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,12,01-01-2020
20,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2011,FEB FY2011,15,01-02-2020
21,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,11,01-03-2020
22,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2011,APR FY2011,6,01-04-2020
23,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2011,MAY FY2011,0,01-05-2020
24,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2011,JUN FY2011,0,01-06-2020
25,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2011,JUL FY2011,58,01-07-2020
26,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2011,AUG FY2011,0,01-08-2020
27,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2011,SEP FY2011,0,01-09-2020
28,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2011,OCT FY2011,0,01-10-2020
29,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2011,NOV FY2011,0,01-11-2020
30,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2011,DEC FY2011,0,01-12-2020
31,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,0,01-01-2021
32,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2012,FEB FY2012,0,01-02-2021
33,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,0,01-03-2021
34,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2012,APR FY2012,0,01-04-2021
35,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2012,MAY FY2012,38,01-05-2021
36,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,19,01-06-2021
37,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2012,JUL FY2012,0,01-07-2021
38,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2012,AUG FY2012,40,01-08-2021
39,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2012,SEP FY2012,0,01-09-2021
40,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2012,OCT FY2012,171,01-10-2021
41,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2012,NOV FY2012,373,01-11-2021
42,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2012,DEC FY2012,0,01-12-2021
43,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2022,JAN FY2022,0,01-01-2022
44,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,1,01-02-2022
45,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,2,01-03-2022
46,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,2,01-04-2022
47,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,3,01-05-2022
48,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,3,01-06-2022
49,OTBU,NCS4000,NCS4K-4H-OPW-LO,,,4,01-07-2022
50,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2022,AUG FY2022,4,01-08-2022
51,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2022,SEP FY2022,2,01-09-2022
52,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2022,OCT FY2022,6,01-10-2022
