,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,SRSBU,WANLAN,NIM-24A,Q2 FY2002,JAN FY2002,34,01-01-2017
1,SRSBU,WANLAN,NIM-24A,Q3 FY2002,FEB FY2002,73,01-02-2017
2,SRSBU,WANLAN,NIM-24A,Q3 FY2002,MAR FY2002,86,01-03-2017
3,SRSBU,WANLAN,NIM-24A,Q3 FY2002,APR FY2002,342,01-04-2017
4,SRSBU,WANLAN,NIM-24A,Q4 FY2002,MAY FY2002,190,01-05-2017
5,SRSBU,WANLAN,NIM-24A,Q4 FY2002,JUN FY2002,410,01-06-2017
6,SRSBU,WANLAN,NIM-24A,Q4 FY2002,JUL FY2002,286,01-07-2017
7,SRSBU,WANLAN,NIM-24A,Q1 FY2002,AUG FY2002,0,01-08-2017
8,SRSBU,WANLAN,NIM-24A,Q1 FY2002,SEP FY2002,0,01-09-2017
9,SRSBU,WANLAN,NIM-24A,Q1 FY2002,OCT FY2002,77,01-10-2017
10,SRSBU,WANLAN,NIM-24A,Q2 FY2002,NOV FY2002,60,01-11-2017
11,SRSBU,WANLAN,NIM-24A,Q2 FY2002,DEC FY2002,44,01-12-2017
12,SRSBU,WANLAN,NIM-24A,Q2 FY2008,JAN FY2008,2091,01-01-2018
13,SRSBU,WANLAN,NIM-24A,Q3 FY2008,FEB FY2008,2469,01-02-2018
14,SRSBU,WANLAN,NIM-24A,Q3 FY2008,MAR FY2008,5859,01-03-2018
15,SRSBU,WANLAN,NIM-24A,Q3 FY2008,APR FY2008,4539,01-04-2018
16,SRSBU,WANLAN,NIM-24A,Q4 FY2008,MAY FY2008,1866,01-05-2018
17,SRSBU,WANLAN,NIM-24A,Q4 FY2008,JUN FY2008,3370,01-06-2018
18,SRSBU,WANLAN,NIM-24A,Q4 FY2008,JUL FY2008,4046,01-07-2018
19,SRSBU,WANLAN,NIM-24A,Q1 FY2008,AUG FY2008,77,01-08-2018
20,SRSBU,WANLAN,NIM-24A,Q1 FY2008,SEP FY2008,222,01-09-2018
21,SRSBU,WANLAN,NIM-24A,Q1 FY2008,OCT FY2008,309,01-10-2018
22,SRSBU,WANLAN,NIM-24A,Q2 FY2008,NOV FY2008,246,01-11-2018
23,SRSBU,WANLAN,NIM-24A,Q2 FY2008,DEC FY2008,1409,01-12-2018
24,SRSBU,WANLAN,NIM-24A,Q2 FY2007,JAN FY2007,3592,01-01-2019
25,SRSBU,WANLAN,NIM-24A,Q3 FY2007,FEB FY2007,3564,01-02-2019
26,SRSBU,WANLAN,NIM-24A,Q3 FY2007,MAR FY2007,4016,01-03-2019
27,SRSBU,WANLAN,NIM-24A,Q3 FY2007,APR FY2007,6360,01-04-2019
28,SRSBU,WANLAN,NIM-24A,Q4 FY2007,MAY FY2007,5998,01-05-2019
