,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,SRSBU,ISR1K,P-LTEA-EA,Q4 FY2008,MAY FY2008,2,01-05-2018
1,SRSBU,ISR1K,P-LTEA-EA,Q4 FY2008,JUN FY2008,1,01-06-2018
2,SRSBU,ISR1K,P-LTEA-EA,Q4 FY2008,JUL FY2008,1,01-07-2018
3,SRSBU,ISR1K,P-LTEA-EA,,,3,01-08-2018
4,SRSBU,ISR1K,P-LTEA-EA,,,5,01-09-2018
5,SRSBU,ISR1K,P-LTEA-EA,,,7,01-10-2018
6,SRSBU,ISR1K,P-LTEA-EA,,,9,01-11-2018
7,SRSBU,ISR1K,P-LTEA-EA,,,11,01-12-2018
8,SRSBU,ISR1K,P-LTEA-EA,Q2 FY2007,JAN FY2007,13,01-01-2019
9,SRSBU,ISR1K,P-LTEA-EA,Q3 FY2007,FEB FY2007,175,01-02-2019
10,SRSBU,ISR1K,P-LTEA-EA,Q3 FY2007,MAR FY2007,35,01-03-2019
11,SRSBU,ISR1K,P-LTEA-EA,Q3 FY2007,APR FY2007,255,01-04-2019
12,SRSBU,ISR1K,P-LTEA-EA,Q4 FY2007,MAY FY2007,110,01-05-2019
13,SRSBU,ISR1K,P-LTEA-EA,Q4 FY2007,JUN FY2007,81,01-06-2019
14,SRSBU,ISR1K,P-LTEA-EA,Q4 FY2007,JUL FY2007,1536,01-07-2019
15,SRSBU,ISR1K,P-LTEA-EA,Q1 FY2007,AUG FY2007,1,01-08-2019
16,SRSBU,ISR1K,P-LTEA-EA,Q1 FY2007,SEP FY2007,226,01-09-2019
17,SRSBU,ISR1K,P-LTEA-EA,Q1 FY2007,OCT FY2007,83,01-10-2019
18,SRSBU,ISR1K,P-LTEA-EA,Q2 FY2007,NOV FY2007,2006,01-11-2019
19,SRSBU,ISR1K,P-LTEA-EA,Q2 FY2007,DEC FY2007,8,01-12-2019
20,SRSBU,ISR1K,P-LTEA-EA,Q2 FY2011,JAN FY2011,1174,01-01-2020
21,SRSBU,ISR1K,P-LTEA-EA,Q3 FY2011,FEB FY2011,1040,01-02-2020
22,SRSBU,ISR1K,P-LTEA-EA,Q3 FY2011,MAR FY2011,5205,01-03-2020
23,SRSBU,ISR1K,P-LTEA-EA,Q3 FY2011,APR FY2011,2579,01-04-2020
24,SRSBU,ISR1K,P-LTEA-EA,Q4 FY2011,MAY FY2011,448,01-05-2020
25,SRSBU,ISR1K,P-LTEA-EA,Q4 FY2011,JUN FY2011,883,01-06-2020
26,SRSBU,ISR1K,P-LTEA-EA,Q4 FY2011,JUL FY2011,2035,01-07-2020
27,SRSBU,ISR1K,P-LTEA-EA,Q1 FY2011,AUG FY2011,754,01-08-2020
28,SRSBU,ISR1K,P-LTEA-EA,Q1 FY2011,SEP FY2011,599,01-09-2020
29,SRSBU,ISR1K,P-LTEA-EA,Q1 FY2011,OCT FY2011,934,01-10-2020
30,SRSBU,ISR1K,P-LTEA-EA,Q2 FY2011,NOV FY2011,596,01-11-2020
31,SRSBU,ISR1K,P-LTEA-EA,Q2 FY2011,DEC FY2011,1301,01-12-2020
32,SRSBU,ISR1K,P-LTEA-EA,Q2 FY2012,JAN FY2012,7759,01-01-2021
33,SRSBU,ISR1K,P-LTEA-EA,Q3 FY2012,FEB FY2012,4623,01-02-2021
34,SRSBU,ISR1K,P-LTEA-EA,Q3 FY2012,MAR FY2012,1000,01-03-2021
35,SRSBU,ISR1K,P-LTEA-EA,Q3 FY2012,APR FY2012,2333,01-04-2021
36,SRSBU,ISR1K,P-LTEA-EA,Q4 FY2012,MAY FY2012,1931,01-05-2021
37,SRSBU,ISR1K,P-LTEA-EA,Q4 FY2012,JUN FY2012,1874,01-06-2021
38,SRSBU,ISR1K,P-LTEA-EA,Q4 FY2012,JUL FY2012,2108,01-07-2021
39,SRSBU,ISR1K,P-LTEA-EA,Q1 FY2012,AUG FY2012,2079,01-08-2021
40,SRSBU,ISR1K,P-LTEA-EA,Q1 FY2012,SEP FY2012,603,01-09-2021
41,SRSBU,ISR1K,P-LTEA-EA,Q1 FY2012,OCT FY2012,805,01-10-2021
42,SRSBU,ISR1K,P-LTEA-EA,Q2 FY2012,NOV FY2012,2334,01-11-2021
43,SRSBU,ISR1K,P-LTEA-EA,Q2 FY2012,DEC FY2012,4834,01-12-2021
44,SRSBU,ISR1K,P-LTEA-EA,Q2 FY2022,JAN FY2022,2862,01-01-2022
45,SRSBU,ISR1K,P-LTEA-EA,,,3056,01-02-2022
46,SRSBU,ISR1K,P-LTEA-EA,,,3249,01-03-2022
47,SRSBU,ISR1K,P-LTEA-EA,,,3442,01-04-2022
48,SRSBU,ISR1K,P-LTEA-EA,,,3635,01-05-2022
49,SRSBU,ISR1K,P-LTEA-EA,,,3828,01-06-2022
50,SRSBU,ISR1K,P-LTEA-EA,,,4021,01-07-2022
51,SRSBU,ISR1K,P-LTEA-EA,Q1 FY2022,AUG FY2022,4214,01-08-2022
52,SRSBU,ISR1K,P-LTEA-EA,Q1 FY2022,SEP FY2022,1145,01-09-2022
53,SRSBU,ISR1K,P-LTEA-EA,Q1 FY2022,OCT FY2022,2888,01-10-2022
54,SRSBU,ISR1K,P-LTEA-EA,Q2 FY2022,NOV FY2022,4226,01-11-2022
