,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2022,MAR FY2022,0,01-03-2016
1,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2022,APR FY2022,80,01-04-2016
2,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2022,MAY FY2022,2,01-05-2016
3,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2022,JUN FY2022,39,01-06-2016
4,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2022,JUL FY2022,4,01-07-2016
5,TOASTBU,QSFP100,QSFP-100G-AOC3M,,,15,01-08-2016
6,TOASTBU,QSFP100,QSFP-100G-AOC3M,,,26,01-09-2016
7,TOASTBU,QSFP100,QSFP-100G-AOC3M,,,37,01-10-2016
8,TOASTBU,QSFP100,QSFP-100G-AOC3M,,,48,01-11-2016
9,TOASTBU,QSFP100,QSFP-100G-AOC3M,,,59,01-12-2016
10,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2002,JAN FY2002,69,01-01-2017
11,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2002,FEB FY2002,13,01-02-2017
12,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2002,MAR FY2002,84,01-03-2017
13,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2002,APR FY2002,68,01-04-2017
14,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2002,MAY FY2002,26,01-05-2017
15,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2002,JUN FY2002,192,01-06-2017
16,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2002,JUL FY2002,306,01-07-2017
17,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2002,AUG FY2002,2,01-08-2017
18,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2002,SEP FY2002,1,01-09-2017
19,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2002,OCT FY2002,22,01-10-2017
20,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2002,NOV FY2002,36,01-11-2017
21,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2002,DEC FY2002,127,01-12-2017
22,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2008,JAN FY2008,64,01-01-2018
23,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2008,FEB FY2008,72,01-02-2018
24,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2008,MAR FY2008,269,01-03-2018
25,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2008,APR FY2008,436,01-04-2018
26,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2008,MAY FY2008,292,01-05-2018
27,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2008,JUN FY2008,206,01-06-2018
28,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2008,JUL FY2008,1646,01-07-2018
29,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2008,AUG FY2008,8,01-08-2018
30,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2008,SEP FY2008,190,01-09-2018
31,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2008,OCT FY2008,156,01-10-2018
32,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2008,NOV FY2008,124,01-11-2018
33,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2008,DEC FY2008,168,01-12-2018
34,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2007,JAN FY2007,201,01-01-2019
35,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2007,FEB FY2007,252,01-02-2019
36,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2007,MAR FY2007,374,01-03-2019
37,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2007,APR FY2007,380,01-04-2019
38,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2007,MAY FY2007,215,01-05-2019
