,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2022,FEB FY2022,0,01-02-2016
1,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2022,MAR FY2022,0,01-03-2016
2,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2022,APR FY2022,18,01-04-2016
3,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2022,MAY FY2022,43,01-05-2016
4,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2022,JUN FY2022,328,01-06-2016
5,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2022,JUL FY2022,645,01-07-2016
6,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,,,580,01-08-2016
7,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,,,515,01-09-2016
8,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,,,450,01-10-2016
9,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,,,385,01-11-2016
10,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,,,320,01-12-2016
11,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q2 FY2002,JAN FY2002,255,01-01-2017
12,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2002,FEB FY2002,128,01-02-2017
13,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2002,MAR FY2002,1300,01-03-2017
14,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2002,APR FY2002,797,01-04-2017
15,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2002,MAY FY2002,962,01-05-2017
16,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2002,JUN FY2002,706,01-06-2017
17,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2002,JUL FY2002,1030,01-07-2017
18,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q1 FY2002,AUG FY2002,24,01-08-2017
19,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q1 FY2002,SEP FY2002,60,01-09-2017
20,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q1 FY2002,OCT FY2002,267,01-10-2017
21,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q2 FY2002,NOV FY2002,538,01-11-2017
22,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q2 FY2002,DEC FY2002,986,01-12-2017
23,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q2 FY2008,JAN FY2008,4728,01-01-2018
24,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2008,FEB FY2008,1694,01-02-2018
25,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2008,MAR FY2008,1193,01-03-2018
26,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2008,APR FY2008,1750,01-04-2018
27,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2008,MAY FY2008,1022,01-05-2018
28,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2008,JUN FY2008,1027,01-06-2018
29,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2008,JUL FY2008,4555,01-07-2018
30,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q1 FY2008,AUG FY2008,352,01-08-2018
31,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q1 FY2008,SEP FY2008,1330,01-09-2018
32,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q1 FY2008,OCT FY2008,2821,01-10-2018
33,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q2 FY2008,NOV FY2008,1390,01-11-2018
34,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q2 FY2008,DEC FY2008,2018,01-12-2018
35,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q2 FY2007,JAN FY2007,60382,01-01-2019
36,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2007,FEB FY2007,2391,01-02-2019
37,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2007,MAR FY2007,2825,01-03-2019
38,TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2007,APR FY2007,4030,01-04-2019
