,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2012,JAN FY2012,1057,01-01-2021
1,TOASTBU,QSFP100,QSFP-100G-DR-S,Q3 FY2012,FEB FY2012,164,01-02-2021
2,TOASTBU,QSFP100,QSFP-100G-DR-S,Q3 FY2012,MAR FY2012,6017,01-03-2021
3,TOASTBU,QSFP100,QSFP-100G-DR-S,Q3 FY2012,APR FY2012,2174,01-04-2021
4,TOASTBU,QSFP100,QSFP-100G-DR-S,Q4 FY2012,MAY FY2012,2613,01-05-2021
5,TOASTBU,QSFP100,QSFP-100G-DR-S,Q4 FY2012,JUN FY2012,607,01-06-2021
6,TOASTBU,QSFP100,QSFP-100G-DR-S,Q4 FY2012,JUL FY2012,3763,01-07-2021
7,TOASTBU,QSFP100,QSFP-100G-DR-S,,,1898,01-08-2021
8,TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2012,SEP FY2012,32,01-09-2021
9,TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2012,OCT FY2012,14,01-10-2021
10,TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2012,NOV FY2012,160,01-11-2021
11,TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2012,DEC FY2012,393,01-12-2021
12,TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2022,JAN FY2022,15410,01-01-2022
13,TOASTBU,QSFP100,QSFP-100G-DR-S,,,13497,01-02-2022
14,TOASTBU,QSFP100,QSFP-100G-DR-S,,,11583,01-03-2022
15,TOASTBU,QSFP100,QSFP-100G-DR-S,,,9669,01-04-2022
16,TOASTBU,QSFP100,QSFP-100G-DR-S,,,7755,01-05-2022
17,TOASTBU,QSFP100,QSFP-100G-DR-S,,,5841,01-06-2022
18,TOASTBU,QSFP100,QSFP-100G-DR-S,,,3927,01-07-2022
19,TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2022,AUG FY2022,2013,01-08-2022
20,TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2022,SEP FY2022,816,01-09-2022
21,TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2022,OCT FY2022,5062,01-10-2022
22,TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2022,NOV FY2022,15488,01-11-2022
