,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2008,JAN FY2008,45,01-01-2018
1,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2008,FEB FY2008,36,01-02-2018
2,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2008,MAR FY2008,25,01-03-2018
3,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2008,APR FY2008,105,01-04-2018
4,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2008,MAY FY2008,31,01-05-2018
5,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2008,JUN FY2008,20,01-06-2018
6,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2008,JUL FY2008,166,01-07-2018
7,TOASTBU,QSFP100,QSFP-100G-ER4L-S,,,92,01-08-2018
8,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q1 FY2008,SEP FY2008,18,01-09-2018
9,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q1 FY2008,OCT FY2008,40,01-10-2018
10,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2008,NOV FY2008,58,01-11-2018
11,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2008,DEC FY2008,324,01-12-2018
12,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2007,JAN FY2007,93,01-01-2019
13,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2007,FEB FY2007,83,01-02-2019
14,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2007,MAR FY2007,120,01-03-2019
15,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2007,APR FY2007,757,01-04-2019
16,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2007,MAY FY2007,619,01-05-2019
17,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2007,JUN FY2007,387,01-06-2019
18,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2007,JUL FY2007,459,01-07-2019
19,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q1 FY2007,AUG FY2007,24,01-08-2019
20,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q1 FY2007,SEP FY2007,51,01-09-2019
21,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q1 FY2007,OCT FY2007,62,01-10-2019
22,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2007,NOV FY2007,118,01-11-2019
23,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2007,DEC FY2007,719,01-12-2019
24,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2011,JAN FY2011,1309,01-01-2020
25,TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2011,FEB FY2011,249,01-02-2020
