,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2002,JAN FY2002,114,01-01-2017
1,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2002,FEB FY2002,72,01-02-2017
2,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2002,MAR FY2002,394,01-03-2017
3,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2002,APR FY2002,1066,01-04-2017
4,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2002,MAY FY2002,145,01-05-2017
5,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2002,JUN FY2002,425,01-06-2017
6,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2002,JUL FY2002,1750,01-07-2017
7,TOASTBU,QSFP100,QSFP-100G-SM-SR,,,1373,01-08-2017
8,TOASTBU,QSFP100,QSFP-100G-SM-SR,,,995,01-09-2017
9,TOASTBU,QSFP100,QSFP-100G-SM-SR,,,618,01-10-2017
10,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2002,NOV FY2002,240,01-11-2017
11,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2002,DEC FY2002,20,01-12-2017
12,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2008,JAN FY2008,1073,01-01-2018
13,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2008,FEB FY2008,1007,01-02-2018
14,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2008,MAR FY2008,1274,01-03-2018
15,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2008,APR FY2008,2876,01-04-2018
16,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2008,MAY FY2008,526,01-05-2018
17,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2008,JUN FY2008,1136,01-06-2018
18,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2008,JUL FY2008,2141,01-07-2018
19,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q1 FY2008,AUG FY2008,404,01-08-2018
20,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q1 FY2008,SEP FY2008,794,01-09-2018
21,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q1 FY2008,OCT FY2008,2031,01-10-2018
22,TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2008,NOV FY2008,1366,01-11-2018
