,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q2 FY2014,JAN FY2014,4729,01-01-2014
1,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2014,FEB FY2014,2366,01-02-2014
2,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2014,MAR FY2014,4569,01-03-2014
3,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2014,APR FY2014,13293,01-04-2014
4,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2014,MAY FY2014,4368,01-05-2014
5,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2014,JUN FY2014,7137,01-06-2014
6,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2014,JUL FY2014,17130,01-07-2014
7,TOASTBU,QSFP40G,QSFP-40G-SR-BD,,,13751,01-08-2014
8,TOASTBU,QSFP40G,QSFP-40G-SR-BD,,,10372,01-09-2014
9,TOASTBU,QSFP40G,QSFP-40G-SR-BD,,,6993,01-10-2014
10,TOASTBU,QSFP40G,QSFP-40G-SR-BD,,,3614,01-11-2014
11,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q2 FY2014,DEC FY2014,235,01-12-2014
12,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q2 FY2015,JAN FY2015,20159,01-01-2015
13,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2015,FEB FY2015,8045,01-02-2015
14,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2015,MAR FY2015,16768,01-03-2015
15,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2015,APR FY2015,26687,01-04-2015
16,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2015,MAY FY2015,19302,01-05-2015
17,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2015,JUN FY2015,24386,01-06-2015
18,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2015,JUL FY2015,51522,01-07-2015
19,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q1 FY2015,AUG FY2015,7181,01-08-2015
20,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q1 FY2015,SEP FY2015,8418,01-09-2015
21,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q1 FY2015,OCT FY2015,20255,01-10-2015
22,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q2 FY2015,NOV FY2015,9350,01-11-2015
23,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q2 FY2015,DEC FY2015,17286,01-12-2015
24,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q2 FY2022,JAN FY2022,37422,01-01-2016
25,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2022,FEB FY2022,26629,01-02-2016
26,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2022,MAR FY2022,26305,01-03-2016
