,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2014,MAR FY2014,0,01-03-2014
1,TOASTBU,SFP10G,SFP-10G-LR-S,,,16,01-04-2014
2,TOASTBU,SFP10G,SFP-10G-LR-S,,,32,01-05-2014
3,TOASTBU,SFP10G,SFP-10G-LR-S,,,47,01-06-2014
4,TOASTBU,SFP10G,SFP-10G-LR-S,,,63,01-07-2014
5,TOASTBU,SFP10G,SFP-10G-LR-S,,,78,01-08-2014
6,TOASTBU,SFP10G,SFP-10G-LR-S,,,94,01-09-2014
7,TOASTBU,SFP10G,SFP-10G-LR-S,,,110,01-10-2014
8,TOASTBU,SFP10G,SFP-10G-LR-S,,,125,01-11-2014
9,TOASTBU,SFP10G,SFP-10G-LR-S,,,141,01-12-2014
10,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2015,JAN FY2015,156,01-01-2015
11,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2015,FEB FY2015,494,01-02-2015
12,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2015,MAR FY2015,2503,01-03-2015
13,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2015,APR FY2015,4385,01-04-2015
14,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2015,MAY FY2015,2908,01-05-2015
15,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2015,JUN FY2015,5480,01-06-2015
16,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2015,JUL FY2015,12665,01-07-2015
17,TOASTBU,SFP10G,SFP-10G-LR-S,,,12329,01-08-2015
18,TOASTBU,SFP10G,SFP-10G-LR-S,,,11993,01-09-2015
19,TOASTBU,SFP10G,SFP-10G-LR-S,,,11656,01-10-2015
20,TOASTBU,SFP10G,SFP-10G-LR-S,,,11320,01-11-2015
21,TOASTBU,SFP10G,SFP-10G-LR-S,,,10984,01-12-2015
22,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2022,JAN FY2022,10647,01-01-2016
23,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2022,FEB FY2022,8000,01-02-2016
24,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2022,MAR FY2022,8256,01-03-2016
25,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2022,APR FY2022,13519,01-04-2016
26,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2022,MAY FY2022,9136,01-05-2016
