,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2013,JAN FY2013,18921,01-01-2013
1,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2013,FEB FY2013,12810,01-02-2013
2,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2013,MAR FY2013,14069,01-03-2013
3,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2013,APR FY2013,36158,01-04-2013
4,TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2013,MAY FY2013,13622,01-05-2013
5,TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2013,JUN FY2013,18436,01-06-2013
6,TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2013,JUL FY2013,77441,01-07-2013
7,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2013,AUG FY2013,9930,01-08-2013
8,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2013,SEP FY2013,11086,01-09-2013
9,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2013,OCT FY2013,31813,01-10-2013
10,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2013,NOV FY2013,13434,01-11-2013
11,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2013,DEC FY2013,17254,01-12-2013
12,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2014,JAN FY2014,27933,01-01-2014
13,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2014,FEB FY2014,21444,01-02-2014
14,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2014,MAR FY2014,22572,01-03-2014
15,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2014,APR FY2014,42568,01-04-2014
16,TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2014,MAY FY2014,19736,01-05-2014
17,TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2014,JUN FY2014,33131,01-06-2014
18,TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2014,JUL FY2014,70685,01-07-2014
19,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2014,AUG FY2014,11195,01-08-2014
20,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2014,SEP FY2014,20515,01-09-2014
21,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2014,OCT FY2014,37000,01-10-2014
22,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2014,NOV FY2014,16528,01-11-2014
23,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2014,DEC FY2014,26355,01-12-2014
24,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2015,JAN FY2015,26069,01-01-2015
25,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2015,FEB FY2015,19952,01-02-2015
26,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2015,MAR FY2015,26810,01-03-2015
