,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2008,JAN FY2008,246,01-01-2018
1,TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2008,FEB FY2008,612,01-02-2018
2,TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2008,MAR FY2008,2968,01-03-2018
3,TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2008,APR FY2008,4809,01-04-2018
4,TOASTBU,SEP25G,SFP-25G-SR-S,Q4 FY2008,MAY FY2008,8526,01-05-2018
5,TOASTBU,SEP25G,SFP-25G-SR-S,Q4 FY2008,JUN FY2008,3152,01-06-2018
6,TOASTBU,SEP25G,SFP-25G-SR-S,Q4 FY2008,JUL FY2008,4349,01-07-2018
7,TOASTBU,SEP25G,SFP-25G-SR-S,,,3605,01-08-2018
8,TOASTBU,SEP25G,SFP-25G-SR-S,,,2861,01-09-2018
9,TOASTBU,SEP25G,SFP-25G-SR-S,,,2117,01-10-2018
10,TOASTBU,SEP25G,SFP-25G-SR-S,,,1373,01-11-2018
11,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2008,DEC FY2008,628,01-12-2018
12,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2007,JAN FY2007,12614,01-01-2019
13,TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2007,FEB FY2007,7232,01-02-2019
14,TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2007,MAR FY2007,3419,01-03-2019
15,TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2007,APR FY2007,15747,01-04-2019
16,TOASTBU,SEP25G,SFP-25G-SR-S,Q4 FY2007,MAY FY2007,5928,01-05-2019
17,TOASTBU,SEP25G,SFP-25G-SR-S,Q4 FY2007,JUN FY2007,12449,01-06-2019
18,TOASTBU,SEP25G,SFP-25G-SR-S,Q4 FY2007,JUL FY2007,13578,01-07-2019
19,TOASTBU,SEP25G,SFP-25G-SR-S,Q1 FY2007,AUG FY2007,488,01-08-2019
20,TOASTBU,SEP25G,SFP-25G-SR-S,Q1 FY2007,SEP FY2007,2164,01-09-2019
21,TOASTBU,SEP25G,SFP-25G-SR-S,Q1 FY2007,OCT FY2007,4194,01-10-2019
22,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2007,NOV FY2007,1943,01-11-2019
23,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2007,DEC FY2007,6842,01-12-2019
24,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2011,JAN FY2011,10261,01-01-2020
25,TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2011,FEB FY2011,10915,01-02-2020
26,TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2011,MAR FY2011,12657,01-03-2020
27,TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2011,APR FY2011,18612,01-04-2020
28,TOASTBU,SEP25G,SFP-25G-SR-S,Q4 FY2011,MAY FY2011,25119,01-05-2020
29,TOASTBU,SEP25G,SFP-25G-SR-S,Q4 FY2011,JUN FY2011,3459,01-06-2020
30,TOASTBU,SEP25G,SFP-25G-SR-S,Q4 FY2011,JUL FY2011,25769,01-07-2020
31,TOASTBU,SEP25G,SFP-25G-SR-S,Q1 FY2011,AUG FY2011,5503,01-08-2020
32,TOASTBU,SEP25G,SFP-25G-SR-S,Q1 FY2011,SEP FY2011,6200,01-09-2020
33,TOASTBU,SEP25G,SFP-25G-SR-S,Q1 FY2011,OCT FY2011,12026,01-10-2020
34,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2011,NOV FY2011,9564,01-11-2020
35,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2011,DEC FY2011,13741,01-12-2020
36,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2012,JAN FY2012,25779,01-01-2021
37,TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2012,FEB FY2012,35176,01-02-2021
38,TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2012,MAR FY2012,11096,01-03-2021
39,TOASTBU,SEP25G,SFP-25G-SR-S,Q3 FY2012,APR FY2012,39253,01-04-2021
40,TOASTBU,SEP25G,SFP-25G-SR-S,Q4 FY2012,MAY FY2012,14106,01-05-2021
41,TOASTBU,SEP25G,SFP-25G-SR-S,Q4 FY2012,JUN FY2012,16410,01-06-2021
42,TOASTBU,SEP25G,SFP-25G-SR-S,Q4 FY2012,JUL FY2012,31001,01-07-2021
43,TOASTBU,SEP25G,SFP-25G-SR-S,Q1 FY2012,AUG FY2012,6247,01-08-2021
44,TOASTBU,SEP25G,SFP-25G-SR-S,Q1 FY2012,SEP FY2012,9038,01-09-2021
45,TOASTBU,SEP25G,SFP-25G-SR-S,Q1 FY2012,OCT FY2012,15151,01-10-2021
46,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2012,NOV FY2012,14042,01-11-2021
47,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2012,DEC FY2012,17476,01-12-2021
48,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2022,JAN FY2022,57683,01-01-2022
49,TOASTBU,SEP25G,SFP-25G-SR-S,,,51995,01-02-2022
50,TOASTBU,SEP25G,SFP-25G-SR-S,,,46306,01-03-2022
51,TOASTBU,SEP25G,SFP-25G-SR-S,,,40618,01-04-2022
52,TOASTBU,SEP25G,SFP-25G-SR-S,,,34929,01-05-2022
53,TOASTBU,SEP25G,SFP-25G-SR-S,,,29241,01-06-2022
54,TOASTBU,SEP25G,SFP-25G-SR-S,,,23552,01-07-2022
55,TOASTBU,SEP25G,SFP-25G-SR-S,Q1 FY2022,AUG FY2022,17863,01-08-2022
56,TOASTBU,SEP25G,SFP-25G-SR-S,Q1 FY2022,SEP FY2022,21432,01-09-2022
57,TOASTBU,SEP25G,SFP-25G-SR-S,Q1 FY2022,OCT FY2022,39989,01-10-2022
58,TOASTBU,SEP25G,SFP-25G-SR-S,Q2 FY2022,NOV FY2022,23162,01-11-2022
