,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSCPU,UCS-CPU-A7763,Q4 FY2012,MAY FY2012,200,01-05-2021
1,CSA,UCSCPU,UCS-CPU-A7763,Q4 FY2012,JUN FY2012,14,01-06-2021
2,CSA,UCSCPU,UCS-CPU-A7763,Q4 FY2012,JUL FY2012,300,01-07-2021
3,CSA,UCSCPU,UCS-CPU-A7763,,,298,01-08-2021
4,CSA,UCSCPU,UCS-CPU-A7763,,,296,01-09-2021
5,CSA,UCSCPU,UCS-CPU-A7763,,,294,01-10-2021
6,CSA,UCSCPU,UCS-CPU-A7763,,,292,01-11-2021
7,CSA,UCSCPU,UCS-CPU-A7763,,,290,01-12-2021
8,CSA,UCSCPU,UCS-CPU-A7763,Q2 FY2022,JAN FY2022,287,01-01-2022
9,CSA,UCSCPU,UCS-CPU-A7763,,,334,01-02-2022
10,CSA,UCSCPU,UCS-CPU-A7763,,,381,01-03-2022
11,CSA,UCSCPU,UCS-CPU-A7763,,,428,01-04-2022
12,CSA,UCSCPU,UCS-CPU-A7763,,,474,01-05-2022
13,CSA,UCSCPU,UCS-CPU-A7763,,,521,01-06-2022
14,CSA,UCSCPU,UCS-CPU-A7763,,,568,01-07-2022
15,CSA,UCSCPU,UCS-CPU-A7763,Q1 FY2022,AUG FY2022,614,01-08-2022
16,CSA,UCSCPU,UCS-CPU-A7763,Q1 FY2022,SEP FY2022,225,01-09-2022
17,CSA,UCSCPU,UCS-CPU-A7763,Q1 FY2022,OCT FY2022,269,01-10-2022
18,CSA,UCSCPU,UCS-CPU-A7763,Q2 FY2022,NOV FY2022,168,01-11-2022
