,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSCPU,UCS-CPU-I6246,Q4 FY2007,JUL FY2007,96,01-07-2019
1,CSA,UCSCPU,UCS-CPU-I6246,,,107,01-08-2019
2,CSA,UCSCPU,UCS-CPU-I6246,,,118,01-09-2019
3,CSA,UCSCPU,UCS-CPU-I6246,,,129,01-10-2019
4,CSA,UCSCPU,UCS-CPU-I6246,,,140,01-11-2019
5,CSA,UCSCPU,UCS-CPU-I6246,,,151,01-12-2019
6,CSA,UCSCPU,UCS-CPU-I6246,Q2 FY2011,JAN FY2011,161,01-01-2020
7,CSA,UCSCPU,UCS-CPU-I6246,Q3 FY2011,FEB FY2011,208,01-02-2020
8,CSA,UCSCPU,UCS-CPU-I6246,Q3 FY2011,MAR FY2011,113,01-03-2020
9,CSA,UCSCPU,UCS-CPU-I6246,Q3 FY2011,APR FY2011,401,01-04-2020
10,CSA,UCSCPU,UCS-CPU-I6246,Q4 FY2011,MAY FY2011,343,01-05-2020
11,CSA,UCSCPU,UCS-CPU-I6246,Q4 FY2011,JUN FY2011,228,01-06-2020
12,CSA,UCSCPU,UCS-CPU-I6246,Q4 FY2011,JUL FY2011,473,01-07-2020
13,CSA,UCSCPU,UCS-CPU-I6246,Q1 FY2011,AUG FY2011,0,01-08-2020
14,CSA,UCSCPU,UCS-CPU-I6246,Q1 FY2011,SEP FY2011,84,01-09-2020
15,CSA,UCSCPU,UCS-CPU-I6246,Q1 FY2011,OCT FY2011,93,01-10-2020
16,CSA,UCSCPU,UCS-CPU-I6246,Q2 FY2011,NOV FY2011,226,01-11-2020
17,CSA,UCSCPU,UCS-CPU-I6246,Q2 FY2011,DEC FY2011,183,01-12-2020
18,CSA,UCSCPU,UCS-CPU-I6246,Q2 FY2012,JAN FY2012,341,01-01-2021
19,CSA,UCSCPU,UCS-CPU-I6246,Q3 FY2012,FEB FY2012,190,01-02-2021
20,CSA,UCSCPU,UCS-CPU-I6246,Q3 FY2012,MAR FY2012,248,01-03-2021
21,CSA,UCSCPU,UCS-CPU-I6246,Q3 FY2012,APR FY2012,427,01-04-2021
22,CSA,UCSCPU,UCS-CPU-I6246,Q4 FY2012,MAY FY2012,615,01-05-2021
23,CSA,UCSCPU,UCS-CPU-I6246,Q4 FY2012,JUN FY2012,221,01-06-2021
24,CSA,UCSCPU,UCS-CPU-I6246,Q4 FY2012,JUL FY2012,484,01-07-2021
25,CSA,UCSCPU,UCS-CPU-I6246,Q1 FY2012,AUG FY2012,77,01-08-2021
26,CSA,UCSCPU,UCS-CPU-I6246,Q1 FY2012,SEP FY2012,97,01-09-2021
27,CSA,UCSCPU,UCS-CPU-I6246,Q1 FY2012,OCT FY2012,1679,01-10-2021
28,CSA,UCSCPU,UCS-CPU-I6246,Q2 FY2012,NOV FY2012,160,01-11-2021
29,CSA,UCSCPU,UCS-CPU-I6246,Q2 FY2012,DEC FY2012,489,01-12-2021
30,CSA,UCSCPU,UCS-CPU-I6246,Q2 FY2022,JAN FY2022,62,01-01-2022
31,CSA,UCSCPU,UCS-CPU-I6246,,,75,01-02-2022
32,CSA,UCSCPU,UCS-CPU-I6246,,,88,01-03-2022
33,CSA,UCSCPU,UCS-CPU-I6246,,,101,01-04-2022
34,CSA,UCSCPU,UCS-CPU-I6246,,,114,01-05-2022
35,CSA,UCSCPU,UCS-CPU-I6246,,,127,01-06-2022
36,CSA,UCSCPU,UCS-CPU-I6246,,,140,01-07-2022
37,CSA,UCSCPU,UCS-CPU-I6246,Q1 FY2022,AUG FY2022,152,01-08-2022
38,CSA,UCSCPU,UCS-CPU-I6246,Q1 FY2022,SEP FY2022,234,01-09-2022
39,CSA,UCSCPU,UCS-CPU-I6246,Q1 FY2022,OCT FY2022,321,01-10-2022
40,CSA,UCSCPU,UCS-CPU-I6246,Q2 FY2022,NOV FY2022,472,01-11-2022
