,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSCPU,UCS-CPU-I6248R,Q3 FY2011,MAR FY2011,574,01-03-2020
1,CSA,UCSCPU,UCS-CPU-I6248R,Q3 FY2011,APR FY2011,532,01-04-2020
2,CSA,UCSCPU,UCS-CPU-I6248R,Q4 FY2011,MAY FY2011,357,01-05-2020
3,CSA,UCSCPU,UCS-CPU-I6248R,Q4 FY2011,JUN FY2011,586,01-06-2020
4,CSA,UCSCPU,UCS-CPU-I6248R,Q4 FY2011,JUL FY2011,3838,01-07-2020
5,CSA,UCSCPU,UCS-CPU-I6248R,,,3806,01-08-2020
6,CSA,UCSCPU,UCS-CPU-I6248R,,,3774,01-09-2020
7,CSA,UCSCPU,UCS-CPU-I6248R,,,3741,01-10-2020
8,CSA,UCSCPU,UCS-CPU-I6248R,,,3709,01-11-2020
9,CSA,UCSCPU,UCS-CPU-I6248R,,,3677,01-12-2020
10,CSA,UCSCPU,UCS-CPU-I6248R,Q2 FY2012,JAN FY2012,3644,01-01-2021
11,CSA,UCSCPU,UCS-CPU-I6248R,Q3 FY2012,FEB FY2012,2596,01-02-2021
12,CSA,UCSCPU,UCS-CPU-I6248R,Q3 FY2012,MAR FY2012,2284,01-03-2021
13,CSA,UCSCPU,UCS-CPU-I6248R,Q3 FY2012,APR FY2012,4200,01-04-2021
14,CSA,UCSCPU,UCS-CPU-I6248R,Q4 FY2012,MAY FY2012,3127,01-05-2021
15,CSA,UCSCPU,UCS-CPU-I6248R,Q4 FY2012,JUN FY2012,2937,01-06-2021
16,CSA,UCSCPU,UCS-CPU-I6248R,Q4 FY2012,JUL FY2012,5688,01-07-2021
17,CSA,UCSCPU,UCS-CPU-I6248R,Q1 FY2012,AUG FY2012,940,01-08-2021
18,CSA,UCSCPU,UCS-CPU-I6248R,Q1 FY2012,SEP FY2012,2218,01-09-2021
19,CSA,UCSCPU,UCS-CPU-I6248R,Q1 FY2012,OCT FY2012,3872,01-10-2021
20,CSA,UCSCPU,UCS-CPU-I6248R,Q2 FY2012,NOV FY2012,2525,01-11-2021
21,CSA,UCSCPU,UCS-CPU-I6248R,Q2 FY2012,DEC FY2012,2834,01-12-2021
22,CSA,UCSCPU,UCS-CPU-I6248R,Q2 FY2022,JAN FY2022,3441,01-01-2022
23,CSA,UCSCPU,UCS-CPU-I6248R,,,3279,01-02-2022
24,CSA,UCSCPU,UCS-CPU-I6248R,,,3117,01-03-2022
25,CSA,UCSCPU,UCS-CPU-I6248R,,,2955,01-04-2022
26,CSA,UCSCPU,UCS-CPU-I6248R,,,2793,01-05-2022
27,CSA,UCSCPU,UCS-CPU-I6248R,,,2631,01-06-2022
28,CSA,UCSCPU,UCS-CPU-I6248R,,,2469,01-07-2022
29,CSA,UCSCPU,UCS-CPU-I6248R,Q1 FY2022,AUG FY2022,2306,01-08-2022
30,CSA,UCSCPU,UCS-CPU-I6248R,Q1 FY2022,SEP FY2022,2058,01-09-2022
31,CSA,UCSCPU,UCS-CPU-I6248R,Q1 FY2022,OCT FY2022,3718,01-10-2022
32,CSA,UCSCPU,UCS-CPU-I6248R,Q2 FY2022,NOV FY2022,1707,01-11-2022
