,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSCPU,UCS-CPU-I6338N,Q3 FY2012,FEB FY2012,0,01-02-2021
1,CSA,UCSCPU,UCS-CPU-I6338N,,,0,01-03-2021
2,CSA,UCSCPU,UCS-CPU-I6338N,,,0,01-04-2021
3,CSA,UCSCPU,UCS-CPU-I6338N,Q4 FY2012,MAY FY2012,0,01-05-2021
4,CSA,UCSCPU,UCS-CPU-I6338N,Q4 FY2012,JUN FY2012,10,01-06-2021
5,CSA,UCSCPU,UCS-CPU-I6338N,Q4 FY2012,JUL FY2012,98,01-07-2021
6,CSA,UCSCPU,UCS-CPU-I6338N,,,171,01-08-2021
7,CSA,UCSCPU,UCS-CPU-I6338N,,,244,01-09-2021
8,CSA,UCSCPU,UCS-CPU-I6338N,,,317,01-10-2021
9,CSA,UCSCPU,UCS-CPU-I6338N,,,390,01-11-2021
10,CSA,UCSCPU,UCS-CPU-I6338N,,,463,01-12-2021
11,CSA,UCSCPU,UCS-CPU-I6338N,Q2 FY2022,JAN FY2022,536,01-01-2022
12,CSA,UCSCPU,UCS-CPU-I6338N,,,463,01-02-2022
13,CSA,UCSCPU,UCS-CPU-I6338N,,,390,01-03-2022
14,CSA,UCSCPU,UCS-CPU-I6338N,,,316,01-04-2022
15,CSA,UCSCPU,UCS-CPU-I6338N,,,243,01-05-2022
16,CSA,UCSCPU,UCS-CPU-I6338N,,,169,01-06-2022
17,CSA,UCSCPU,UCS-CPU-I6338N,,,96,01-07-2022
18,CSA,UCSCPU,UCS-CPU-I6338N,Q1 FY2022,AUG FY2022,22,01-08-2022
19,CSA,UCSCPU,UCS-CPU-I6338N,Q1 FY2022,SEP FY2022,35,01-09-2022
20,CSA,UCSCPU,UCS-CPU-I6338N,Q1 FY2022,OCT FY2022,82,01-10-2022
21,CSA,UCSCPU,UCS-CPU-I6338N,Q2 FY2022,NOV FY2022,11,01-11-2022
