,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSCPU,UCS-CPU-I8276L,Q3 FY2007,APR FY2007,0,01-04-2019
1,CSA,UCSCPU,UCS-CPU-I8276L,Q4 FY2007,MAY FY2007,0,01-05-2019
2,CSA,UCSCPU,UCS-CPU-I8276L,,,0,01-06-2019
3,CSA,UCSCPU,UCS-CPU-I8276L,,,0,01-07-2019
4,CSA,UCSCPU,UCS-CPU-I8276L,,,0,01-08-2019
5,CSA,UCSCPU,UCS-CPU-I8276L,,,0,01-09-2019
6,CSA,UCSCPU,UCS-CPU-I8276L,,,0,01-10-2019
7,CSA,UCSCPU,UCS-CPU-I8276L,,,0,01-11-2019
8,CSA,UCSCPU,UCS-CPU-I8276L,,,0,01-12-2019
9,CSA,UCSCPU,UCS-CPU-I8276L,Q2 FY2011,JAN FY2011,0,01-01-2020
10,CSA,UCSCPU,UCS-CPU-I8276L,Q3 FY2011,FEB FY2011,0,01-02-2020
11,CSA,UCSCPU,UCS-CPU-I8276L,Q3 FY2011,MAR FY2011,0,01-03-2020
12,CSA,UCSCPU,UCS-CPU-I8276L,Q3 FY2011,APR FY2011,0,01-04-2020
13,CSA,UCSCPU,UCS-CPU-I8276L,Q4 FY2011,MAY FY2011,12,01-05-2020
14,CSA,UCSCPU,UCS-CPU-I8276L,Q4 FY2011,JUN FY2011,0,01-06-2020
15,CSA,UCSCPU,UCS-CPU-I8276L,Q4 FY2011,JUL FY2011,4,01-07-2020
16,CSA,UCSCPU,UCS-CPU-I8276L,Q1 FY2011,AUG FY2011,8,01-08-2020
17,CSA,UCSCPU,UCS-CPU-I8276L,Q1 FY2011,SEP FY2011,6,01-09-2020
18,CSA,UCSCPU,UCS-CPU-I8276L,Q1 FY2011,OCT FY2011,12,01-10-2020
19,CSA,UCSCPU,UCS-CPU-I8276L,Q2 FY2011,NOV FY2011,0,01-11-2020
20,CSA,UCSCPU,UCS-CPU-I8276L,Q2 FY2011,DEC FY2011,24,01-12-2020
21,CSA,UCSCPU,UCS-CPU-I8276L,Q2 FY2012,JAN FY2012,96,01-01-2021
22,CSA,UCSCPU,UCS-CPU-I8276L,Q3 FY2012,FEB FY2012,18,01-02-2021
23,CSA,UCSCPU,UCS-CPU-I8276L,Q3 FY2012,MAR FY2012,229,01-03-2021
24,CSA,UCSCPU,UCS-CPU-I8276L,Q3 FY2012,APR FY2012,84,01-04-2021
25,CSA,UCSCPU,UCS-CPU-I8276L,Q4 FY2012,MAY FY2012,74,01-05-2021
26,CSA,UCSCPU,UCS-CPU-I8276L,Q4 FY2012,JUN FY2012,16,01-06-2021
27,CSA,UCSCPU,UCS-CPU-I8276L,Q4 FY2012,JUL FY2012,70,01-07-2021
28,CSA,UCSCPU,UCS-CPU-I8276L,Q1 FY2012,AUG FY2012,0,01-08-2021
29,CSA,UCSCPU,UCS-CPU-I8276L,Q1 FY2012,SEP FY2012,134,01-09-2021
30,CSA,UCSCPU,UCS-CPU-I8276L,Q1 FY2012,OCT FY2012,0,01-10-2021
31,CSA,UCSCPU,UCS-CPU-I8276L,Q2 FY2012,NOV FY2012,96,01-11-2021
32,CSA,UCSCPU,UCS-CPU-I8276L,Q2 FY2012,DEC FY2012,32,01-12-2021
33,CSA,UCSCPU,UCS-CPU-I8276L,Q2 FY2022,JAN FY2022,4,01-01-2022
34,CSA,UCSCPU,UCS-CPU-I8276L,,,5,01-02-2022
35,CSA,UCSCPU,UCS-CPU-I8276L,,,5,01-03-2022
36,CSA,UCSCPU,UCS-CPU-I8276L,,,5,01-04-2022
37,CSA,UCSCPU,UCS-CPU-I8276L,,,6,01-05-2022
38,CSA,UCSCPU,UCS-CPU-I8276L,,,6,01-06-2022
39,CSA,UCSCPU,UCS-CPU-I8276L,,,6,01-07-2022
40,CSA,UCSCPU,UCS-CPU-I8276L,Q1 FY2022,AUG FY2022,6,01-08-2022
41,CSA,UCSCPU,UCS-CPU-I8276L,Q1 FY2022,SEP FY2022,335,01-09-2022
42,CSA,UCSCPU,UCS-CPU-I8276L,Q1 FY2022,OCT FY2022,77,01-10-2022
43,CSA,UCSCPU,UCS-CPU-I8276L,Q2 FY2022,NOV FY2022,29,01-11-2022
