,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSCPU,UCS-CPU-I8352Y,Q3 FY2012,APR FY2012,0,01-04-2021
1,CSA,UCSCPU,UCS-CPU-I8352Y,,,4,01-05-2021
2,CSA,UCSCPU,UCS-CPU-I8352Y,Q4 FY2012,JUN FY2012,8,01-06-2021
3,CSA,UCSCPU,UCS-CPU-I8352Y,Q4 FY2012,JUL FY2012,4,01-07-2021
4,CSA,UCSCPU,UCS-CPU-I8352Y,,,100,01-08-2021
5,CSA,UCSCPU,UCS-CPU-I8352Y,,,196,01-09-2021
6,CSA,UCSCPU,UCS-CPU-I8352Y,,,291,01-10-2021
7,CSA,UCSCPU,UCS-CPU-I8352Y,,,387,01-11-2021
8,CSA,UCSCPU,UCS-CPU-I8352Y,,,483,01-12-2021
9,CSA,UCSCPU,UCS-CPU-I8352Y,Q2 FY2022,JAN FY2022,578,01-01-2022
10,CSA,UCSCPU,UCS-CPU-I8352Y,,,496,01-02-2022
11,CSA,UCSCPU,UCS-CPU-I8352Y,,,414,01-03-2022
12,CSA,UCSCPU,UCS-CPU-I8352Y,,,332,01-04-2022
13,CSA,UCSCPU,UCS-CPU-I8352Y,,,249,01-05-2022
14,CSA,UCSCPU,UCS-CPU-I8352Y,,,167,01-06-2022
15,CSA,UCSCPU,UCS-CPU-I8352Y,,,85,01-07-2022
16,CSA,UCSCPU,UCS-CPU-I8352Y,Q1 FY2022,AUG FY2022,2,01-08-2022
17,CSA,UCSCPU,UCS-CPU-I8352Y,Q1 FY2022,SEP FY2022,2,01-09-2022
18,CSA,UCSCPU,UCS-CPU-I8352Y,Q1 FY2022,OCT FY2022,8,01-10-2022
19,CSA,UCSCPU,UCS-CPU-I8352Y,Q2 FY2022,NOV FY2022,0,01-11-2022
