,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSB,UCS-FI-6454,Q4 FY2008,JUN FY2008,28,01-06-2018
1,CSA,UCSB,UCS-FI-6454,Q4 FY2008,JUL FY2008,18,01-07-2018
2,CSA,UCSB,UCS-FI-6454,,,44,01-08-2018
3,CSA,UCSB,UCS-FI-6454,,,69,01-09-2018
4,CSA,UCSB,UCS-FI-6454,,,94,01-10-2018
5,CSA,UCSB,UCS-FI-6454,,,119,01-11-2018
6,CSA,UCSB,UCS-FI-6454,,,144,01-12-2018
7,CSA,UCSB,UCS-FI-6454,Q2 FY2007,JAN FY2007,169,01-01-2019
8,CSA,UCSB,UCS-FI-6454,Q3 FY2007,FEB FY2007,57,01-02-2019
9,CSA,UCSB,UCS-FI-6454,Q3 FY2007,MAR FY2007,137,01-03-2019
10,CSA,UCSB,UCS-FI-6454,Q3 FY2007,APR FY2007,240,01-04-2019
11,CSA,UCSB,UCS-FI-6454,Q4 FY2007,MAY FY2007,329,01-05-2019
12,CSA,UCSB,UCS-FI-6454,Q4 FY2007,JUN FY2007,177,01-06-2019
13,CSA,UCSB,UCS-FI-6454,Q4 FY2007,JUL FY2007,358,01-07-2019
14,CSA,UCSB,UCS-FI-6454,Q1 FY2007,AUG FY2007,11,01-08-2019
15,CSA,UCSB,UCS-FI-6454,Q1 FY2007,SEP FY2007,16,01-09-2019
16,CSA,UCSB,UCS-FI-6454,Q1 FY2007,OCT FY2007,96,01-10-2019
17,CSA,UCSB,UCS-FI-6454,Q2 FY2007,NOV FY2007,122,01-11-2019
18,CSA,UCSB,UCS-FI-6454,Q2 FY2007,DEC FY2007,154,01-12-2019
19,CSA,UCSB,UCS-FI-6454,Q2 FY2011,JAN FY2011,282,01-01-2020
20,CSA,UCSB,UCS-FI-6454,Q3 FY2011,FEB FY2011,195,01-02-2020
21,CSA,UCSB,UCS-FI-6454,Q3 FY2011,MAR FY2011,229,01-03-2020
22,CSA,UCSB,UCS-FI-6454,Q3 FY2011,APR FY2011,394,01-04-2020
23,CSA,UCSB,UCS-FI-6454,Q4 FY2011,MAY FY2011,189,01-05-2020
24,CSA,UCSB,UCS-FI-6454,Q4 FY2011,JUN FY2011,248,01-06-2020
25,CSA,UCSB,UCS-FI-6454,Q4 FY2011,JUL FY2011,494,01-07-2020
26,CSA,UCSB,UCS-FI-6454,Q1 FY2011,AUG FY2011,103,01-08-2020
27,CSA,UCSB,UCS-FI-6454,Q1 FY2011,SEP FY2011,143,01-09-2020
28,CSA,UCSB,UCS-FI-6454,Q1 FY2011,OCT FY2011,344,01-10-2020
29,CSA,UCSB,UCS-FI-6454,Q2 FY2011,NOV FY2011,209,01-11-2020
30,CSA,UCSB,UCS-FI-6454,Q2 FY2011,DEC FY2011,353,01-12-2020
31,CSA,UCSB,UCS-FI-6454,Q2 FY2012,JAN FY2012,451,01-01-2021
32,CSA,UCSB,UCS-FI-6454,Q3 FY2012,FEB FY2012,274,01-02-2021
33,CSA,UCSB,UCS-FI-6454,Q3 FY2012,MAR FY2012,237,01-03-2021
34,CSA,UCSB,UCS-FI-6454,Q3 FY2012,APR FY2012,487,01-04-2021
35,CSA,UCSB,UCS-FI-6454,Q4 FY2012,MAY FY2012,260,01-05-2021
36,CSA,UCSB,UCS-FI-6454,Q4 FY2012,JUN FY2012,258,01-06-2021
37,CSA,UCSB,UCS-FI-6454,Q4 FY2012,JUL FY2012,859,01-07-2021
38,CSA,UCSB,UCS-FI-6454,Q1 FY2012,AUG FY2012,165,01-08-2021
39,CSA,UCSB,UCS-FI-6454,Q1 FY2012,SEP FY2012,356,01-09-2021
40,CSA,UCSB,UCS-FI-6454,Q1 FY2012,OCT FY2012,464,01-10-2021
41,CSA,UCSB,UCS-FI-6454,Q2 FY2012,NOV FY2012,242,01-11-2021
42,CSA,UCSB,UCS-FI-6454,Q2 FY2012,DEC FY2012,432,01-12-2021
43,CSA,UCSB,UCS-FI-6454,Q2 FY2022,JAN FY2022,775,01-01-2022
44,CSA,UCSB,UCS-FI-6454,,,705,01-02-2022
45,CSA,UCSB,UCS-FI-6454,,,635,01-03-2022
46,CSA,UCSB,UCS-FI-6454,,,565,01-04-2022
47,CSA,UCSB,UCS-FI-6454,,,495,01-05-2022
48,CSA,UCSB,UCS-FI-6454,,,425,01-06-2022
49,CSA,UCSB,UCS-FI-6454,,,355,01-07-2022
50,CSA,UCSB,UCS-FI-6454,Q1 FY2022,AUG FY2022,284,01-08-2022
51,CSA,UCSB,UCS-FI-6454,Q1 FY2022,SEP FY2022,646,01-09-2022
52,CSA,UCSB,UCS-FI-6454,Q1 FY2022,OCT FY2022,719,01-10-2022
53,CSA,UCSB,UCS-FI-6454,Q2 FY2022,NOV FY2022,397,01-11-2022
