,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSSSD,UCS-M2-240GB,Q4 FY2002,JUL FY2002,475,01-07-2017
1,CSA,UCSSSD,UCS-M2-240GB,,,475,01-08-2017
2,CSA,UCSSSD,UCS-M2-240GB,,,475,01-09-2017
3,CSA,UCSSSD,UCS-M2-240GB,,,475,01-10-2017
4,CSA,UCSSSD,UCS-M2-240GB,,,475,01-11-2017
5,CSA,UCSSSD,UCS-M2-240GB,,,475,01-12-2017
6,CSA,UCSSSD,UCS-M2-240GB,Q2 FY2008,JAN FY2008,474,01-01-2018
7,CSA,UCSSSD,UCS-M2-240GB,Q3 FY2008,FEB FY2008,517,01-02-2018
8,CSA,UCSSSD,UCS-M2-240GB,Q3 FY2008,MAR FY2008,603,01-03-2018
9,CSA,UCSSSD,UCS-M2-240GB,Q3 FY2008,APR FY2008,1277,01-04-2018
10,CSA,UCSSSD,UCS-M2-240GB,Q4 FY2008,MAY FY2008,472,01-05-2018
11,CSA,UCSSSD,UCS-M2-240GB,Q4 FY2008,JUN FY2008,424,01-06-2018
12,CSA,UCSSSD,UCS-M2-240GB,Q4 FY2008,JUL FY2008,2786,01-07-2018
13,CSA,UCSSSD,UCS-M2-240GB,Q1 FY2008,AUG FY2008,60,01-08-2018
14,CSA,UCSSSD,UCS-M2-240GB,Q1 FY2008,SEP FY2008,52,01-09-2018
15,CSA,UCSSSD,UCS-M2-240GB,Q1 FY2008,OCT FY2008,174,01-10-2018
16,CSA,UCSSSD,UCS-M2-240GB,Q2 FY2008,NOV FY2008,49,01-11-2018
17,CSA,UCSSSD,UCS-M2-240GB,Q2 FY2008,DEC FY2008,227,01-12-2018
18,CSA,UCSSSD,UCS-M2-240GB,Q2 FY2007,JAN FY2007,808,01-01-2019
19,CSA,UCSSSD,UCS-M2-240GB,Q3 FY2007,FEB FY2007,1111,01-02-2019
20,CSA,UCSSSD,UCS-M2-240GB,Q3 FY2007,MAR FY2007,4541,01-03-2019
21,CSA,UCSSSD,UCS-M2-240GB,Q3 FY2007,APR FY2007,1507,01-04-2019
22,CSA,UCSSSD,UCS-M2-240GB,Q4 FY2007,MAY FY2007,1374,01-05-2019
23,CSA,UCSSSD,UCS-M2-240GB,Q4 FY2007,JUN FY2007,1436,01-06-2019
24,CSA,UCSSSD,UCS-M2-240GB,Q4 FY2007,JUL FY2007,4048,01-07-2019
25,CSA,UCSSSD,UCS-M2-240GB,Q1 FY2007,AUG FY2007,1040,01-08-2019
26,CSA,UCSSSD,UCS-M2-240GB,Q1 FY2007,SEP FY2007,1555,01-09-2019
27,CSA,UCSSSD,UCS-M2-240GB,Q1 FY2007,OCT FY2007,1822,01-10-2019
28,CSA,UCSSSD,UCS-M2-240GB,Q2 FY2007,NOV FY2007,1091,01-11-2019
29,CSA,UCSSSD,UCS-M2-240GB,Q2 FY2007,DEC FY2007,1185,01-12-2019
30,CSA,UCSSSD,UCS-M2-240GB,Q2 FY2011,JAN FY2011,2073,01-01-2020
31,CSA,UCSSSD,UCS-M2-240GB,Q3 FY2011,FEB FY2011,2030,01-02-2020
32,CSA,UCSSSD,UCS-M2-240GB,Q3 FY2011,MAR FY2011,2100,01-03-2020
33,CSA,UCSSSD,UCS-M2-240GB,Q3 FY2011,APR FY2011,6867,01-04-2020
34,CSA,UCSSSD,UCS-M2-240GB,Q4 FY2011,MAY FY2011,1612,01-05-2020
