,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2007,APR FY2007,324,01-04-2019
1,CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2007,MAY FY2007,144,01-05-2019
2,CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2007,JUN FY2007,54,01-06-2019
3,CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2007,JUL FY2007,396,01-07-2019
4,CSA,UCSMEM,UCS-ML-128G4RT-H,,,851,01-08-2019
5,CSA,UCSMEM,UCS-ML-128G4RT-H,,,1306,01-09-2019
6,CSA,UCSMEM,UCS-ML-128G4RT-H,,,1760,01-10-2019
7,CSA,UCSMEM,UCS-ML-128G4RT-H,,,2215,01-11-2019
8,CSA,UCSMEM,UCS-ML-128G4RT-H,,,2670,01-12-2019
9,CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2011,JAN FY2011,3124,01-01-2020
10,CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2011,FEB FY2011,2100,01-02-2020
11,CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2011,MAR FY2011,1328,01-03-2020
12,CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2011,APR FY2011,3082,01-04-2020
13,CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2011,MAY FY2011,2198,01-05-2020
14,CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2011,JUN FY2011,566,01-06-2020
15,CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2011,JUL FY2011,2614,01-07-2020
16,CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2011,AUG FY2011,198,01-08-2020
17,CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2011,SEP FY2011,472,01-09-2020
18,CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2011,OCT FY2011,406,01-10-2020
19,CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2011,NOV FY2011,982,01-11-2020
20,CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2011,DEC FY2011,1436,01-12-2020
21,CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2012,JAN FY2012,3454,01-01-2021
22,CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2012,FEB FY2012,3740,01-02-2021
23,CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2012,MAR FY2012,1172,01-03-2021
24,CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2012,APR FY2012,4608,01-04-2021
25,CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2012,MAY FY2012,2388,01-05-2021
26,CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2012,JUN FY2012,1806,01-06-2021
27,CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2012,JUL FY2012,2988,01-07-2021
28,CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2012,AUG FY2012,526,01-08-2021
29,CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2012,SEP FY2012,1288,01-09-2021
30,CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2012,OCT FY2012,3194,01-10-2021
31,CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2012,NOV FY2012,1528,01-11-2021
32,CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2012,DEC FY2012,3681,01-12-2021
33,CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2022,JAN FY2022,3727,01-01-2022
34,CSA,UCSMEM,UCS-ML-128G4RT-H,,,3398,01-02-2022
35,CSA,UCSMEM,UCS-ML-128G4RT-H,,,3068,01-03-2022
36,CSA,UCSMEM,UCS-ML-128G4RT-H,,,2738,01-04-2022
37,CSA,UCSMEM,UCS-ML-128G4RT-H,,,2408,01-05-2022
38,CSA,UCSMEM,UCS-ML-128G4RT-H,,,2078,01-06-2022
39,CSA,UCSMEM,UCS-ML-128G4RT-H,,,1748,01-07-2022
40,CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2022,AUG FY2022,1418,01-08-2022
41,CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2022,SEP FY2022,2906,01-09-2022
42,CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2022,OCT FY2022,4520,01-10-2022
43,CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2022,NOV FY2022,3194,01-11-2022
