,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSMEM,UCS-ML-128G4RW,Q3 FY2012,FEB FY2012,152,01-02-2021
1,CSA,UCSMEM,UCS-ML-128G4RW,Q3 FY2012,MAR FY2012,8,01-03-2021
2,CSA,UCSMEM,UCS-ML-128G4RW,Q3 FY2012,APR FY2012,744,01-04-2021
3,CSA,UCSMEM,UCS-ML-128G4RW,Q4 FY2012,MAY FY2012,128,01-05-2021
4,CSA,UCSMEM,UCS-ML-128G4RW,Q4 FY2012,JUN FY2012,1138,01-06-2021
5,CSA,UCSMEM,UCS-ML-128G4RW,Q4 FY2012,JUL FY2012,2966,01-07-2021
6,CSA,UCSMEM,UCS-ML-128G4RW,,,2375,01-08-2021
7,CSA,UCSMEM,UCS-ML-128G4RW,,,1783,01-09-2021
8,CSA,UCSMEM,UCS-ML-128G4RW,,,1192,01-10-2021
9,CSA,UCSMEM,UCS-ML-128G4RW,,,600,01-11-2021
10,CSA,UCSMEM,UCS-ML-128G4RW,Q2 FY2012,DEC FY2012,8,01-12-2021
11,CSA,UCSMEM,UCS-ML-128G4RW,Q2 FY2022,JAN FY2022,9294,01-01-2022
12,CSA,UCSMEM,UCS-ML-128G4RW,,,7996,01-02-2022
13,CSA,UCSMEM,UCS-ML-128G4RW,,,6698,01-03-2022
14,CSA,UCSMEM,UCS-ML-128G4RW,,,5400,01-04-2022
15,CSA,UCSMEM,UCS-ML-128G4RW,,,4102,01-05-2022
16,CSA,UCSMEM,UCS-ML-128G4RW,,,2804,01-06-2022
17,CSA,UCSMEM,UCS-ML-128G4RW,,,1506,01-07-2022
18,CSA,UCSMEM,UCS-ML-128G4RW,Q1 FY2022,AUG FY2022,208,01-08-2022
19,CSA,UCSMEM,UCS-ML-128G4RW,Q1 FY2022,SEP FY2022,1274,01-09-2022
20,CSA,UCSMEM,UCS-ML-128G4RW,Q1 FY2022,OCT FY2022,3848,01-10-2022
21,CSA,UCSMEM,UCS-ML-128G4RW,Q2 FY2022,NOV FY2022,6913,01-11-2022
