,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2007,MAR FY2007,1920,01-03-2019
1,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2007,APR FY2007,1525,01-04-2019
2,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2007,MAY FY2007,5841,01-05-2019
3,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2007,JUN FY2007,11255,01-06-2019
4,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2007,JUL FY2007,29520,01-07-2019
5,CSA,UCSMEM,UCS-MR-X64G2RT-H,,,32724,01-08-2019
6,CSA,UCSMEM,UCS-MR-X64G2RT-H,,,35928,01-09-2019
7,CSA,UCSMEM,UCS-MR-X64G2RT-H,,,39132,01-10-2019
8,CSA,UCSMEM,UCS-MR-X64G2RT-H,,,42336,01-11-2019
9,CSA,UCSMEM,UCS-MR-X64G2RT-H,,,45540,01-12-2019
10,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2011,JAN FY2011,48744,01-01-2020
11,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2011,FEB FY2011,19207,01-02-2020
12,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2011,MAR FY2011,26446,01-03-2020
13,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2011,APR FY2011,72779,01-04-2020
14,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2011,MAY FY2011,24508,01-05-2020
15,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2011,JUN FY2011,26436,01-06-2020
16,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2011,JUL FY2011,68037,01-07-2020
17,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2011,AUG FY2011,7489,01-08-2020
18,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2011,SEP FY2011,10981,01-09-2020
19,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2011,OCT FY2011,29381,01-10-2020
20,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2011,NOV FY2011,20561,01-11-2020
21,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2011,DEC FY2011,31646,01-12-2020
22,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2012,JAN FY2012,85545,01-01-2021
23,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2012,FEB FY2012,37018,01-02-2021
24,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2012,MAR FY2012,40647,01-03-2021
25,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2012,APR FY2012,66837,01-04-2021
26,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2012,MAY FY2012,42365,01-05-2021
27,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2012,JUN FY2012,51624,01-06-2021
28,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2012,JUL FY2012,92246,01-07-2021
29,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2012,AUG FY2012,25231,01-08-2021
30,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2012,SEP FY2012,40868,01-09-2021
31,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2012,OCT FY2012,52407,01-10-2021
32,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2012,NOV FY2012,38975,01-11-2021
33,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2012,DEC FY2012,42036,01-12-2021
34,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2022,JAN FY2022,45210,01-01-2022
35,CSA,UCSMEM,UCS-MR-X64G2RT-H,,,46324,01-02-2022
36,CSA,UCSMEM,UCS-MR-X64G2RT-H,,,47437,01-03-2022
37,CSA,UCSMEM,UCS-MR-X64G2RT-H,,,48550,01-04-2022
38,CSA,UCSMEM,UCS-MR-X64G2RT-H,,,49663,01-05-2022
39,CSA,UCSMEM,UCS-MR-X64G2RT-H,,,50776,01-06-2022
40,CSA,UCSMEM,UCS-MR-X64G2RT-H,,,51889,01-07-2022
41,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2022,AUG FY2022,53002,01-08-2022
42,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2022,SEP FY2022,37332,01-09-2022
43,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2022,OCT FY2022,53460,01-10-2022
44,CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2022,NOV FY2022,39807,01-11-2022
