,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2002,JUL FY2002,0,01-07-2017
1,CSA,UCSMEM,UCS-MR-X64G4RS-H=,,,31,01-08-2017
2,CSA,UCSMEM,UCS-MR-X64G4RS-H=,,,62,01-09-2017
3,CSA,UCSMEM,UCS-MR-X64G4RS-H=,,,92,01-10-2017
4,CSA,UCSMEM,UCS-MR-X64G4RS-H=,,,123,01-11-2017
5,CSA,UCSMEM,UCS-MR-X64G4RS-H=,,,154,01-12-2017
6,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2008,JAN FY2008,184,01-01-2018
7,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2008,FEB FY2008,557,01-02-2018
8,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2008,MAR FY2008,772,01-03-2018
9,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2008,APR FY2008,812,01-04-2018
10,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2008,MAY FY2008,1159,01-05-2018
11,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2008,JUN FY2008,2525,01-06-2018
12,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2008,JUL FY2008,2267,01-07-2018
13,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2008,AUG FY2008,0,01-08-2018
14,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2008,SEP FY2008,0,01-09-2018
15,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2008,OCT FY2008,128,01-10-2018
16,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2008,NOV FY2008,20,01-11-2018
17,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2008,DEC FY2008,132,01-12-2018
18,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2007,JAN FY2007,6493,01-01-2019
19,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2007,FEB FY2007,7329,01-02-2019
20,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2007,MAR FY2007,2315,01-03-2019
21,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2007,APR FY2007,7947,01-04-2019
22,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2007,MAY FY2007,4732,01-05-2019
23,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2007,JUN FY2007,2043,01-06-2019
24,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2007,JUL FY2007,3199,01-07-2019
25,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2007,AUG FY2007,479,01-08-2019
26,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2007,SEP FY2007,272,01-09-2019
27,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2007,OCT FY2007,522,01-10-2019
28,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2007,NOV FY2007,2705,01-11-2019
29,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2007,DEC FY2007,2544,01-12-2019
30,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2011,JAN FY2011,1472,01-01-2020
31,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2011,FEB FY2011,3976,01-02-2020
32,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2011,MAR FY2011,890,01-03-2020
33,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2011,APR FY2011,1116,01-04-2020
34,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2011,MAY FY2011,1632,01-05-2020
35,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2011,JUN FY2011,2817,01-06-2020
36,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2011,JUL FY2011,1847,01-07-2020
37,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2011,AUG FY2011,3104,01-08-2020
38,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2011,SEP FY2011,832,01-09-2020
39,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2011,OCT FY2011,3651,01-10-2020
40,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2011,NOV FY2011,509,01-11-2020
41,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2011,DEC FY2011,1773,01-12-2020
42,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2012,JAN FY2012,178,01-01-2021
43,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2012,FEB FY2012,246,01-02-2021
44,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2012,MAR FY2012,233,01-03-2021
45,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2012,APR FY2012,903,01-04-2021
46,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2012,MAY FY2012,62,01-05-2021
47,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2012,JUN FY2012,370,01-06-2021
48,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2012,JUL FY2012,851,01-07-2021
49,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2012,AUG FY2012,1174,01-08-2021
50,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2012,SEP FY2012,237,01-09-2021
51,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2012,OCT FY2012,495,01-10-2021
52,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2012,NOV FY2012,1260,01-11-2021
53,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2012,DEC FY2012,326,01-12-2021
