,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSHDD,UCS-S3260-HDW18T,Q3 FY2012,FEB FY2012,0,01-02-2021
1,CSA,UCSHDD,UCS-S3260-HDW18T,Q3 FY2012,MAR FY2012,42,01-03-2021
2,CSA,UCSHDD,UCS-S3260-HDW18T,Q3 FY2012,APR FY2012,0,01-04-2021
3,CSA,UCSHDD,UCS-S3260-HDW18T,,,21,01-05-2021
4,CSA,UCSHDD,UCS-S3260-HDW18T,Q4 FY2012,JUN FY2012,42,01-06-2021
5,CSA,UCSHDD,UCS-S3260-HDW18T,Q4 FY2012,JUL FY2012,910,01-07-2021
6,CSA,UCSHDD,UCS-S3260-HDW18T,,,796,01-08-2021
7,CSA,UCSHDD,UCS-S3260-HDW18T,,,682,01-09-2021
8,CSA,UCSHDD,UCS-S3260-HDW18T,,,568,01-10-2021
9,CSA,UCSHDD,UCS-S3260-HDW18T,,,454,01-11-2021
10,CSA,UCSHDD,UCS-S3260-HDW18T,,,340,01-12-2021
11,CSA,UCSHDD,UCS-S3260-HDW18T,Q2 FY2022,JAN FY2022,226,01-01-2022
12,CSA,UCSHDD,UCS-S3260-HDW18T,,,196,01-02-2022
13,CSA,UCSHDD,UCS-S3260-HDW18T,,,166,01-03-2022
14,CSA,UCSHDD,UCS-S3260-HDW18T,,,136,01-04-2022
15,CSA,UCSHDD,UCS-S3260-HDW18T,,,105,01-05-2022
16,CSA,UCSHDD,UCS-S3260-HDW18T,,,75,01-06-2022
17,CSA,UCSHDD,UCS-S3260-HDW18T,,,45,01-07-2022
18,CSA,UCSHDD,UCS-S3260-HDW18T,Q1 FY2022,AUG FY2022,14,01-08-2022
19,CSA,UCSHDD,UCS-S3260-HDW18T,Q1 FY2022,SEP FY2022,336,01-09-2022
20,CSA,UCSHDD,UCS-S3260-HDW18T,Q1 FY2022,OCT FY2022,308,01-10-2022
21,CSA,UCSHDD,UCS-S3260-HDW18T,Q2 FY2022,NOV FY2022,1526,01-11-2022
