,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSB,UCSB-B200-M5,Q4 FY2002,JUN FY2002,73,01-06-2017
1,CSA,UCSB,UCSB-B200-M5,Q4 FY2002,JUL FY2002,1582,01-07-2017
2,CSA,UCSB,UCSB-B200-M5,,,2034,01-08-2017
3,CSA,UCSB,UCSB-B200-M5,,,2486,01-09-2017
4,CSA,UCSB,UCSB-B200-M5,,,2937,01-10-2017
5,CSA,UCSB,UCSB-B200-M5,,,3389,01-11-2017
6,CSA,UCSB,UCSB-B200-M5,,,3841,01-12-2017
7,CSA,UCSB,UCSB-B200-M5,Q2 FY2008,JAN FY2008,4292,01-01-2018
8,CSA,UCSB,UCSB-B200-M5,Q3 FY2008,FEB FY2008,3487,01-02-2018
9,CSA,UCSB,UCSB-B200-M5,Q3 FY2008,MAR FY2008,4405,01-03-2018
10,CSA,UCSB,UCSB-B200-M5,Q3 FY2008,APR FY2008,6216,01-04-2018
11,CSA,UCSB,UCSB-B200-M5,Q4 FY2008,MAY FY2008,4220,01-05-2018
12,CSA,UCSB,UCSB-B200-M5,Q4 FY2008,JUN FY2008,6111,01-06-2018
13,CSA,UCSB,UCSB-B200-M5,Q4 FY2008,JUL FY2008,8736,01-07-2018
14,CSA,UCSB,UCSB-B200-M5,Q1 FY2008,AUG FY2008,365,01-08-2018
15,CSA,UCSB,UCSB-B200-M5,Q1 FY2008,SEP FY2008,539,01-09-2018
16,CSA,UCSB,UCSB-B200-M5,Q1 FY2008,OCT FY2008,3936,01-10-2018
17,CSA,UCSB,UCSB-B200-M5,Q2 FY2008,NOV FY2008,2147,01-11-2018
18,CSA,UCSB,UCSB-B200-M5,Q2 FY2008,DEC FY2008,3581,01-12-2018
19,CSA,UCSB,UCSB-B200-M5,Q2 FY2007,JAN FY2007,7628,01-01-2019
20,CSA,UCSB,UCSB-B200-M5,Q3 FY2007,FEB FY2007,4510,01-02-2019
21,CSA,UCSB,UCSB-B200-M5,Q3 FY2007,MAR FY2007,7747,01-03-2019
22,CSA,UCSB,UCSB-B200-M5,Q3 FY2007,APR FY2007,11127,01-04-2019
23,CSA,UCSB,UCSB-B200-M5,Q4 FY2007,MAY FY2007,7512,01-05-2019
24,CSA,UCSB,UCSB-B200-M5,Q4 FY2007,JUN FY2007,7260,01-06-2019
25,CSA,UCSB,UCSB-B200-M5,Q4 FY2007,JUL FY2007,12041,01-07-2019
26,CSA,UCSB,UCSB-B200-M5,Q1 FY2007,AUG FY2007,3751,01-08-2019
27,CSA,UCSB,UCSB-B200-M5,Q1 FY2007,SEP FY2007,5568,01-09-2019
28,CSA,UCSB,UCSB-B200-M5,Q1 FY2007,OCT FY2007,9586,01-10-2019
29,CSA,UCSB,UCSB-B200-M5,Q2 FY2007,NOV FY2007,8119,01-11-2019
30,CSA,UCSB,UCSB-B200-M5,Q2 FY2007,DEC FY2007,9338,01-12-2019
31,CSA,UCSB,UCSB-B200-M5,Q2 FY2011,JAN FY2011,8606,01-01-2020
32,CSA,UCSB,UCSB-B200-M5,Q3 FY2011,FEB FY2011,4049,01-02-2020
33,CSA,UCSB,UCSB-B200-M5,Q3 FY2011,MAR FY2011,7386,01-03-2020
34,CSA,UCSB,UCSB-B200-M5,Q3 FY2011,APR FY2011,11256,01-04-2020
35,CSA,UCSB,UCSB-B200-M5,Q4 FY2011,MAY FY2011,5018,01-05-2020
36,CSA,UCSB,UCSB-B200-M5,Q4 FY2011,JUN FY2011,4953,01-06-2020
37,CSA,UCSB,UCSB-B200-M5,Q4 FY2011,JUL FY2011,10473,01-07-2020
38,CSA,UCSB,UCSB-B200-M5,Q1 FY2011,AUG FY2011,5002,01-08-2020
39,CSA,UCSB,UCSB-B200-M5,Q1 FY2011,SEP FY2011,6069,01-09-2020
40,CSA,UCSB,UCSB-B200-M5,Q1 FY2011,OCT FY2011,10766,01-10-2020
41,CSA,UCSB,UCSB-B200-M5,Q2 FY2011,NOV FY2011,7060,01-11-2020
42,CSA,UCSB,UCSB-B200-M5,Q2 FY2011,DEC FY2011,9874,01-12-2020
43,CSA,UCSB,UCSB-B200-M5,Q2 FY2012,JAN FY2012,7640,01-01-2021
44,CSA,UCSB,UCSB-B200-M5,Q3 FY2012,FEB FY2012,6494,01-02-2021
45,CSA,UCSB,UCSB-B200-M5,Q3 FY2012,MAR FY2012,5029,01-03-2021
46,CSA,UCSB,UCSB-B200-M5,Q3 FY2012,APR FY2012,10558,01-04-2021
47,CSA,UCSB,UCSB-B200-M5,Q4 FY2012,MAY FY2012,7698,01-05-2021
48,CSA,UCSB,UCSB-B200-M5,Q4 FY2012,JUN FY2012,7830,01-06-2021
49,CSA,UCSB,UCSB-B200-M5,Q4 FY2012,JUL FY2012,10190,01-07-2021
50,CSA,UCSB,UCSB-B200-M5,Q1 FY2012,AUG FY2012,3748,01-08-2021
51,CSA,UCSB,UCSB-B200-M5,Q1 FY2012,SEP FY2012,5120,01-09-2021
52,CSA,UCSB,UCSB-B200-M5,Q1 FY2012,OCT FY2012,10904,01-10-2021
53,CSA,UCSB,UCSB-B200-M5,Q2 FY2012,NOV FY2012,7304,01-11-2021
54,CSA,UCSB,UCSB-B200-M5,Q2 FY2012,DEC FY2012,7389,01-12-2021
55,CSA,UCSB,UCSB-B200-M5,Q2 FY2022,JAN FY2022,5235,01-01-2022
56,CSA,UCSB,UCSB-B200-M5,,,5284,01-02-2022
57,CSA,UCSB,UCSB-B200-M5,,,5332,01-03-2022
58,CSA,UCSB,UCSB-B200-M5,,,5380,01-04-2022
59,CSA,UCSB,UCSB-B200-M5,,,5428,01-05-2022
60,CSA,UCSB,UCSB-B200-M5,,,5476,01-06-2022
61,CSA,UCSB,UCSB-B200-M5,,,5524,01-07-2022
62,CSA,UCSB,UCSB-B200-M5,Q1 FY2022,AUG FY2022,5572,01-08-2022
63,CSA,UCSB,UCSB-B200-M5,Q1 FY2022,SEP FY2022,4898,01-09-2022
64,CSA,UCSB,UCSB-B200-M5,Q1 FY2022,OCT FY2022,7720,01-10-2022
65,CSA,UCSB,UCSB-B200-M5,Q2 FY2022,NOV FY2022,5531,01-11-2022
