,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSC,UCSC-C240-M6SX,Q3 FY2012,APR FY2012,87,01-04-2021
1,CSA,UCSC,UCSC-C240-M6SX,Q4 FY2012,MAY FY2012,10,01-05-2021
2,CSA,UCSC,UCSC-C240-M6SX,Q4 FY2012,JUN FY2012,54,01-06-2021
3,CSA,UCSC,UCSC-C240-M6SX,Q4 FY2012,JUL FY2012,444,01-07-2021
4,CSA,UCSC,UCSC-C240-M6SX,,,471,01-08-2021
5,CSA,UCSC,UCSC-C240-M6SX,,,497,01-09-2021
6,CSA,UCSC,UCSC-C240-M6SX,,,524,01-10-2021
7,CSA,UCSC,UCSC-C240-M6SX,,,550,01-11-2021
8,CSA,UCSC,UCSC-C240-M6SX,,,577,01-12-2021
9,CSA,UCSC,UCSC-C240-M6SX,Q2 FY2022,JAN FY2022,603,01-01-2022
10,CSA,UCSC,UCSC-C240-M6SX,,,525,01-02-2022
11,CSA,UCSC,UCSC-C240-M6SX,,,447,01-03-2022
12,CSA,UCSC,UCSC-C240-M6SX,,,369,01-04-2022
13,CSA,UCSC,UCSC-C240-M6SX,,,291,01-05-2022
14,CSA,UCSC,UCSC-C240-M6SX,,,213,01-06-2022
15,CSA,UCSC,UCSC-C240-M6SX,,,135,01-07-2022
16,CSA,UCSC,UCSC-C240-M6SX,Q1 FY2022,AUG FY2022,56,01-08-2022
17,CSA,UCSC,UCSC-C240-M6SX,Q1 FY2022,SEP FY2022,244,01-09-2022
18,CSA,UCSC,UCSC-C240-M6SX,Q1 FY2022,OCT FY2022,198,01-10-2022
19,CSA,UCSC,UCSC-C240-M6SX,Q2 FY2022,NOV FY2022,135,01-11-2022
