,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCST,UCSC-GPU-T4-16,Q3 FY2007,MAR FY2007,47,01-03-2019
1,CSA,UCST,UCSC-GPU-T4-16,Q3 FY2007,APR FY2007,75,01-04-2019
2,CSA,UCST,UCSC-GPU-T4-16,Q4 FY2007,MAY FY2007,226,01-05-2019
3,CSA,UCST,UCSC-GPU-T4-16,Q4 FY2007,JUN FY2007,68,01-06-2019
4,CSA,UCST,UCSC-GPU-T4-16,Q4 FY2007,JUL FY2007,753,01-07-2019
5,CSA,UCST,UCSC-GPU-T4-16,,,699,01-08-2019
6,CSA,UCST,UCSC-GPU-T4-16,,,645,01-09-2019
7,CSA,UCST,UCSC-GPU-T4-16,,,590,01-10-2019
8,CSA,UCST,UCSC-GPU-T4-16,,,536,01-11-2019
9,CSA,UCST,UCSC-GPU-T4-16,,,482,01-12-2019
10,CSA,UCST,UCSC-GPU-T4-16,Q2 FY2011,JAN FY2011,427,01-01-2020
11,CSA,UCST,UCSC-GPU-T4-16,Q3 FY2011,FEB FY2011,289,01-02-2020
12,CSA,UCST,UCSC-GPU-T4-16,Q3 FY2011,MAR FY2011,194,01-03-2020
13,CSA,UCST,UCSC-GPU-T4-16,Q3 FY2011,APR FY2011,1167,01-04-2020
14,CSA,UCST,UCSC-GPU-T4-16,Q4 FY2011,MAY FY2011,185,01-05-2020
15,CSA,UCST,UCSC-GPU-T4-16,Q4 FY2011,JUN FY2011,1150,01-06-2020
16,CSA,UCST,UCSC-GPU-T4-16,Q4 FY2011,JUL FY2011,1286,01-07-2020
17,CSA,UCST,UCSC-GPU-T4-16,Q1 FY2011,AUG FY2011,91,01-08-2020
18,CSA,UCST,UCSC-GPU-T4-16,Q1 FY2011,SEP FY2011,193,01-09-2020
19,CSA,UCST,UCSC-GPU-T4-16,Q1 FY2011,OCT FY2011,242,01-10-2020
20,CSA,UCST,UCSC-GPU-T4-16,Q2 FY2011,NOV FY2011,355,01-11-2020
21,CSA,UCST,UCSC-GPU-T4-16,Q2 FY2011,DEC FY2011,629,01-12-2020
22,CSA,UCST,UCSC-GPU-T4-16,Q2 FY2012,JAN FY2012,790,01-01-2021
23,CSA,UCST,UCSC-GPU-T4-16,Q3 FY2012,FEB FY2012,289,01-02-2021
24,CSA,UCST,UCSC-GPU-T4-16,Q3 FY2012,MAR FY2012,316,01-03-2021
25,CSA,UCST,UCSC-GPU-T4-16,Q3 FY2012,APR FY2012,451,01-04-2021
26,CSA,UCST,UCSC-GPU-T4-16,Q4 FY2012,MAY FY2012,553,01-05-2021
27,CSA,UCST,UCSC-GPU-T4-16,Q4 FY2012,JUN FY2012,436,01-06-2021
28,CSA,UCST,UCSC-GPU-T4-16,Q4 FY2012,JUL FY2012,535,01-07-2021
29,CSA,UCST,UCSC-GPU-T4-16,Q1 FY2012,AUG FY2012,228,01-08-2021
30,CSA,UCST,UCSC-GPU-T4-16,Q1 FY2012,SEP FY2012,225,01-09-2021
31,CSA,UCST,UCSC-GPU-T4-16,Q1 FY2012,OCT FY2012,317,01-10-2021
32,CSA,UCST,UCSC-GPU-T4-16,Q2 FY2012,NOV FY2012,351,01-11-2021
33,CSA,UCST,UCSC-GPU-T4-16,Q2 FY2012,DEC FY2012,269,01-12-2021
34,CSA,UCST,UCSC-GPU-T4-16,Q2 FY2022,JAN FY2022,332,01-01-2022
35,CSA,UCST,UCSC-GPU-T4-16,,,299,01-02-2022
36,CSA,UCST,UCSC-GPU-T4-16,,,266,01-03-2022
37,CSA,UCST,UCSC-GPU-T4-16,,,233,01-04-2022
38,CSA,UCST,UCSC-GPU-T4-16,,,199,01-05-2022
39,CSA,UCST,UCSC-GPU-T4-16,,,166,01-06-2022
40,CSA,UCST,UCSC-GPU-T4-16,,,133,01-07-2022
41,CSA,UCST,UCSC-GPU-T4-16,Q1 FY2022,AUG FY2022,99,01-08-2022
42,CSA,UCST,UCSC-GPU-T4-16,Q1 FY2022,SEP FY2022,406,01-09-2022
43,CSA,UCST,UCSC-GPU-T4-16,Q1 FY2022,OCT FY2022,490,01-10-2022
44,CSA,UCST,UCSC-GPU-T4-16,Q2 FY2022,NOV FY2022,159,01-11-2022
